,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_RECENT_HALF_PROBABILITY,COL_PROBABILITY_DIFFER,COL_CIRC_MV
0,300479.SZ,300479,神思电子,软件服务,97.97,6.87,7.75,0.88,40.68
1,300631.SZ,300631,久吾高科,环境保护,64.59,5.93,9.37,3.44,38.77
2,300588.SZ,300588,熙菱信息,软件服务,71.04,5.24,6.97,1.73,19.03
3,603026.SH,603026,石大胜华,化工原料,49.77,4.27,5.13,0.85,382.56
4,000935.SZ,000935,四川双马,水泥,42.96,3.62,6.46,2.84,137.19
5,300343.SZ,300343,联创股份,互联网,49.85,3.6,6.99,3.39,43.42
6,002529.SZ,002529,海源复材,专用机械,44.95,3.54,6.01,2.47,28.34
7,600172.SH,600172,黄河旋风,矿物制品,36.67,3.41,4.03,0.62,98.55
8,600428.SH,600428,中远海特,水运,29.86,3.33,4.65,1.32,139.1
9,601969.SH,601969,海南矿业,普钢,26.91,3.3,3.84,0.54,253.53
10,300591.SZ,300591,万里马,服饰,39.26,3.27,3.95,0.68,19.36
11,002192.SZ,002192,融捷股份,小金属,32.84,3.15,5.61,2.46,230.62
12,002895.SZ,002895,川恒股份,化工原料,33.21,3.14,5.98,2.84,88.3
13,300802.SZ,300802,矩子科技,IT设备,39.03,3.14,7.01,3.87,37.27
14,300748.SZ,300748,金力永磁,元器件,30.97,3.13,3.65,0.52,146.84
15,002176.SZ,002176,江特电机,电气设备,36.85,3.12,6.19,3.07,170.39
16,603738.SH,603738,泰晶科技,元器件,33.44,3.08,5.24,2.16,68.59
17,300655.SZ,300655,晶瑞股份,化工原料,21.34,3.06,3.13,0.07,100.77
18,300634.SZ,300634,彩讯股份,软件服务,40.01,2.97,4.41,1.44,80.83
19,002805.SZ,002805,丰元股份,化工原料,26.18,2.85,4.85,2.0,25.95
20,300613.SZ,300613,富瀚微,半导体,23.43,2.83,3.16,0.33,196.97
21,603324.SH,603324,盛剑环境,环境保护,34.02,2.8,4.67,1.87,13.27
22,300390.SZ,300390,天华超净,元器件,22.44,2.75,3.43,0.68,220.6
23,300790.SZ,300790,宇瞳光学,电器仪表,30.34,2.75,5.08,2.33,45.48
24,000657.SZ,000657,中钨高新,小金属,27.48,2.74,4.69,1.95,109.46
25,300712.SZ,300712,永福股份,建筑工程,33.46,2.69,4.67,1.97,93.2
26,601566.SH,601566,九牧王,服饰,23.68,2.56,4.56,2.01,101.14
27,603027.SH,603027,千禾味业,食品,30.13,2.55,2.68,0.13,236.46
28,601106.SH,601106,中国一重,工程机械,26.79,2.52,3.25,0.73,243.45
29,601339.SH,601339,百隆东方,纺织,29.94,2.44,3.96,1.52,98.7
30,600619.SH,600619,海立股份,机械基件,27.22,2.42,3.57,1.14,69.1
31,300604.SZ,300604,长川科技,专用机械,21.48,2.42,3.03,0.6,157.26
32,603379.SH,603379,三美股份,化工原料,28.21,2.42,3.22,0.8,41.59
33,603633.SH,603633,徕木股份,元器件,13.68,2.41,2.65,0.25,31.09
34,601866.SH,601866,中远海发,水运,14.33,2.36,2.83,0.47,329.18
35,601828.SH,601828,美凯龙,其他商业,25.94,2.34,2.73,0.39,436.28
36,300108.SZ,300108,吉药控股,中成药,26.41,2.34,4.94,2.6,18.8
37,000831.SZ,000831,五矿稀土,小金属,27.24,2.32,4.17,1.85,229.53
38,603629.SH,603629,利通电子,元器件,26.7,2.3,5.06,2.77,7.53
39,002738.SZ,002738,中矿资源,小金属,27.58,2.29,3.21,0.91,134.66
40,300491.SZ,300491,通合科技,电气设备,30.38,2.26,5.94,3.68,21.8
41,002407.SZ,002407,多氟多,化工原料,28.59,2.25,3.06,0.81,238.1
42,002674.SZ,002674,兴业科技,纺织,23.64,2.21,2.47,0.27,40.64
43,600499.SH,600499,科达制造,专用机械,19.94,2.19,2.61,0.42,256.14
44,300582.SZ,300582,英飞特,半导体,33.19,2.14,4.98,2.85,54.45
45,002442.SZ,002442,龙星化工,化工原料,21.47,2.13,2.42,0.3,34.14
46,002466.SZ,002466,天齐锂业,小金属,12.06,2.13,2.39,0.27,1023.38
47,000989.SZ,000989,九芝堂,中成药,24.5,2.13,3.27,1.14,62.9
48,300079.SZ,300079,数码视讯,通信设备,35.79,2.11,4.78,2.67,123.5
49,002574.SZ,002574,明牌珠宝,服饰,23.04,2.11,4.26,2.15,28.2
50,300620.SZ,300620,光库科技,元器件,25.34,2.06,2.98,0.92,56.01
51,300850.SZ,300850,新强联,机械基件,27.09,2.03,4.92,2.89,48.38
52,300543.SZ,300543,朗科智能,电气设备,26.38,1.99,2.87,0.88,35.88
53,002048.SZ,002048,宁波华翔,汽车配件,18.44,1.97,3.57,1.6,117.28
54,300444.SZ,300444,双杰电气,电气设备,18.36,1.94,2.24,0.3,25.06
55,603155.SH,603155,新亚强,化工原料,24.06,1.92,2.4,0.48,19.59
56,300035.SZ,300035,中科电气,电气设备,21.09,1.92,3.43,1.51,144.94
57,603229.SH,603229,奥翔药业,化学制药,24.92,1.86,4.36,2.51,98.37
58,300077.SZ,300077,国民技术,半导体,28.2,1.85,3.3,1.45,98.38
59,603657.SH,603657,春光科技,家用电器,26.24,1.84,2.74,0.89,13.28
60,300087.SZ,300087,荃银高科,种植业,25.28,1.82,4.16,2.34,110.51
61,002518.SZ,002518,科士达,电气设备,17.45,1.82,2.21,0.39,90.97
62,002091.SZ,002091,江苏国泰,商贸代理,19.59,1.82,3.11,1.3,148.81
63,002045.SZ,002045,国光电器,元器件,14.09,1.82,2.66,0.84,63.16
64,002506.SZ,002506,协鑫集成,电气设备,24.62,1.81,4.57,2.75,205.54
65,002274.SZ,002274,华昌化工,农药化肥,21.13,1.78,2.14,0.36,104.87
66,300181.SZ,300181,佐力药业,中成药,23.62,1.77,3.76,1.99,42.72
67,300055.SZ,300055,万邦达,环境保护,15.49,1.76,2.88,1.12,90.71
68,603195.SH,603195,公牛集团,电气设备,15.22,1.75,2.2,0.45,164.42
69,300721.SZ,300721,怡达股份,化工原料,13.89,1.74,2.45,0.71,26.53
70,300618.SZ,300618,寒锐钴业,小金属,16.73,1.73,2.45,0.72,190.27
71,000811.SZ,000811,冰轮环境,工程机械,16.32,1.7,1.79,0.1,83.98
72,000683.SZ,000683,远兴能源,化工原料,17.79,1.7,2.97,1.27,174.07
73,600845.SH,600845,宝信软件,软件服务,18.46,1.7,2.62,0.92,630.46
74,000625.SZ,000625,长安汽车,汽车整车,10.63,1.7,1.87,0.17,1169.33
75,300455.SZ,300455,康拓红外,运输设备,27.58,1.7,4.24,2.54,66.59
76,000532.SZ,000532,华金资本,多元金融,17.92,1.69,2.94,1.25,52.67
77,600110.SH,600110,诺德股份,电气设备,19.66,1.68,3.53,1.85,179.56
78,301002.SZ,301002,崧盛股份,电气设备,22.8,1.67,2.51,0.84,20.59
79,300534.SZ,300534,陇神戎发,中成药,19.32,1.66,3.33,1.67,20.96
80,605186.SH,605186,健麾信息,医疗保健,23.4,1.65,3.63,1.97,14.18
81,603937.SH,603937,丽岛新材,铝,21.02,1.65,3.94,2.29,31.27
82,002957.SZ,002957,科瑞技术,专用机械,16.42,1.64,1.69,0.05,43.09
83,002288.SZ,002288,超华科技,元器件,20.62,1.64,3.87,2.23,79.92
84,300432.SZ,300432,富临精工,汽车配件,22.59,1.64,4.2,2.56,121.65
85,600422.SH,600422,昆药集团,中成药,17.67,1.63,2.86,1.24,77.99
86,600018.SH,600018,上港集团,港口,15.99,1.61,2.53,0.92,1221.25
87,300610.SZ,300610,晨化股份,化工原料,18.36,1.61,1.92,0.31,22.03
88,300410.SZ,300410,正业科技,电器仪表,23.26,1.59,1.99,0.4,39.97
89,600753.SH,600753,东方银星,商贸代理,20.74,1.59,3.4,1.81,96.51
90,300205.SZ,300205,天喻信息,元器件,20.96,1.59,3.3,1.71,56.78
91,300283.SZ,300283,温州宏丰,电气设备,21.48,1.57,1.59,0.02,20.6
92,300037.SZ,300037,新宙邦,化工原料,18.35,1.56,2.19,0.63,316.12
93,600584.SH,600584,长电科技,半导体,12.04,1.56,2.21,0.65,549.38
94,605376.SH,605376,博迁新材,小金属,18.15,1.55,2.71,1.16,52.27
95,600778.SH,600778,友好集团,百货,15.71,1.54,2.93,1.39,14.44
96,300506.SZ,300506,名家汇,建筑工程,14.93,1.53,2.64,1.12,30.25
97,002460.SZ,002460,赣锋锂业,小金属,14.07,1.52,2.69,1.17,1168.77
98,002349.SZ,002349,精华制药,中成药,17.41,1.52,1.82,0.3,42.99
99,600161.SH,600161,天坛生物,生物制药,17.01,1.51,2.35,0.84,482.96
100,600582.SH,600582,天地科技,工程机械,24.62,1.48,4.25,2.76,201.14
101,603055.SH,603055,台华新材,纺织,18.04,1.46,2.36,0.91,57.76
102,002713.SZ,002713,东易日盛,装修装饰,15.19,1.44,1.74,0.29,28.63
103,002261.SZ,002261,拓维信息,互联网,22.41,1.43,1.66,0.23,96.93
104,603757.SH,603757,大元泵业,专用机械,17.24,1.41,2.08,0.67,34.97
105,600111.SH,600111,北方稀土,小金属,16.99,1.41,3.08,1.67,847.96
106,600779.SH,600779,水井坊,白酒,19.04,1.39,3.16,1.77,708.04
107,603970.SH,603970,中农立华,其他商业,16.17,1.39,2.36,0.97,21.89
108,600354.SH,600354,敦煌种业,种植业,21.69,1.37,3.11,1.74,37.9
109,603039.SH,603039,泛微网络,软件服务,21.0,1.37,2.66,1.29,198.91
110,002865.SZ,002865,钧达股份,汽车配件,13.45,1.37,2.17,0.8,27.68
111,002191.SZ,002191,劲嘉股份,广告包装,11.72,1.34,1.64,0.3,167.83
112,300271.SZ,300271,华宇软件,软件服务,17.45,1.32,2.25,0.92,145.21
113,300496.SZ,300496,中科创达,软件服务,16.37,1.31,1.39,0.08,508.38
114,300124.SZ,300124,汇川技术,电器仪表,18.38,1.3,2.15,0.85,1576.32
115,300257.SZ,300257,开山股份,机械基件,15.53,1.3,1.74,0.44,124.7
116,300767.SZ,300767,震安科技,橡胶,10.66,1.29,2.12,0.82,96.35
