,trade_date,ts_code,name,close,pct_change,net_amount,amount_rate,float_values,reason,buy_sell_rate,amount_in_values
0,20200511,603439.SH,贵州三力,18.74,9.9765,12625672.0,102.2,763467600.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,44.55,0.02
1,20200511,002983.SZ,芯瑞达,33.11,10.0,19719954.0,102.59,1172756200.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,37.56,0.02
2,20200511,300830.SZ,金现代,8.44,10.0391,1818795.0,102.89,726051000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,33.61,0.0
3,20200511,002581.SZ,未名医药,21.58,9.9898,76998929.0,65.33,8649073254.0,日涨幅偏离值达到7%的前五只证券,5.1,0.01
4,20200511,300823.SZ,建科机械,31.17,9.9859,35938981.0,21.24,729378000.0,日换手率达到20%的前五只证券,3.14,0.05
5,20200511,300823.SZ,建科机械,31.17,9.9859,35938981.0,21.24,729378000.0,日涨幅偏离值达到7%的前五只证券,3.14,0.05
6,20200511,600207.SH,安彩高科,4.6,10.0478,17813500.0,82.65,3969597480.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,2.92,0.0
7,20200511,000587.SZ,*ST金洲,1.0,-4.7619,10462664.0,25.42,1213011850.0,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,2.42,0.01
8,20200511,601388.SH,怡球资源,1.86,10.0592,23695579.0,43.96,3767244000.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.49,0.01
9,20200511,000425.SZ,徐工机械,6.38,7.9526,334855603.0,43.91,44628338631.0,日涨幅偏离值达到7%的前五只证券,1.45,0.01
10,20200511,002524.SZ,光正集团,8.17,9.9596,28441918.0,22.67,3956136183.0,日涨幅偏离值达到7%的前五只证券,1.44,0.01
11,20200511,600540.SH,新赛股份,5.12,10.1075,21565468.0,40.24,2411127362.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.29,0.01
12,20200511,601038.SH,一拖股份,9.01,6.6272,188657635.0,40.21,5351129100.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.16,0.04
13,20200511,300806.SZ,斯迪克,36.1,5.4322,37638781.0,25.75,1054481000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.15,0.04
14,20200511,000616.SZ,海航投资,3.03,10.1818,25039712.0,31.06,4333610307.0,日涨幅偏离值达到7%的前五只证券,0.75,0.01
15,20200511,000616.SZ,海航投资,3.03,10.1818,25039712.0,31.06,4333610307.0,日振幅值达到15%的前五只证券,0.75,0.01
16,20200511,300573.SZ,兴齐眼药,99.11,10.0,22990289.0,32.67,6000084711.0,日涨幅偏离值达到7%的前五只证券,0.64,0.0
17,20200511,002981.SZ,朝阳科技,42.51,4.963,19778948.0,15.76,1020240000.0,日换手率达到20%的前五只证券,0.46,0.02
18,20200511,300576.SZ,容大感光,68.53,10.0,32089159.0,12.11,4046076303.0,日换手率达到20%的前五只证券,0.39,0.01
