,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,circ_mv
3072,601700.SH,风范股份,电气设备,2.0,-23.96,10.14,1149097.248
705,002243.SZ,通产丽星,塑料,2.0,-22.23,21.76,794128.9283
819,002358.SZ,森源电气,电气设备,0.0,-22.19,15.59,1419353.0115
2785,600776.SH,东方通信,通信设备,2.0,-20.82,33.46,3198776.2141
1317,002870.SZ,香山股份,电器仪表,2.0,-20.72,27.25,109327.0
1968,300587.SZ,天铁股份,橡胶,2.0,-19.81,24.7,104144.7737
2201,600086.SH,东方金钰,服饰,2.0,-19.42,5.96,629879.6295
1877,300492.SZ,山鼎设计,建筑施工,2.0,-18.95,26.19,76860.7751
358,000862.SZ,银星能源,新型电力,3.0,-17.54,7.39,370499.7857
2316,600218.SH,全柴动力,农用机械,3.0,-17.23,13.81,509250.655
1938,300555.SZ,路通视信,通信设备,3.0,-16.79,12.66,117757.1318
355,000859.SZ,国风塑业,塑料,3.0,-16.48,8.25,609932.796
2638,600614.SH,鹏起科技,综合类,2.0,-16.32,6.53,987001.4407
3534,603888.SH,新华网,互联网,2.0,-15.95,22.18,391410.4156
1128,002668.SZ,奥马电器,家用电器,3.0,-15.91,6.25,408938.3419
94,000426.SZ,兴业矿业,铅锌,4.0,-15.56,6.89,916684.1103
1412,300023.SZ,宝德股份,专用机械,3.0,-15.36,7.89,113938.5779
2124,300751.SZ,迈为股份,专用机械,3.0,-15.22,172.29,223977.0
1598,300211.SZ,亿通科技,通信设备,2.0,-15.11,7.78,144477.7742
128,000536.SZ,华映科技,元器件,3.0,-14.71,4.18,837397.6093
195,000622.SZ,恒立实业,汽车配件,2.0,-14.56,8.02,341031.252
1025,002565.SZ,顺灏股份,造纸,4.0,-13.7,11.44,783453.4857
1382,002941.SZ,新疆交建,建筑施工,3.0,-13.27,36.53,237445.0
1506,300118.SZ,东方日升,半导体,2.0,-13.15,9.73,664111.9989
1007,002547.SZ,春兴精工,通信设备,3.0,-13.09,9.43,752210.7482
1309,002862.SZ,实丰文化,文教休闲,3.0,-12.76,24.73,77058.68
1967,300586.SZ,美联新材,化工原料,2.0,-12.58,14.85,90770.625
2624,600599.SH,熊猫金控,多元金融,3.0,-12.5,14.44,239704.0
1062,002602.SZ,世纪华通,汽车配件,2.0,-12.5,20.66,3388410.6867
639,002177.SZ,御银股份,电脑设备,3.0,-12.36,4.3,277143.3308
2923,600975.SH,新五丰,农业综合,3.0,-12.33,7.72,503865.5508
40,000050.SZ,深天马A,元器件,4.0,-12.28,17.37,3161092.6668
2495,600438.SH,通威股份,饲料,3.0,-12.24,11.99,3548405.2386
375,000890.SZ,法尔胜,钢加工,2.0,-12.12,6.71,254727.6047
3197,603098.SH,森特股份,装修装饰,4.0,-12.09,15.15,113643.18
1963,300582.SZ,英飞特,半导体,2.0,-11.87,15.51,185163.0997
1169,002711.SZ,欧浦智网,仓储物流,2.0,-11.87,4.21,442120.2977
1149,002689.SZ,远大智能,运输设备,3.0,-11.78,5.46,568287.9979
2691,600677.SH,航天通信,通信设备,2.0,-11.78,15.62,650460.6703
2052,300674.SZ,宇信科技,软件服务,3.0,-11.63,36.92,147716.92
1711,300324.SZ,旋极信息,软件服务,2.0,-11.28,7.88,817062.6575
1715,300328.SZ,宜安科技,铝,3.0,-11.19,10.53,432027.3672
3060,601619.SH,嘉泽新能,新型电力,2.0,-11.15,5.67,285628.9081
2100,300724.SZ,捷佳伟创,专用机械,4.0,-11.13,37.06,296480.0
2629,600604.SH,市北高新,园区开发,2.0,-11.11,14.3,1907884.1324
802,002341.SZ,新纶科技,化工原料,3.0,-10.98,12.37,773393.1395
3465,603728.SH,鸣志电器,电气设备,3.0,-10.89,14.19,249403.44
912,002451.SZ,摩恩电气,电气设备,4.0,-10.81,14.22,592120.3734
2820,600816.SH,安信信托,多元金融,2.0,-10.58,8.01,3742679.8267
2498,600446.SH,金证股份,软件服务,3.0,-10.47,21.89,1867677.7495
1661,300274.SZ,阳光电源,电气设备,2.0,-10.46,11.88,1266322.6434
2893,600895.SH,张江高科,园区开发,2.0,-10.42,21.07,3263088.8819
3198,603099.SH,长白山,旅游景点,2.0,-10.39,10.23,272803.41
2545,600509.SH,天富能源,火力发电,3.0,-10.38,5.03,455565.3828
749,002288.SZ,超华科技,元器件,2.0,-10.36,6.17,493778.8572
1052,002592.SZ,八菱科技,汽车配件,3.0,-10.33,19.88,488507.2739
1367,002925.SZ,盈趣科技,元器件,2.0,-10.19,58.15,968317.0855
