,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
61,000150.SZ,宜华健康,医疗保健,8.0,-3.54,-25.654,3.327,625793.8525
80,000409.SZ,*ST地矿,综合类,3.0,-0.824,-2.461,1.605,179694.6411
3292,603321.SH,梅轮电梯,运输设备,3.0,-2.076,-6.111,0.473,98568.9
2616,600593.SH,大连圣亚,旅游服务,3.0,-0.185,-0.554,0.631,349048.0
3378,603583.SH,捷昌驱动,电气设备,3.0,-0.816,-2.438,1.19,179780.6
944,002483.SZ,润邦股份,工程机械,3.0,-0.985,-2.934,0.0,266478.368
3045,601595.SH,上海电影,影视音像,3.0,-0.688,-2.056,0.3,141888.6475
967,002506.SZ,协鑫集成,电气设备,2.0,-0.293,-0.586,0.393,2578710.4
2976,601113.SH,华鼎股份,化纤,2.0,-1.319,-2.621,0.85,593131.6
760,002299.SZ,圣农发展,农业综合,2.0,-0.449,-0.898,2.481,2386213.2
751,002290.SZ,中科新材,家用电器,2.0,-0.879,-1.75,1.425,179612.5328
2240,600131.SH,岷江水电,水力发电,2.0,-0.796,-1.59,10.016,277615.732
3092,601872.SH,招商轮船,水运,2.0,-0.598,-1.196,0.484,1959182.5507
800,002339.SZ,积成电子,电气设备,2.0,-0.392,-0.782,0.92,253506.1824
2226,600116.SH,三峡水利,水力发电,2.0,-0.305,-0.61,0.0,809299.4841
480,002018.SZ,*ST华信,农药化肥,2.0,0.0,0.0,0.0,255116.6713
772,002311.SZ,海大集团,饲料,2.0,-0.972,-1.937,0.081,3835283.4399
2886,600890.SH,中房股份,区域地产,2.0,-1.425,-2.831,1.06,441925.7278
1378,002937.SZ,兴瑞科技,元器件,2.0,-0.436,-0.886,0.322,129122.0
1647,300261.SZ,雅本化学,农药化肥,2.0,0.005,-0.0,0.0,464769.4406
2870,600873.SH,梅花生物,食品,2.0,0.429,0.857,0.0,1447708.8086
920,002459.SZ,天业通联,工程机械,2.0,0.056,0.0,3.913,462447.0212
957,002496.SZ,辉丰股份,农药化肥,2.0,-1.998,-3.957,2.622,264710.9241
2782,600775.SH,南京熊猫,通信设备,2.0,-0.058,-0.118,0.588,574421.9423
1007,002547.SZ,春兴精工,通信设备,2.0,0.0,0.0,2.377,549600.43
2760,600750.SH,江中药业,中成药,2.0,-0.114,-0.229,0.0,731640.0
1210,002755.SZ,东方新星,建筑施工,2.0,-0.546,-1.103,5.645,261173.448
2583,600557.SH,康缘药业,中成药,2.0,-0.852,-1.699,0.182,658982.8897
1188,002731.SZ,萃华珠宝,服饰,2.0,0.08,0.159,0.159,242796.4847
2497,600448.SH,华纺股份,纺织,2.0,-0.735,-1.471,4.478,288230.563
450,000989.SZ,九芝堂,中成药,2.0,-1.458,-2.903,7.938,885534.8513
1567,300180.SZ,华峰超纤,化纤,2.0,-0.295,-0.589,1.693,821358.2109
2186,600073.SH,上海梅林,食品,2.0,-0.719,-1.434,4.1,737993.0945
127,000534.SZ,万泽股份,区域地产,2.0,-0.527,-1.054,5.431,486451.7401
343,000833.SZ,粤桂股份,造纸,2.0,0.203,0.403,0.0,188287.0506
140,000550.SZ,江铃汽车,汽车整车,2.0,-0.891,-1.796,0.427,853849.5325
320,000802.SZ,北京文化,影视音像,2.0,-1.2,-2.386,3.307,554377.8733
3394,603606.SH,东方电缆,电气设备,2.0,-0.768,-1.541,0.293,503703.6489
3396,603608.SH,天创时尚,服饰,2.0,-1.713,-3.406,1.567,133318.0681
1698,300312.SZ,邦讯技术,通信设备,2.0,0.256,0.5,1.99,156915.5288
3468,603739.SH,蔚蓝生物,农业综合,2.0,1.037,2.004,2.99,135837.171
184,000608.SZ,阳光股份,区域地产,2.0,-0.096,-0.197,1.578,386147.9574
91,000422.SZ,*ST宜化,农药化肥,2.0,-0.286,-0.571,1.437,316927.9834
3500,603823.SH,百合花,染料涂料,2.0,-0.856,-1.704,1.076,118950.3225
115,000520.SZ,长航凤凰,水运,2.0,-0.799,-1.592,0.971,315770.038
2400,600318.SH,新力金融,多元金融,1.0,-0.559,-0.559,0.0,344608.0
2385,600301.SH,ST南化,化工原料,1.0,-0.817,-0.817,2.306,146026.9949
2403,600321.SH,*ST正源,其他建材,1.0,-0.93,-0.93,0.0,321747.15
2062,300685.SZ,艾德生物,生物制药,1.0,-1.727,-1.727,0.107,425444.472
2405,600323.SH,瀚蓝环境,水务,1.0,0.0,0.0,0.325,1183877.9078
2023,300645.SZ,正元智慧,软件服务,1.0,0.231,0.231,1.12,139482.053
2346,600255.SH,梦舟股份,铜,1.0,-0.526,-0.526,1.587,339761.9626
2434,600360.SH,华微电子,半导体,1.0,-1.188,-1.189,1.546,438593.511
2435,600361.SH,华联综超,超市连锁,1.0,1.026,1.026,0.0,262328.3197
2456,600385.SH,山东金泰,黄金,1.0,-1.566,-1.566,6.151,142916.5878
2459,600388.SH,龙净环保,环境保护,1.0,-1.13,-1.13,0.088,1216578.9
2479,600416.SH,湘电股份,电气设备,1.0,-0.707,-0.707,1.068,500658.8356
2016,300638.SZ,广和通,通信设备,1.0,-0.525,-0.525,3.133,116907.0
2485,600423.SH,*ST柳化,农药化肥,1.0,0.0,0.0,0.915,264368.0536
1992,300613.SZ,富瀚微,半导体,1.0,-0.62,-0.62,0.093,124655.535
2375,600289.SH,*ST信通,软件服务,1.0,0.8,0.8,0.397,143178.4391
2340,600247.SH,*ST成城,商贸代理,1.0,-2.015,-2.015,5.047,189080.1792
2069,300692.SZ,中环环保,环境保护,1.0,-0.866,-0.866,2.859,125621.475
2243,600135.SH,乐凯胶片,化工原料,1.0,-0.948,-0.948,0.479,234984.7931
2197,600084.SH,中葡股份,红黄药酒,1.0,-0.368,-0.368,2.214,311272.3319
2202,600090.SH,同济堂,医药商业,1.0,-2.261,-2.261,0.178,395618.3992
2182,600069.SH,银鸽投资,造纸,1.0,0.345,0.345,3.093,487150.1532
2213,600103.SH,青山纸业,造纸,1.0,-0.358,-0.358,0.0,295191.9648
2171,600057.SH,厦门象屿,仓储物流,1.0,-0.686,-0.687,0.23,938492.527
2215,600105.SH,永鼎股份,通信设备,1.0,-1.919,-1.919,10.0,626567.0589
2236,600127.SH,金健米业,农业综合,1.0,0.662,0.662,0.987,197027.4479
2509,600467.SH,好当家,渔业,1.0,0.0,0.0,1.527,388624.4849
2152,600027.SH,华电国际,火力发电,1.0,-2.018,-2.018,1.602,3106109.9155
2139,600011.SH,华能国际,火力发电,1.0,-2.336,-2.336,3.139,7245000.0
2106,300732.SZ,设研院,建筑施工,1.0,-0.902,-0.902,0.029,287215.5345
2124,300752.SZ,隆利科技,元器件,1.0,-1.136,-1.136,2.228,134168.9058
2251,600146.SH,商赢环球,服饰,1.0,0.53,0.53,2.812,117000.0
2276,600175.SH,美都能源,综合类,1.0,0.467,0.467,0.465,529424.1019
2286,600186.SH,莲花健康,食品,1.0,-0.546,-0.546,1.648,196474.4975
2293,600193.SH,*ST创兴,装修装饰,1.0,-0.58,-0.58,0.583,146753.685
2118,300746.SZ,汉嘉设计,建筑施工,1.0,-0.105,-0.105,0.419,100781.6
