,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002370.SZ,002370,亚太药业,化学制药,True,5.67,2.0,1.0,26.27,上海华富利得资产-民生银行-富鼎6号专项资产管理计划,1.0
1,600381.SH,600381,青海春天,医疗保健,True,6.0,0.0,1.0,35.22,,0.0
2,000950.SZ,000950,重药控股,医药商业,True,6.09,2.0,1.0,52.87,"重庆渝富资本股权投资基金管理有限公司-重庆战略性新兴产业医药专项股权投资基金合伙企业(有限合伙)
重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆国际信托股份有限公司-渝信创新优势拾贰号集合资金信托",3.0
3,000790.SZ,000790,华神科技,中成药,True,6.18,2.0,2.0,38.06,,0.0
4,000518.SZ,000518,四环生物,生物制药,True,6.38,1.0,2.0,65.68,,0.0
5,000908.SZ,000908,景峰医药,化学制药,True,6.99,0.0,2.0,50.11,"华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划
中国长城资产管理股份有限公司
平江县国有资产管理局",3.0
6,300255.SZ,300255,常山药业,生物制药,True,7.24,0.0,1.0,49.34,"中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
珠海保联资产管理有限公司",2.0
7,600351.SH,600351,亚宝药业,中成药,True,7.62,0.0,3.0,58.67,"山西省科技基金发展有限公司
中央汇金资产管理有限责任公司",2.0
8,300006.SZ,300006,莱美药业,化学制药,True,7.8,0.0,2.0,52.37,中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划,1.0
9,600613.SH,600613,神奇制药,中成药,True,7.98,2.0,1.0,38.25,,0.0
10,002173.SZ,002173,创新医疗,医疗保健,True,8.04,1.0,3.0,29.82,,0.0
11,300086.SZ,300086,康芝药业,化学制药,True,8.22,2.0,1.0,35.81,云南国际信托有限公司-聚鑫2026号集合资金信托计划,1.0
12,300199.SZ,300199,翰宇药业,化学制药,True,8.8,2.0,1.0,51.7,"深圳市投控资本有限公司-深圳投控共赢股权投资基金合伙企业(有限合伙)
中央汇金资产管理有限责任公司
红土创新基金-广发证券-中国华融资产管理股份有限公司
中国华融资产管理股份有限公司",4.0
