code,name,past_p_change,past_positive
002178,延华智能,-56.9064452128,
002569,步森股份,-55.2138555103,
002760,凤形股份,-53.0542505179,
002054,德美化工,-51.1548782998,
002856,美芝股份,-49.0780698496,
603286,日盈电子,-46.8960138229,
600355,精伦电子,-44.9429991264,
002069,獐子岛,-43.22852351,★
000820,神雾节能,-42.727245989,
300110,华仁药业,-41.4051916182,
300167,迪威迅,-41.3202827271,
002879,长缆科技,-41.1261366592,
300157,恒泰艾普,-40.4260059142,
002799,环球印务,-39.5570474212,★
300064,豫金刚石,-39.4589111342,
603988,中电电机,-38.9720219439,
600112,*ST天成,-34.913167866,
002893,华通热力,-34.6194315232,
002694,顾地科技,-34.5153007136,
002188,ST巴士,-34.2271646511,
603655,朗博科技,-33.8422526403,
300104,乐视网,-33.7912310969,★
603813,原尚股份,-32.160444193,
002012,凯恩股份,-32.0220496026,
002458,益生股份,-31.6119716891,★
603477,振静股份,-31.2921072895,
300156,神雾环保,-31.0687574566,
002923,润都股份,-30.9318780496,
000929,兰州黄河,-30.6575276222,★
300042,朗科科技,-30.5189590275,
300225,金力泰,-30.0676476469,
603289,泰瑞机器,-29.7156048499,★
300435,中泰股份,-29.2478741688,★
603637,镇海股份,-28.8925886734,★
600804,鹏博士,-28.6872884098,
300312,邦讯技术,-28.6035017836,
002715,登云股份,-28.5802230388,★
600227,赤天化,-28.1266638956,
002606,大连电瓷,-27.9747852816,
002596,海南瑞泽,-27.8534009458,
002650,加加食品,-27.769339778,
603703,盛洋科技,-27.7435559379,★
000806,银河生物,-27.6957352982,
300414,中光防雷,-27.6689766031,
300680,隆盛科技,-27.4395881449,
600818,中路股份,-27.3952299527,★
002129,中环股份,-27.2596352042,
603080,新疆火炬,-27.1492233969,
002132,恒星科技,-26.9907854328,
002915,中欣氟材,-26.9416911391,★
002895,川恒股份,-26.5270570404,★
600680,*ST上普,-26.3904961137,
603329,上海雅仕,-26.1140555763,★
603676,卫信康,-26.0619450872,
600074,ST保千里,-25.8378395584,
603011,合锻智能,-25.609259631,★
603088,宁波精达,-25.5879428711,
002922,伊戈尔,-25.5312908731,★
300737,科顺股份,-25.5238877867,
002297,博云新材,-25.3839920843,
000893,东凌国际,-25.3409630207,
000593,大通燃气,-24.8839422582,
300624,万兴科技,-24.8691496687,
603386,广东骏亚,-24.6467952821,★
002231,奥维通信,-24.5529288905,
603429,集友股份,-24.3403199879,★
603058,永吉股份,-24.3394296554,
002321,华英农业,-24.1925750971,
603157,拉夏贝尔,-23.9632688405,★
300237,美晨生态,-23.9296412975,
603729,龙韵股份,-23.9140077661,★
300093,金刚玻璃,-23.8819015091,★
002899,英派斯,-23.7349292482,★
002865,钧达股份,-23.6014322765,★
300708,聚灿光电,-23.5187940826,
002016,世荣兆业,-23.4357825653,★
300612,宣亚国际,-23.3517823734,
002581,未名医药,-23.2080738589,
000638,万方发展,-23.1736276992,★
603912,佳力图,-23.1243107278,★
300256,星星科技,-22.9650393499,★
601086,国芳集团,-22.3881196022,★
002886,沃特股份,-22.3759570104,★
300471,厚普股份,-22.3164237962,
002161,远 望 谷,-22.2376992329,
300092,科新机电,-22.2206734281,★
002908,德生科技,-22.1221823268,★
000503,海虹控股,-22.0532728103,
603603,博天环境,-21.7890479073,
000971,高升控股,-21.7463175501,★
002213,特 尔 佳,-21.6475563941,
000736,中交地产,-21.5834872828,★
600903,贵州燃气,-21.3703873731,
603683,晶华新材,-21.3540250715,★
300727,润禾材料,-21.292549593,★
002857,三晖电气,-21.2269843649,
600198,大唐电信,-20.901678533,
600889,南京化纤,-20.8195712675,★
000558,莱茵体育,-20.7489492412,
300023,宝德股份,-20.6472473519,★
603856,东宏股份,-20.4550838304,
300469,信息发展,-20.3293222816,
002847,盐津铺子,-20.3122285232,★
002338,奥普光电,-20.2052398144,★
600401,*ST海润,-20.1921444405,
603196,日播时尚,-20.1585696063,★
002212,南洋股份,-20.1006530276,
600883,博闻科技,-20.0336712451,★
600155,宝硕股份,-20.0043572872,★
002762,金发拉比,-19.9148395483,★
300266,兴源环境,-19.9055581033,
603829,洛凯股份,-19.8988552955,
300566,激智科技,-19.7743877256,
002323,雅百特,-19.6865030452,★
603398,邦宝益智,-19.6701978041,
603778,乾景园林,-19.6408694046,
002168,深圳惠程,-19.6346393183,
300526,中潜股份,-19.5217749033,
300313,天山生物,-19.5205506304,★
002909,集泰股份,-19.4947530395,
002544,杰赛科技,-19.4653894468,★
000693,*ST华泽,-19.4097299978,
300697,电工合金,-19.396928109,★
002076,雪 莱 特,-19.369903264,
000732,泰禾集团,-19.3653832345,★
002288,超华科技,-19.3144528917,
002500,山西证券,-19.3022738226,
600992,贵绳股份,-19.2941341104,★
300712,永福股份,-19.087915837,★
603444,吉比特,-19.0299099811,
600456,宝钛股份,-19.0067060674,★
300152,科融环境,-18.947765279,
002921,联诚精密,-18.8996698286,
600099,林海股份,-18.8809841159,★
600556,ST慧球,-18.8296939759,
603499,翔港科技,-18.8099724102,
300380,安硕信息,-18.7706388321,★
300238,冠昊生物,-18.587000364,
603029,天鹅股份,-18.5590860529,★
601828,美凯龙,-18.4636257316,★
600241,时代万恒,-18.400066877,
300738,奥飞数据,-18.3747296851,
603222,济民制药,-18.3486509779,
600621,华鑫股份,-18.32059195,★
002778,高科石化,-18.2848597429,★
603110,东方材料,-18.2757036149,★
300321,同大股份,-18.2132959675,
600876,洛阳玻璃,-18.1612675935,★
002366,台海核电,-18.1040591936,
002086,东方海洋,-18.0245697579,★
600383,金地集团,-18.009104395,★
603659,璞泰来,-17.9707738464,
300698,万马科技,-17.957892578,★
603363,傲农生物,-17.9317898794,★
002911,佛燃股份,-17.925280959,
300278,华昌达,-17.8906374042,
000407,胜利股份,-17.8403751631,★
603079,圣达生物,-17.8186871793,
603533,掌阅科技,-17.81179072,★
600855,航天长峰,-17.8036093626,★
300733,西菱动力,-17.7693000793,
603306,华懋科技,-17.7633760656,★
002517,恺英网络,-17.6646861433,
603879,永悦科技,-17.6366856713,★
603848,好太太,-17.5913198706,★
000633,合金投资,-17.5597287197,
600340,华夏幸福,-17.5281227906,★
603916,苏博特,-17.5162073783,★
002514,宝馨科技,-17.5021329853,★
000506,中润资源,-17.3817640703,
002579,中京电子,-17.338767312,★
002661,克明面业,-17.3011306635,
603758,秦安股份,-17.2983251796,★
002437,誉衡药业,-17.2966537447,
000662,天夏智慧,-17.239899095,
603828,柯利达,-17.22246144,★
603958,哈森股份,-17.2137686043,★
002571,*ST德力,-17.213172003,★
603726,朗迪集团,-17.203873564,★
300725,药石科技,-17.1725108106,
600696,ST匹凸,-17.1608154793,★
300664,鹏鹞环保,-17.1568660134,★
002113,天润数娱,-17.1042157076,
300288,朗玛信息,-17.0216022848,
600735,新华锦,-17.0158979811,
000979,中弘股份,-16.9989405886,
300517,海波重科,-16.9787393447,★
300192,科斯伍德,-16.959624305,★
002504,*ST弘高,-16.7921573244,★
600208,新湖中宝,-16.7809955694,★
300522,世名科技,-16.6780048734,
002380,科远股份,-16.6284284311,
300649,杭州园林,-16.6016637897,★
300718,长盛轴承,-16.5827069228,★
603998,方盛制药,-16.4700618954,
300480,光力科技,-16.4130248823,
000036,华联控股,-16.3770230826,★
300561,汇金科技,-16.3735743714,★
002402,和而泰,-16.3676735534,
000659,*ST中富,-16.3327580167,
300445,康斯特,-16.2298100683,★
002780,三夫户外,-16.2162078755,★
002388,新亚制程,-16.2142743494,
002787,华源控股,-16.1698590775,★
002143,印纪传媒,-16.1689791129,
603226,菲林格尔,-16.1464741928,
002776,柏堡龙,-16.1289179707,★
603722,阿科力,-16.1196054987,
000756,新华制药,-16.0700822854,
600030,中信证券,-16.06740084,★
603043,广州酒家,-15.9706258515,★
002538,司尔特,-15.9492063976,
300029,天龙光电,-15.9228656193,★
000517,荣安地产,-15.9177669023,★
300487,蓝晓科技,-15.9176253833,★
603017,中衡设计,-15.8894737877,★
601155,新城控股,-15.8796413702,★
000852,石化机械,-15.8785951733,★
300531,优博讯,-15.8674399886,★
300609,汇纳科技,-15.8428762688,★
300290,荣科科技,-15.7604011636,
300523,辰安科技,-15.7221552843,
603028,赛福天,-15.7143077333,
600379,宝光股份,-15.7002751472,★
603711,香飘飘,-15.6880622803,★
002058,威 尔 泰,-15.6762731986,
600573,惠泉啤酒,-15.6723298438,★
000982,*ST 中绒,-15.5931970992,★
300696,爱乐达,-15.5752693347,★
603260,合盛硅业,-15.5702933107,★
002724,海洋王,-15.5389806579,★
603078,江化微,-15.4654972684,
603699,纽威股份,-15.4415682952,
603181,皇马科技,-15.4320467726,★
000416,民生控股,-15.4247735842,★
002295,精艺股份,-15.3664612783,★
300516,久之洋,-15.358202803,★
002427,ST尤夫,-15.3531780985,
002122,天马股份,-15.2656175149,
600875,东方电气,-15.238823446,
300735,光弘科技,-15.2233757633,
300569,天能重工,-15.1687346814,★
002209,达 意 隆,-15.1431522327,
603050,科林电气,-15.1291212899,★
002146,荣盛发展,-15.1257809776,★
300456,耐威科技,-15.1239334229,★
603165,荣晟环保,-15.1067533058,★
603527,众源新材,-15.1032945027,★
300267,尔康制药,-15.0612002928,★
300598,诚迈科技,-15.0491222081,
000691,亚太实业,-15.0424862994,★
002492,恒基达鑫,-15.0411235121,★
300412,迦南科技,-15.039820883,
000537,广宇发展,-15.0269592281,★
603677,奇精机械,-14.963374486,★
300317,珈伟股份,-14.9500720295,
600185,格力地产,-14.9410433268,★
603538,美诺华,-14.8976728302,
600962,国投中鲁,-14.8911780745,★
002910,庄园牧场,-14.8406459549,★
300444,双杰电气,-14.789666311,
603009,北特科技,-14.746981953,★
300090,盛运环保,-14.6767832811,
002115,三维通信,-14.6641127937,★
600512,腾达建设,-14.6561509765,
300684,中石科技,-14.5658126157,★
300732,设研院,-14.530834302,
603817,海峡环保,-14.5107442159,★
601002,晋亿实业,-14.4787281813,★
300534,陇神戎发,-14.4367994952,
002141,贤丰控股,-14.3160999542,★
300554,三超新材,-14.2854027761,★
300448,浩云科技,-14.2378533837,★
600200,江苏吴中,-14.2075094692,★
600781,辅仁药业,-14.1877765561,★
000422,湖北宜化,-14.1717104992,
300247,乐金健康,-14.1609533285,
600151,航天机电,-14.154291128,★
002040,南 京 港,-14.1489736851,★
300495,美尚生态,-14.1484495796,
002200,云投生态,-14.1328820542,★
600833,第一医药,-14.1026249613,★
002907,华森制药,-14.0827918603,
300726,宏达电子,-14.063182013,★
300477,合纵科技,-14.0414132095,
600120,浙江东方,-14.0380394709,★
300402,宝色股份,-14.0261766745,★
002329,皇氏集团,-13.9958774281,★
300461,田中精机,-13.9941867144,
000671,阳 光 城,-13.9662557586,★
002667,鞍重股份,-13.900430183,
600606,绿地控股,-13.8998143182,★
300543,朗科智能,-13.8909632093,
002651,利君股份,-13.8471677134,★
000800,一汽轿车,-13.8338896274,★
000702,正虹科技,-13.7971571016,★
000606,神州易桥,-13.7914738092,
002779,中坚科技,-13.7872035699,★
603055,台华新材,-13.7813725602,★
603026,石大胜华,-13.758560673,★
002384,东山精密,-13.7570403372,
603016,新宏泰,-13.7273462794,
300397,天和防务,-13.7039027222,★
002469,三维工程,-13.7017962073,★
000737,*ST南风,-13.6835332274,
600343,航天动力,-13.6707394375,★
300085,银之杰,-13.6461675163,★
300711,广哈通信,-13.6039464527,★
600838,上海九百,-13.5919233337,★
601611,中国核建,-13.5678726693,★
600485,信威集团,-13.567001467,
600640,号百控股,-13.5334604474,★
002919,名臣健康,-13.5261409575,★
000728,国元证券,-13.5182504555,
