,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,601456.SH,601456,国联证券,证券,16.72,12.0,2.0,79.54,,0.0
1,300857.SZ,300857,协创数据,IT设备,38.17,12.0,0.0,19.71,,0.0
2,300855.SZ,300855,图南股份,钢加工,52.65,11.0,0.0,26.32,,0.0
3,300858.SZ,300858,科拓生物,食品,95.9,11.0,2.0,19.78,,0.0
4,002991.SZ,002991,甘源食品,食品,149.5,11.0,1.0,34.84,,0.0
5,605188.SH,605188,国光连锁,超市连锁,14.17,10.0,0.0,7.03,,0.0
6,300859.SZ,300859,西域旅游,旅游服务,22.21,9.0,3.0,8.61,,0.0
7,601216.SH,601216,君正集团,化工原料,10.13,9.0,2.0,854.77,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中信信诚资产-招商银行-诚融聚荷1号资产管理计划",3.0
8,605118.SH,605118,力鼎光电,元器件,24.01,8.0,0.0,9.84,,0.0
9,002995.SZ,002995,天地在线,互联网,82.76,8.0,1.0,13.38,,0.0
10,002625.SZ,002625,光启技术,汽车配件,25.94,7.0,0.0,302.23,,0.0
11,300318.SZ,300318,博晖创新,医疗保健,11.33,7.0,0.0,82.09,中央汇金资产管理有限责任公司,1.0
12,300120.SZ,300120,经纬辉开,元器件,18.14,7.0,2.0,42.98,"中央汇金资产管理有限责任公司
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划",11.0
13,605199.SH,605199,葫芦娃,中成药,38.32,7.0,0.0,15.37,,0.0
14,600543.SH,600543,莫高股份,红黄酒,10.55,7.0,1.0,33.88,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划,1.0
15,600165.SH,600165,新日恒力,化工原料,8.99,7.0,1.0,61.57,"国通信托有限责任公司-国通信托·同洲精进2号集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华鹏66号集合资金信托计划
国通信托有限责任公司-国通信托·紫金8号集合资金信托计划",3.0
16,002506.SZ,002506,协鑫集成,电气设备,5.98,7.0,1.0,303.42,"香港中央结算有限公司(陆股通)
天津融境股权投资基金中心(有限合伙)
长城(德阳)超日项目基金合伙企业(有限合伙)",3.0
17,000828.SZ,000828,东莞控股,路桥,13.45,7.0,0.0,139.81,"工商银行-富国中证红利指数增强型证券投资基金
中国工商银行-富国中证红利指数增强型证券投资基金",2.0
18,000411.SZ,000411,英特集团,医药商业,24.34,7.0,1.0,50.46,"基本养老保险基金九零三组合
全国社保基金六零四组合",2.0
19,002151.SZ,002151,北斗星通,通信设备,68.83,7.0,0.0,252.5,"香港中央结算有限公司(陆股通)
全国社保基金一零二组合
中国建设银行股份有限公司-摩根士丹利华鑫多元收益债券型证券投资基金
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
国家集成电路产业投资基金股份有限公司",5.0
20,600139.SH,600139,西部资源,综合类,4.54,6.0,2.0,30.05,,0.0
21,002651.SZ,002651,利君股份,专用机械,10.23,6.0,1.0,53.93,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),1.0
22,002992.SZ,002992,宝明科技,元器件,39.21,6.0,0.0,13.53,,0.0
23,000524.SZ,000524,岭南控股,酒店餐饮,14.34,6.0,1.0,96.1,,0.0
24,603069.SH,603069,海汽集团,公路,53.68,6.0,1.0,169.63,,0.0
25,603167.SH,603167,渤海轮渡,水运,15.83,6.0,2.0,73.71,"招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)
中国工商银行股份有限公司-兴业上证红利低波动交易型开放式指数证券投资基金",3.0
26,300099.SZ,300099,精准信息,电器仪表,9.12,6.0,0.0,41.14,,0.0
27,300853.SZ,300853,申昊科技,机械基件,72.6,6.0,0.0,14.82,,0.0
28,300278.SZ,300278,华昌达,专用机械,7.06,6.0,2.0,21.31,"陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划
厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托",2.0
29,002417.SZ,002417,深南股份,软件服务,11.94,5.0,0.0,27.4,,0.0
30,002082.SZ,002082,万邦德,铝,16.14,5.0,1.0,31.16,中央汇金资产管理有限责任公司,1.0
31,002108.SZ,002108,沧州明珠,塑料,6.09,5.0,3.0,86.35,"中央汇金资产管理有限责任公司
云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
深圳福星资本管理有限公司-福星高照1号私募投资基金",3.0
32,600363.SH,600363,联创光电,元器件,24.15,5.0,1.0,107.1,,0.0
33,600351.SH,600351,亚宝药业,中成药,7.12,5.0,0.0,54.82,"中央汇金资产管理有限责任公司
山西省科技基金发展有限公司",2.0
34,605399.SH,605399,晨光新材,化工原料,23.87,5.0,0.0,10.98,,0.0
35,605318.SH,605318,法狮龙,装修装饰,22.16,5.0,0.0,7.16,,0.0
