code,name,pe,past_p_change,past_average_turnover,stop_mark
002188,ST巴士,16.45,-42.135,5.623,
601600,中国铝业,43.54,-34.242,2.71,
002729,好利来,90.93,-33.934,17.15,
300566,激智科技,62.7,-26.825,4.543,
600715,文投控股,60.65,-25.138,3.7,
300157,恒泰艾普,49.23,-24.551,5.63,
002517,恺英网络,21.2,-23.425,7.867,
600188,兖州煤业,11.36,-20.169,1.233,
600048,保利地产,15.63,-19.631,1.16,
002069,獐子岛,34.67,-19.332,5.447,
002508,老板电器,29.48,-18.674,1.767,
300042,朗科科技,70.6,-17.588,0.993,
002086,东方海洋,48.58,-17.02,2.48,
600019,宝钢股份,13.21,-16.592,0.633,
000983,西山煤电,15.8,-15.699,0.98,
002146,荣盛发展,12.61,-15.642,1.917,
600383,金地集团,18.4,-15.479,0.71,
600362,江西铜业,29.97,-15.429,1.99,
601699,潞安环能,13.73,-15.371,2.157,
601225,陕西煤业,7.71,-15.163,0.647,
001979,招商蛇口,34.65,-15.132,2.277,
601336,新华保险,24.16,-15.023,0.59,
000929,兰州黄河,57.46,-14.503,1.917,
000001,平安银行,8.08,-14.137,0.65,
600875,东方电气,39.68,-14.055,0.667,
601666,平煤股份,10.56,-14.005,1.403,
002054,德美化工,72.21,-13.986,16.173,
300256,星星科技,55.58,-13.885,2.92,
600971,恒源煤电,7.99,-13.197,1.353,
600782,新钢股份,11.95,-12.92,2.31,
002128,露天煤业,10.55,-12.909,1.33,
600340,华夏幸福,12.77,-12.827,1.173,
601939,建设银行,7.62,-12.669,1.647,
601838,成都银行,12.42,-12.303,16.317,
000830,鲁西化工,21.1,-12.183,6.583,
601636,旗滨集团,16.39,-12.145,3.307,
600497,驰宏锌锗,30.19,-11.926,0.967,
000060,中金岭南,20.81,-11.839,1.767,
000069,华侨城Ａ,11.34,-11.812,0.94,
300143,星普医科,43.39,-11.671,2.393,
002606,大连电瓷,50.9,-11.647,18.787,
002251,步 步 高,56.81,-11.584,1.697,
600803,新奥股份,29.3,-11.521,0.723,
601155,新城控股,30.03,-11.503,3.667,
300737,科顺股份,43.41,-11.354,13.493,
600547,山东黄金,44.23,-11.186,1.163,
601001,大同煤业,11.51,-11.146,0.833,
002596,海南瑞泽,84.48,-11.05,3.157,
000898,鞍钢股份,11.05,-10.919,0.95,
600829,人民同泰,25.62,-10.8,1.03,
000688,建新矿业,23.46,-10.773,0.89,
600115,东方航空,10.42,-10.642,0.743,
600664,哈药股份,33.27,-10.591,0.833,
000723,美锦能源,20.63,-10.478,3.967,
002081,金 螳 螂,18.54,-10.392,0.773,
002669,康达新材,78.79,-10.13,0.693,
601009,南京银行,7.61,-9.615,0.563,
002445,中南文化,45.55,-9.516,0.863,
601899,紫金矿业,37.21,-9.38,2.067,
002684,猛狮科技,72.63,-9.186,2.45,
002865,钧达股份,44.02,-9.168,10.123,
600804,鹏博士,26.86,-9.15,1.877,
601003,柳钢股份,10.84,-8.909,0.863,
600398,海澜之家,16.11,-8.896,0.617,
600231,凌钢股份,8.74,-8.729,1.187,
601101,昊华能源,11.08,-8.701,1.04,
002663,普邦股份,53.22,-8.671,2.637,
600031,三一重工,26.67,-8.557,1.453,
000932,华菱钢铁,6.54,-8.492,3.213,
600808,马钢股份,8.58,-8.289,0.883,
002207,*ST准油,32.45,-8.156,1.57,
000662,天夏智慧,40.66,-8.152,2.43,
600126,杭钢股份,10.83,-7.986,0.593,
002071,长城影视,31.5,-7.808,1.84,
600074,ST保千里,10.74,-7.68,6.143,
600395,盘江股份,13.01,-7.522,0.607,
601700,风范股份,40.23,-7.503,1.687,
600030,中信证券,21.72,-7.29,1.593,
002237,恒邦股份,22.73,-7.286,0.903,
600569,安阳钢铁,8.97,-7.273,1.937,
002142,宁波银行,10.28,-7.213,0.557,
600606,绿地控股,10.74,-7.078,3.067,
600123,兰花科创,9.77,-6.91,1.21,
600585,海螺水泥,13.26,-6.886,1.03,
000426,兴业矿业,37.9,-6.816,2.167,
000878,云南铜业,58.83,-6.812,1.203,
002035,华帝股份,40.85,-6.622,0.983,
300435,中泰股份,44.75,-6.592,1.797,
600919,江苏银行,7.12,-6.592,0.517,
300412,迦南科技,43.3,-6.513,0.967,
300471,厚普股份,42.68,-6.463,8.417,
002160,常铝股份,33.09,-6.287,2.103,
300237,美晨生态,24.42,-6.273,0.783,
600997,开滦股份,21.9,-6.063,0.91,
600325,华发股份,15.03,-5.968,1.94,
002110,三钢闽光,8.9,-5.947,2.343,
601318,中国平安,14.35,-5.897,0.513,
601015,陕西黑猫,47.95,-5.868,1.177,
600029,南方航空,12.56,-5.865,1.457,
002053,云南能投,36.4,-5.843,0.537,
600985,雷鸣科化,39.11,-5.797,2.867,
002132,恒星科技,38.51,-5.745,1.327,
600959,江苏有线,32.66,-5.677,0.673,
000776,广发证券,15.17,-5.673,0.59,
600489,中金黄金,75.49,-5.66,0.627,
000937,冀中能源,17.67,-5.568,0.69,
002037,久联发展,47.22,-5.557,2.617,
600282,南钢股份,7.05,-5.227,2.673,
000552,靖远煤电,17.0,-5.152,1.21,
002673,西部证券,38.66,-5.017,0.897,
600531,豫光金铅,35.46,-5.008,1.913,
600887,伊利股份,28.93,-4.96,1.58,
600926,杭州银行,8.86,-4.907,1.103,
002155,湖南黄金,31.51,-4.893,0.95,
601828,美凯龙,18.53,-4.762,9.777,
000728,国元证券,27.3,-4.649,0.83,
000761,本钢板材,11.17,-4.496,0.66,
000732,泰禾集团,19.86,-4.402,2.453,
601128,常熟银行,13.95,-4.338,2.013,
000659,*ST中富,82.34,-4.317,0.8,
002586,围海股份,99.69,-4.187,0.64,
000951,中国重汽,11.34,-4.14,0.667,
600508,上海能源,10.68,-3.854,0.577,
601688,华泰证券,20.46,-3.812,0.97,
000625,长安汽车,7.55,-3.736,0.637,
000018,神州长城,18.65,-3.692,1.963,
601369,陕鼓动力,38.13,-3.674,0.737,
000926,福星股份,9.53,-3.592,0.78,
000960,锡业股份,35.14,-3.574,3.327,
000709,河钢股份,13.93,-3.52,0.57,
000835,长城动漫,55.91,-3.409,1.78,
002114,罗平锌电,82.83,-3.409,1.433,
600409,三友化工,10.42,-3.355,1.907,
000671,阳 光 城,41.24,-3.341,1.423,
600801,华新水泥,15.16,-3.338,2.2,
000036,华联控股,7.15,-3.337,1.453,
601229,上海银行,7.66,-3.298,0.507,
300580,贝斯特,31.49,-3.233,5.363,
000425,徐工机械,28.85,-3.184,1.127,
300522,世名科技,35.47,-3.145,3.343,
000758,中色股份,42.6,-3.102,0.817,
