,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300895.SZ,300895,C铜牛,软件服务,59.5,1.0,1.0,45.0,13.68,,0.0
1,300893.SZ,300893,C松原,汽车配件,42.34,1.0,1.0,20.0,10.04,,0.0
2,300892.SZ,300892,C品渥,食品,64.55,1.0,1.0,19.0,15.3,,0.0
3,605358.SH,605358,立昂微,半导体,18.38,11.0,3.0,14.0,7.46,,0.0
4,003000.SZ,003000,华文食品,食品,17.06,10.0,3.0,13.0,6.83,,0.0
5,605369.SH,605369,拱东医疗,医疗保健,72.68,7.0,2.0,10.0,14.54,,0.0
6,605198.SH,605198,德利股份,软饮料,17.61,6.0,3.0,9.0,3.52,,0.0
7,003006.SZ,003006,百亚股份,造纸,13.94,5.0,3.0,8.0,5.96,,0.0
8,605116.SH,605116,奥锐特,化学制药,17.66,5.0,3.0,8.0,7.24,,0.0
9,003003.SZ,003003,天元股份,广告包装,22.12,5.0,3.0,8.0,9.78,,0.0
10,003005.SZ,003005,竞业达,软件服务,61.01,4.0,3.0,7.0,16.17,,0.0
11,003007.SZ,003007,直真科技,软件服务,40.78,3.0,3.0,6.0,8.16,,0.0
12,003002.SZ,003002,壶化股份,化工原料,15.01,3.0,2.0,6.0,7.5,,0.0
13,003008.SZ,003008,开普检测,电气设备,46.16,2.0,2.0,5.0,9.23,,0.0
14,003009.SZ,003009,N中天,航空,18.63,1.0,1.0,4.0,7.24,,0.0
15,003010.SZ,003010,N若羽臣,互联网,21.89,1.0,1.0,4.0,6.66,,0.0
16,002819.SZ,002819,东方中科,电器仪表,38.33,4.0,2.0,4.0,53.37,,0.0
17,605050.SH,605050,福然德,仓储物流,14.69,1.0,1.0,4.0,11.02,,0.0
18,002998.SZ,002998,N优彩,化纤,8.42,1.0,1.0,4.0,6.87,,0.0
19,603565.SH,603565,N中谷,仓储物流,31.95,1.0,1.0,4.0,21.3,,0.0
20,603976.SH,603976,正川股份,医疗保健,71.9,4.0,2.0,3.0,108.71,"中国工商银行股份有限公司-融通医疗保健行业混合型证券投资基金
中国工商银行股份有限公司-汇添富医药保健混合型证券投资基金",2.0
21,002931.SZ,002931,锋龙股份,汽车配件,22.37,3.0,3.0,3.0,9.71,桐庐浙富桐君股权投资基金合伙企业(有限合伙),1.0
22,002006.SZ,002006,精功科技,专用机械,6.24,3.0,2.0,2.0,28.4,,0.0
