,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
2571,600551.SH,时代出版,出版业,11.0,0.556,6.235,-2.619,0.25,439562.1822
1298,002850.SZ,科达利,机械基件,8.0,1.628,13.477,-3.119,1.41,176785.1471
3408,603663.SH,三祥新材,矿物制品,8.0,1.759,14.861,-1.722,1.57,86848.413
1233,002779.SZ,中坚科技,农用机械,8.0,0.738,5.952,-3.837,0.3,213840.0
1470,300087.SZ,荃银高科,种植业,8.0,1.341,10.847,-0.103,0.85,377683.4877
3195,603118.SH,共进股份,通信设备,8.0,1.161,9.195,-2.247,0.4,515862.6658
1993,300619.SZ,金银河,专用机械,8.0,2.366,20.404,0.569,4.09,99725.7387
586,002124.SZ,天邦股份,饲料,6.0,2.727,17.162,-10.089,0.5,751528.9139
726,002265.SZ,西仪股份,汽车配件,5.0,1.491,7.421,-4.927,0.23,276494.0751
1541,300158.SZ,振东制药,中成药,5.0,1.768,9.066,-3.192,0.13,337699.8238
3409,603665.SH,康隆达,纺织,5.0,1.883,9.736,0.373,1.62,99140.4184
1506,300123.SZ,亚光科技,船舶,5.0,1.852,9.069,-4.881,0.37,280751.8765
3058,601700.SH,风范股份,电气设备,5.0,10.067,61.538,-2.055,1.42,523553.184
94,000426.SZ,兴业矿业,铅锌,5.0,4.382,23.593,-8.333,0.71,759690.3149
1012,002552.SZ,*ST宝鼎,机械基件,5.0,3.312,17.66,-0.212,0.63,110682.366
1780,300400.SZ,劲拓股份,专用机械,5.0,1.578,8.121,-0.422,0.93,239229.4486
1020,002560.SZ,通达股份,电气设备,5.0,4.559,24.224,-6.395,0.95,162351.585
2390,600316.SH,洪都航空,航空,5.0,1.638,8.333,-2.187,0.41,764444.0698
1068,002608.SZ,江苏国信,火力发电,5.0,1.29,6.429,-4.372,0.07,401519.3123
122,000529.SZ,广弘控股,食品,5.0,1.115,5.669,-5.567,0.02,265566.1197
2764,600764.SH,中国海防,通信设备,5.0,1.023,5.206,-0.996,0.78,790681.5782
3219,603179.SH,新泉股份,汽车配件,5.0,1.431,7.306,-3.342,0.3,156148.006
1190,002733.SZ,雄韬股份,电气设备,5.0,2.354,12.257,-4.488,1.21,359634.8895
61,000150.SZ,宜华健康,医疗保健,5.0,1.39,7.128,-7.152,0.19,856652.4862
2247,600151.SH,航天机电,半导体,5.0,1.316,6.633,-2.97,0.1,580474.8139
169,000590.SZ,启迪古汉,中成药,5.0,1.605,8.265,-3.586,0.24,175463.6744
2093,300722.SZ,新余国科,专用机械,5.0,1.271,6.445,0.033,1.73,64080.0
2853,600864.SH,哈投股份,证券,5.0,1.368,6.928,-3.778,0.09,730760.9344
2377,600301.SH,ST南化,化工原料,4.0,1.374,5.517,-4.132,0.05,143910.6617
2884,600896.SH,*ST海投,水运,4.0,1.71,6.925,-6.234,0.04,222771.5134
617,002155.SZ,湖南黄金,黄金,4.0,1.696,6.874,5.616,0.78,990388.3877
2548,600523.SH,贵航股份,汽车配件,4.0,3.313,13.797,0.443,1.09,416570.0032
2726,600724.SH,宁波富达,区域地产,3.0,3.62,11.182,-3.988,0.17,502840.0471
1734,300352.SZ,北信源,软件服务,3.0,1.973,5.975,-5.638,0.09,368531.5061
2727,600725.SH,ST云维,焦炭加工,3.0,1.703,5.172,-3.734,0.01,300722.68
2734,600732.SH,ST新梅,区域地产,3.0,3.749,11.671,-1.798,0.31,217834.943
2655,600645.SH,中源协和,生物制药,3.0,2.159,6.522,-3.823,0.26,658173.4201
1463,300080.SZ,易成新能,半导体,3.0,2.252,6.88,-3.554,0.13,218364.1797
2628,600614.SH,鹏起科技,综合类,3.0,10.092,33.436,-4.678,0.78,657497.1312
1402,300018.SZ,中元股份,电气设备,3.0,2.133,6.416,-4.641,0.2,175450.4479
2413,600343.SH,航天动力,航空,3.0,3.924,12.064,-3.618,0.44,533540.5069
1324,002878.SZ,元隆雅图,文教休闲,3.0,2.256,6.827,-3.32,0.8,94243.3899
1957,300581.SZ,晨曦航空,航空,3.0,3.025,9.266,-5.669,0.34,78094.94
2499,600463.SH,空港股份,园区开发,3.0,7.484,23.963,-6.733,0.99,242100.0
2448,600385.SH,山东金泰,黄金,3.0,3.106,9.494,-4.436,0.28,148199.2189
2765,600765.SH,中航重机,机械基件,3.0,2.307,7.046,-4.651,0.1,614622.528
1309,002862.SZ,实丰文化,文教休闲,3.0,4.015,12.222,-7.877,1.51,72384.68
3088,601890.SH,亚星锚链,船舶,3.0,2.073,6.268,-3.039,0.06,357856.2
114,000519.SZ,中兵红箭,矿物制品,3.0,3.026,9.238,-4.637,0.19,495507.9244
3434,603709.SH,中源家居,家居用品,3.0,2.133,6.533,-2.856,1.59,52180.0
3427,603698.SH,航天工程,专用机械,3.0,1.776,5.415,-1.524,0.42,618037.7
205,000633.SZ,合金投资,综合类,3.0,5.643,17.746,-5.011,0.4,189087.2291
319,000801.SZ,四川九洲,通信设备,3.0,2.635,8.009,-3.532,0.17,482764.7369
3201,603131.SH,上海沪工,专用机械,3.0,2.26,6.829,-5.976,0.22,79000.0
386,000905.SZ,厦门港务,港口,3.0,2.848,8.784,-4.516,0.07,341964.0
479,002017.SZ,东信和平,通信设备,3.0,9.111,29.873,14.834,3.49,388598.114
1067,002607.SZ,亚夏汽车,汽车服务,3.0,2.215,6.789,-1.395,0.24,532578.843
1036,002576.SZ,通达动力,电气设备,3.0,3.708,11.479,-6.025,0.36,155875.0399
2774,600775.SH,南京熊猫,通信设备,3.0,5.506,17.276,4.342,2.12,624809.832
758,002297.SZ,博云新材,矿物制品,3.0,3.607,10.906,-3.871,0.36,262809.9724
779,002318.SZ,久立特材,特种钢,3.0,2.14,6.536,-2.236,0.19,535143.374
2972,601126.SH,四方股份,电气设备,2.0,3.01,6.09,-1.927,0.19,439112.88
3377,603603.SH,博天环境,环境保护,2.0,4.305,8.784,-1.857,0.66,378076.3242
2393,600319.SH,亚星化学,化工原料,2.0,5.92,12.174,-6.694,0.43,162846.504
2844,600855.SH,航天长峰,专用机械,2.0,6.041,12.292,-1.634,0.46,334786.727
2454,600391.SH,航发科技,航空,2.0,4.793,9.698,-1.532,0.46,395825.111
2528,600501.SH,航天晨光,汽车配件,2.0,5.027,10.214,-0.0,0.34,281838.7284
3359,603577.SH,汇金通,钢加工,2.0,5.673,11.479,-6.502,1.01,78290.5853
2681,600677.SH,航天通信,通信设备,2.0,10.006,21.014,3.497,2.16,477226.5866
2851,600862.SH,中航高科,航空,2.0,5.973,12.143,-1.927,0.43,874834.8392
2624,600610.SH,*ST毅达,建筑施工,2.0,5.102,10.465,-8.995,0.04,71359.1721
2736,600734.SH,实达集团,电脑设备,2.0,10.009,21.019,0.0,1.08,269559.8696
3132,603016.SH,新宏泰,电气设备,2.0,10.008,21.018,-9.583,3.06,142399.66
2700,600696.SH,ST岩石,区域地产,2.0,2.73,5.51,2.297,0.58,176072.3894
28,000035.SZ,中国天楹,环境保护,2.0,3.901,7.885,-0.192,0.41,718691.2106
1771,300391.SZ,康跃科技,机械基件,2.0,5.653,11.626,-2.016,1.04,85020.3624
2368,600290.SH,华仪电气,电气设备,2.0,2.87,5.819,-8.661,0.2,373112.6239
383,000901.SZ,航天科技,航空,2.0,6.215,12.67,-1.449,0.54,564738.3146
913,002452.SZ,长高集团,电气设备,2.0,3.721,7.514,-4.945,0.11,157960.625
810,002349.SZ,精华制药,中成药,2.0,3.697,7.504,-0.521,0.27,505312.7661
750,002289.SZ,宇顺电子,元器件,2.0,6.15,12.526,-7.94,0.02,142115.7214
705,002243.SZ,通产丽星,塑料,2.0,3.677,7.091,-8.658,3.18,540124.4549
675,002213.SZ,特尔佳,汽车配件,2.0,5.385,10.849,-3.021,0.55,203211.3254
581,002119.SZ,康强电子,半导体,2.0,2.539,5.134,-4.139,0.03,254708.195
577,002115.SZ,三维通信,通信设备,2.0,4.197,8.308,-1.399,1.02,390745.3826
375,000890.SZ,法尔胜,钢加工,2.0,7.376,15.227,-1.345,0.4,192469.293
2301,600212.SH,江泉实业,综合类,2.0,3.917,7.949,-7.801,0.11,215424.5267
351,000851.SZ,高鸿股份,软件服务,2.0,3.731,7.563,-7.212,0.38,438698.1509
287,000755.SZ,山西路桥,公路,2.0,5.938,12.06,-2.689,0.18,209292.021
286,000753.SZ,漳州发展,汽车服务,2.0,4.002,8.163,-1.672,0.14,281158.6013
236,000682.SZ,东方电子,电气设备,2.0,5.815,11.782,-2.647,0.26,361866.3344
184,000608.SZ,阳光股份,区域地产,2.0,2.524,5.102,-2.39,0.23,386147.9574
171,000592.SZ,平潭发展,林业,2.0,9.988,20.974,-2.555,0.41,618201.6239
126,000533.SZ,万家乐,电气设备,2.0,9.977,20.949,-6.296,0.04,209580.1344
957,002496.SZ,ST辉丰,农药化肥,2.0,5.079,10.417,-0.518,0.07,204812.8318
1005,002545.SZ,东方铁塔,钢加工,2.0,6.349,12.969,1.384,0.61,510504.9589
1039,002579.SZ,中京电子,元器件,2.0,3.948,8.033,0.117,0.51,321931.9195
1140,002680.SZ,*ST长生,生物制药,2.0,5.054,10.364,10.185,0.45,159020.5438
2119,300751.SZ,迈为股份,专用机械,2.0,2.859,5.755,3.466,7.23,164593.0
2090,300719.SZ,安达维尔,航空,2.0,5.715,11.576,-1.815,0.82,94458.7579
1989,300615.SZ,欣天科技,元器件,2.0,10.0,21.001,4.825,4.47,81386.1
1965,300589.SZ,江龙船艇,船舶,2.0,4.098,8.364,-1.61,0.61,71553.0518
1933,300555.SZ,路通视信,通信设备,2.0,6.728,13.806,-1.951,1.12,85108.8275
1910,300531.SZ,优博讯,软件服务,2.0,2.51,5.069,0.0,0.34,214956.952
1842,300462.SZ,华铭智能,专用机械,2.0,2.796,5.621,-10.369,1.47,125033.7984
1836,300456.SZ,耐威科技,元器件,2.0,2.649,5.335,-1.514,0.58,308726.137
1827,300447.SZ,全信股份,电气设备,2.0,5.156,10.345,-2.11,0.72,178274.306
53,000070.SZ,特发信息,通信设备,2.0,9.994,20.986,-2.338,1.35,515663.3943
1704,300322.SZ,硕贝德,通信设备,2.0,3.718,7.442,-2.653,0.62,376701.7434
1593,300211.SZ,亿通科技,通信设备,2.0,6.815,14.079,-1.629,0.57,102322.9481
1487,300104.SZ,乐视网,互联网,2.0,9.947,20.884,-7.09,0.26,925040.8508
1316,002869.SZ,金溢科技,通信设备,2.0,3.473,6.641,-3.303,0.34,76635.9127
1174,002716.SZ,金贵银业,小金属,2.0,7.202,14.845,0.657,0.53,381818.2129
3436,603712.SH,七一二,通信设备,2.0,2.523,5.109,-0.056,1.44,187200.0
