,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,600575.SH,600575,皖江物流,水运,1.0,2.83,"安徽国企改革, 快递物流, 低价股, ",106.09亿
1,600311.SH,600311,荣华实业,黄金,1.0,3.8,"壳公司, 黄金, ",25.96亿
2,600537.SH,600537,亿晶光电,半导体,1.0,3.81,"光伏, ",44.82亿
3,300247.SZ,300247,融捷健康,医疗保健,1.0,3.84,"大消费, 养老产业, 小家电, 家电, 医疗器械, 举牌股, 股权转让, ",22.53亿
4,000518.SZ,000518,四环生物,生物制药,1.0,3.94,"医药, 流感, 举牌股, 强势人气股, ",39.43亿
5,300237.SZ,300237,美晨生态,建筑施工,1.0,4.35,"回购, 园林, 汽车零部件, PPP, 股权转让, ",68.54亿
6,600300.SH,600300,维维股份,软饮料,1.0,4.4,"回购, 饮料, 食品, 人造肉, ",66.21亿
7,600988.SH,600988,赤峰黄金,黄金,1.0,4.53,"内蒙古, 有色-锌, 有色金属, 人民币贬值受益, 资产重组, 黄金, ",67.18亿
8,002178.SZ,002178,延华智能,建筑施工,1.0,4.54,"养老产业, 智慧城市, ",30.17亿
9,600127.SH,600127,金健米业,农业综合,4.0,4.81,"乡村振兴, 食品, 湖南国企改革, 乳业（奶粉）, ",33.95亿
10,000570.SZ,000570,苏常柴A,机械基件,1.0,4.98,"汽车零部件, 农机, 锂电池, 新能源汽车, 科创板概念股, ",20.08亿
11,002481.SZ,002481,双塔食品,食品,3.0,5.19,"海底捞概念股, 业绩预增, 保健品, 食品, 山东国企改革, 燃料乙醇, 人造肉, ",63.22亿
12,300239.SZ,300239,东宝生物,生物制药,2.0,5.52,"内蒙古, 中科院系, 保健品, 食品, 人造肉, ",22.74亿
13,600981.SH,600981,汇鸿集团,商贸代理,2.0,5.57,"社保重仓, 业绩预增, 万达系, 期货概念, 创投, ",38.22亿
14,600095.SH,600095,哈高科,区域地产,3.0,6.0,"雄安-园林环保, 雄安新区, 壳公司, 人造肉, ",23.84亿
15,002125.SZ,002125,湘潭电化,化工原料,1.0,6.15,"硅锰, 业绩预增, 湖南国企改革, 锂电池, 高送转-填权, 环保, 新能源汽车, 污水处理, ",33.45亿
16,002702.SZ,002702,海欣食品,食品,2.0,6.18,"大消费, 食品, 壳公司, 人造肉, ",17.73亿
17,002077.SZ,002077,大港股份,区域地产,2.0,6.22,"房地产, 锂电池, 新能源汽车, 半导体, 科创板概念股, ",36.37亿
18,300175.SZ,300175,朗源股份,食品,1.0,6.42,"土地流转, 大数据, 云计算, 农业种植, 股权转让, 强势人气股, 苹果期货, ",27.65亿
19,600203.SH,600203,福日电子,元器件,1.0,6.46,"华为产业链, LED, 工业大麻, ",27.23亿
20,600800.SH,600800,天津磁卡,综合类,1.0,6.53,"石油化工, 天津国企改革, 资产重组, 工业大麻, ",38.0亿
21,002224.SZ,002224,三力士,橡胶,1.0,6.85,"军工, 军民融合, 量子通信, ",34.43亿
22,000958.SZ,000958,东方能源,火力发电,1.0,7.26,"火电, 电改, 央企改革, 风电, 光伏, 雄安-公共服务, 雄安新区, 京津冀, 强势人气股, ",73.43亿
23,000505.SZ,000505,京粮控股,食品,2.0,7.36,"定增破发, 海南自由贸易港, 自贸区, 自由贸易港, 海南, 人造肉, ",27.94亿
24,002435.SZ,002435,长江润发,化学制药,1.0,7.43,"民营医院, 回购, 医药, 化学药, 高送转, ",22.47亿
25,600734.SH,600734,实达集团,电脑设备,1.0,7.5,"华为产业链, 物联网, 高质押率, 智慧城市, 国产操作系统, 智慧安防, 创投, ",25.4亿
26,002041.SZ,002041,登海种业,种植业,2.0,7.66,"转基因, 乡村振兴, 农业种植, 人造肉, ",70.87亿
27,000531.SZ,000531,穗恒运A,火力发电,1.0,7.69,"火电, 电改, 业绩预增, 粤港澳大湾区, 燃料电池, 资产重组, 创投, ",54.26亿
28,002772.SZ,002772,众兴菌业,种植业,1.0,8.38,"回购, 农业种植, 年报季报, ",21.46亿
29,000930.SZ,000930,中粮生化,农业综合,1.0,8.56,"央企改革, 资产重组, 燃料乙醇, ",67.59亿
30,300453.SZ,300453,三鑫医疗,医疗保健,1.0,8.83,"高送转-填权, 医疗器械, ",13.49亿
