,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688358.SH,688358,祥生医疗,医疗保健,True,87.0,True,True,"寻常(上海)投资管理有限公司-琚玖1号私募证券投资基金
中国建设银行股份有限公司-长城消费增值混合型证券投资基金
中国银行股份有限公司-华泰保兴吉年丰混合型发起式证券投资基金
中国银行股份有限公司-长城环保主题灵活配置混合型证券投资基金
中国建设银行股份有限公司-长城医疗保健混合型证券投资基金
寻常(上海)投资管理有限公司-汇玖3号私募证券投资基金
中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金
中国工商银行股份有限公司-华夏乐享健康灵活配置混合型证券投资基金
交通银行股份有限公司-长城久富核心成长混合型证券投资基金(LOF)",9.0
1,600993.SH,600993,马应龙,中成药,True,26.2,True,True,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
中国工商银行股份有限公司-景顺长城精选蓝筹混合型证券投资基金
全国社保基金五零三组合
中国农业银行股份有限公司-大成睿享混合型证券投资基金
中央汇金资产管理有限责任公司
摩根士丹利投资管理公司-摩根士丹利中国A股基金",7.0
2,600535.SH,600535,天士力,中成药,True,17.87,True,True,"嘉实基金-农业银行-嘉实中证金融资产管理计划
香港中央结算有限公司(陆股通)
大成基金-农业银行-大成中证金融资产管理计划
中央汇金资产管理有限责任公司
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划",6.0
3,000739.SZ,000739,普洛药业,化学制药,True,25.3,True,True,"香港中央结算有限公司(陆股通)
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
招商银行股份有限公司-兴全合润分级混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金",5.0
4,300294.SZ,300294,博雅生物,生物制药,True,41.4,True,True,"北信瑞丰基金-渤海银行-北信瑞丰基金宏瑞2号资产管理计划
香港中央结算有限公司(陆股通)
全国社保基金一一四组合
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中意资管-招商银行-中意资产-招商银行-定增精选87号资产管理产品",5.0
5,688198.SH,688198,佰仁医疗,医疗保健,True,126.746,True,True,"上海勤远投资管理中心(有限合伙)-勤远动态平衡1号私募证券投资基金
中国银行股份有限公司-大成中小盘混合型证券投资基金(LOF)
全国社保基金四一一组合
上海勤远投资管理中心(有限合伙)-勤远嘉裕私募证券投资基金
上海勤远投资管理中心(有限合伙)-勤远动态平衡2号私募证券投资基金",5.0
6,688278.SH,688278,特宝生物,生物制药,True,75.5,True,True,"上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金
中信信托有限责任公司-中信信托锐进43期高毅晓峰投资集合资金信托计划
中国建设银行股份有限公司-南方信息创新混合型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅-晓峰1号睿远证券投资基金",4.0
7,002317.SZ,002317,众生药业,中成药,True,17.58,True,True,"招商银行股份有限公司-睿远成长价值混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金六零四组合",3.0
8,002950.SZ,002950,奥美医疗,医疗保健,True,28.5,True,True,"长江经济带(湖北)产业并购基金合伙企业(有限合伙)
宁波星邻星投资管理有限公司-常州五星钛信绿色股权投资基金合伙企业(有限合伙)",2.0
9,300791.SZ,300791,仙乐健康,医疗保健,True,80.11,True,True,"中国银行-易方达策略成长二号混合型证券投资基金
中国银行-易方达策略成长证券投资基金",2.0
10,002198.SZ,002198,嘉应制药,中成药,True,5.86,True,True,深圳市老虎汇资产管理有限公司,1.0
11,688108.SH,688108,赛诺医疗,医疗保健,True,26.3011,True,True,深圳前海汇富雪球基金管理有限公司-汇富雪球医药医疗大健康一号基金,1.0
12,600211.SH,600211,西藏药业,中成药,True,67.86,True,True,,0.0
13,603976.SH,603976,正川股份,医疗保健,True,38.2225,True,True,,0.0
