,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600166.SH,600166,福田汽车,汽车整车,2.54,0.0,2.0,167.01,中央汇金资产管理有限责任公司,1.0
1,002471.SZ,002471,中超控股,电气设备,2.64,0.0,1.0,33.39,深圳市鑫腾华资产管理有限公司,1.0
2,000683.SZ,000683,远兴能源,化工原料,2.79,0.0,1.0,99.18,"中信建投基金-广州农商银行-华鑫国际信托-华鑫信托·153号证券投资集合资金信托计划
北京中稷弘立资产管理有限公司
香港中央结算有限公司(陆股通)
上海塔彧毅股权投资基金(上海)中心(有限合伙)
中国信达资产管理股份有限公司",5.0
3,600331.SH,600331,宏达股份,铅锌,2.79,2.0,1.0,56.69,,0.0
4,002379.SZ,002379,宏创控股,铝,3.06,0.0,1.0,28.35,,0.0
5,000558.SZ,000558,莱茵体育,文教休闲,3.07,0.0,1.0,39.55,,0.0
6,000506.SZ,000506,中润资源,黄金,3.28,1.0,1.0,30.46,共青城蕴沣资产管理有限公司-蕴沣创世3号证券投资私募基金,1.0
7,000616.SZ,000616,海航投资,全国地产,3.44,0.0,2.0,49.2,中央汇金资产管理有限责任公司,1.0
8,002109.SZ,002109,兴化股份,化工原料,3.56,0.0,1.0,37.48,,0.0
9,600981.SH,600981,汇鸿集团,商贸代理,3.65,2.0,1.0,26.68,"上海国药圣礼股权投资基金合伙企业(有限合伙)
全国社保基金五零一组合
兴证证券资管-工商银行-兴证资管鑫成63号集合资产管理计划
兴证证券资管-工商银行-兴证资管鑫成61号集合资产管理计划
兴证证券资管-工商银行-兴证资管鑫成71号双红利轮动集合资产管理计划
上海赛领博达股权投资基金合伙企业(有限合伙)
上海赛领并购投资基金合伙企业(有限合伙)",7.0
10,002689.SZ,002689,远大智能,运输设备,4.05,1.0,1.0,42.15,,0.0
11,600664.SH,600664,哈药股份,化学制药,4.06,0.0,1.0,101.78,"中央汇金资产管理有限责任公司
中国证券投资者保护基金有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
12,002482.SZ,002482,广田集团,装修装饰,4.22,0.0,1.0,64.54,"中央汇金资产管理有限责任公司
昆仑信托有限责任公司-昆仑四十一号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·广田集团第一期员工持股集合资金信托计划",3.0
13,002506.SZ,002506,协鑫集成,电气设备,4.31,0.0,2.0,218.69,"天津融境股权投资基金中心(有限合伙)
长城(德阳)超日项目基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)",3.0
14,002206.SZ,002206,海利得,化纤,4.35,0.0,2.0,41.78,"基本养老保险基金一零零三组合
上海齐银股权投资基金管理有限公司-上海同煤齐银投资管理中心(有限合伙)
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
西藏山南硅谷天堂昌吉投资管理有限公司-硅谷天堂恒昌私募基金",5.0
15,300278.SZ,300278,华昌达,专用机械,4.37,1.0,1.0,13.19,"厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托
陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划",2.0
16,601058.SH,601058,赛轮轮胎,汽车配件,4.46,0.0,1.0,92.66,"全国社保基金四一二组合
招商银行股份有限公司-东方红睿丰灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)",3.0
17,600495.SH,600495,晋西车轴,运输设备,4.7,0.0,1.0,56.78,,0.0
18,600139.SH,600139,西部资源,综合类,4.75,1.0,2.0,31.44,,0.0
19,002285.SZ,002285,世联行,房产服务,4.8,2.0,1.0,96.7,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
20,600189.SH,600189,吉林森工,软饮料,4.84,0.0,1.0,23.83,"中国华融资产管理股份有限公司
吉林省吉盛资产管理有限责任公司",2.0
21,300067.SZ,300067,安诺其,染料涂料,5.19,0.0,2.0,33.67,"中央汇金资产管理有限责任公司
鹏华资产-浦发银行-粤财信托-粤财信托-菁英163期单一资金信托计划",2.0
22,002478.SZ,002478,常宝股份,钢加工,5.35,2.0,1.0,32.03,"中央汇金资产管理有限责任公司
基本养老保险基金一零零三组合",2.0
23,600477.SH,600477,杭萧钢构,钢加工,5.5,0.0,1.0,118.45,,0.0
24,002519.SZ,002519,银河电子,通信设备,5.59,0.0,1.0,56.52,"华安基金-兴业银行-中兵投资管理有限责任公司
南方工业资产管理有限责任公司",2.0
25,002588.SZ,002588,史丹利,农药化肥,5.65,0.0,1.0,41.8,中央汇金资产管理有限责任公司,1.0
26,002550.SZ,002550,千红制药,生物制药,5.68,1.0,2.0,51.74,香港中央结算有限公司(陆股通),1.0
27,000701.SZ,000701,厦门信达,综合类,5.86,0.0,1.0,23.83,,0.0
28,600526.SH,600526,菲达环保,环境保护,6.12,2.0,1.0,33.5,,0.0
29,002061.SZ,002061,浙江交科,建筑工程,6.28,0.0,1.0,48.4,"杭州炬元资产管理有限公司-炬元鑫兴九号私募基金
浙江海港资产管理有限公司
香港中央结算有限公司(陆股通)",3.0
30,600496.SH,600496,精工钢构,钢加工,6.31,2.0,1.0,95.31,"中央汇金资产管理有限责任公司
交通银行-中海优质成长证券投资基金
全国社保基金六零三组合
中国建设银行-上投摩根阿尔法股票型证券投资基金
长安国际信托股份有限公司-银帆3期(长安投资78号)集合资金信托计划
中国银行股份有限公司-华泰紫金泰盈混合型证券投资基金",6.0
31,601002.SH,601002,晋亿实业,机械基件,6.37,0.0,1.0,50.49,"中国工商银行股份有限公司-鹏华增瑞灵活配置混合型证券投资基金(LOF)
中央汇金资产管理有限责任公司
全国社保基金五零三组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-大成产业升级股票型证券投资基金(LOF)
鹏华基金-工商银行-鹏华鹏润1号资产管理计划",6.0
32,600970.SH,600970,中材国际,建筑工程,6.6,0.0,1.0,114.65,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金",6.0
33,002617.SZ,002617,露笑科技,电气设备,6.69,0.0,1.0,77.4,中央汇金资产管理有限责任公司,1.0
34,000908.SZ,000908,景峰医药,化学制药,6.75,2.0,1.0,48.39,"中国长城资产管理股份有限公司
平江县国有资产管理局
华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划",3.0
35,601366.SH,601366,利群股份,百货,6.84,0.0,1.0,58.86,"青岛恒荣泰资产管理股份有限公司
青岛钧泰基金投资有限公司",2.0
