,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,circ_mv
1140,002680.SZ,*ST长生,生物制药,2.0,-60.69,1.51,87703.341
819,002358.SZ,森源电气,电气设备,0.0,-18.21,16.41,1494007.8845
94,000426.SZ,兴业矿业,铅锌,0.0,-15.56,6.34,843509.0362
1927,300545.SZ,联得装备,专用机械,0.0,-15.26,30.67,142102.9184
817,002356.SZ,赫美集团,其他商业,5.0,-14.85,6.42,308313.6961
358,000862.SZ,银星能源,新型电力,0.0,-14.66,6.35,318359.0852
3226,603165.SH,荣晟环保,造纸,3.0,-13.93,19.51,86530.752
1025,002565.SZ,顺灏股份,造纸,0.0,-13.7,8.31,569099.5163
3252,603220.SH,贝通信,通信设备,0.0,-12.49,34.49,291233.56
40,000050.SZ,深天马A,元器件,0.0,-12.28,15.45,2811680.0059
3195,603098.SH,森特股份,装修装饰,0.0,-12.09,14.75,110642.7
1309,002862.SZ,实丰文化,文教休闲,0.0,-11.91,23.28,72540.48
802,002341.SZ,新纶科技,化工原料,3.0,-11.77,11.96,747759.2521
848,002387.SZ,维信诺,元器件,0.0,-11.68,12.64,592823.2781
1453,300066.SZ,三川智慧,电器仪表,3.0,-11.68,4.38,436269.9499
3545,603909.SH,合诚股份,建筑施工,3.0,-11.64,26.07,65175.0
3343,603477.SH,振静股份,纺织,3.0,-11.44,8.37,94999.5
1062,002602.SZ,世纪华通,汽车配件,0.0,-11.38,20.28,3326087.5473
2099,300724.SZ,捷佳伟创,专用机械,0.0,-11.13,37.62,300960.0
912,002451.SZ,摩恩电气,电气设备,0.0,-10.81,13.3,553811.601
2019,300641.SZ,正丹股份,化工原料,3.0,-10.5,5.74,128220.12
1120,002660.SZ,茂硕电源,电气设备,4.0,-10.46,6.81,143885.798
2125,300753.SZ,爱朋医疗,医疗保健,3.0,-10.4,44.1,89082.0
3463,603728.SH,鸣志电器,电气设备,0.0,-10.37,13.38,235166.88
1863,300479.SZ,神思电子,软件服务,3.0,-10.1,17.55,280800.0
11,000014.SZ,沙河股份,全国地产,3.0,-9.51,11.06,223085.9368
1484,300097.SZ,智云股份,电器仪表,0.0,-9.49,14.0,282581.6588
3365,603538.SH,美诺华,化学制药,3.0,-9.43,19.52,174625.92
478,002016.SZ,世荣兆业,区域地产,3.0,-9.23,10.68,733551.135
1060,002600.SZ,领益智造,元器件,3.0,-9.21,4.5,669550.9599
808,002347.SZ,泰尔股份,机械基件,3.0,-9.17,4.42,141044.8012
1649,300263.SZ,隆华科技,专用机械,0.0,-9.15,5.31,300145.8357
467,002005.SZ,德豪润达,家用电器,3.0,-9.12,2.81,452105.1712
3469,603739.SH,蔚蓝生物,农业综合,3.0,-9.11,35.82,138505.194
3144,603015.SH,弘讯科技,电气设备,3.0,-9.05,7.18,288564.918
2467,600396.SH,金山股份,火力发电,4.0,-8.97,2.25,331359.0338
164,000584.SZ,哈工智能,化纤,3.0,-8.92,8.24,503717.6115
