code,name,pe,p_change_01,past_average_turnover,stop_mark
300624,万兴科技,136.95,158.43,49.82,
002927,泰永长征,99.22,111.095,62.97,
000151,中成股份,63.34,77.085,15.75,
300477,合纵科技,130.72,76.529,16.733,
002208,合肥城建,189.49,73.385,16.66,
000555,神州信息,93.58,70.28,6.57,
002137,麦达数字,72.19,69.729,27.08,
002184,海得控制,393.09,69.181,19.627,
002877,智能自控,78.66,60.269,43.64,
300390,天华超净,107.59,56.885,23.293,
000532,华金资本,141.46,51.663,17.52,
300598,诚迈科技,86.19,51.534,4.663,
002864,盘龙药业,77.59,45.116,42.233,
300634,N彩讯,31.35,43.93,0.06,
002265,西仪股份,219.72,43.54,9.18,
300705,九典制药,63.98,42.404,25.11,
002264,新 华 都,4593.17,41.362,17.283,
300571,平治信息,84.28,39.837,5.7,
300647,超频三,72.29,38.654,22.927,
600689,上海三毛,58.18,38.654,11.46,
002929,润建通信,48.09,37.454,37.157,
300731,科创新源,51.92,35.284,39.403,
300469,信息发展,1371.35,34.662,14.333,
000985,大庆华科,56.37,32.602,4.957,
600662,强生控股,107.3,30.564,6.293,
600135,乐凯胶片,48.52,30.374,4.257,
300556,丝路视觉,181.12,29.545,21.323,
000935,四川双马,136.29,28.954,6.847,
600268,国电南自,0.0,28.373,8.163,
002370,亚太药业,49.42,28.232,1.34,
000790,泰合健康,19.79,28.137,9.56,
300715,凯伦股份,62.34,28.074,33.27,
300740,御家汇,53.76,28.071,34.897,
002666,德联集团,48.96,27.688,9.7,
600462,九有股份,397.1,27.674,17.603,
300682,朗新科技,0.0,27.47,8.433,
300696,爱乐达,86.45,27.433,15.663,
002680,长生生物,31.59,27.316,3.853,
601116,三江购物,76.72,27.066,6.66,
300609,汇纳科技,83.88,26.806,7.897,
000819,岳阳兴长,432.05,26.788,6.97,
600800,天津磁卡,0.0,26.775,3.99,
601069,西部黄金,550.56,26.576,7.653,
002919,名臣健康,64.28,26.217,43.993,
600981,汇鸿集团,30.83,26.148,10.307,
600272,开开实业,101.61,26.106,8.77,
600371,万向德农,57.83,25.602,6.097,
300523,辰安科技,3774.97,25.561,1.987,
300719,安达维尔,439.03,25.44,30.88,
000993,闽东电力,29.71,24.818,6.123,
002476,宝莫股份,0.0,24.379,4.45,
300631,久吾高科,88.15,24.06,11.02,
600095,哈高科,304.52,24.023,4.69,
002928,华夏航空,39.45,23.983,22.5,
600099,林海股份,1104.19,23.937,8.15,
300612,宣亚国际,102.82,23.922,25.43,
300479,神思电子,223.03,23.88,15.85,
002910,庄园牧场,56.02,23.79,31.767,
300267,尔康制药,20.19,23.535,3.377,
600520,文一科技,444.94,23.043,10.723,
300657,弘信电子,71.64,23.029,19.103,
002858,力盛赛车,476.89,23.024,20.13,
002782,可立克,106.46,22.986,15.91,
300702,天宇股份,34.04,22.615,19.367,
002922,伊戈尔,52.01,22.497,53.433,
002771,真视通,55.12,22.461,10.64,
000629,*ST钒钛,0.0,22.303,,
000628,高新发展,90.21,22.3,6.357,
300691,联合光电,62.08,22.132,8.567,
300738,奥飞数据,69.81,21.904,35.533,
000045,深纺织Ａ,112.76,21.59,4.763,
300730,科创信息,796.9,21.546,44.153,
300672,国科微,1072.4,20.454,18.587,
300140,中环装备,132.55,20.413,9.69,
300602,飞荣达,71.33,20.157,5.02,
600838,上海九百,42.94,20.155,8.807,
300347,泰格医药,87.68,20.064,1.78,
300272,开能环保,44.66,19.98,0.937,
002629,仁智股份,0.0,19.686,3.447,
600053,九鼎投资,34.82,19.647,2.113,
000565,渝三峡Ａ,39.82,19.195,3.403,
300661,圣邦股份,78.63,18.875,4.85,
300490,华自科技,93.66,18.871,8.977,
300572,安车检测,65.35,18.736,1.94,
300519,新光药业,33.71,18.66,8.37,
002847,盐津铺子,48.25,18.403,24.383,
600721,百花村,39.58,18.047,5.94,
300216,千山药机,74.25,17.97,22.297,
300723,一品红,40.58,17.819,11.833,
000948,南天信息,113.86,17.751,3.21,
300686,智动力,97.41,17.529,22.223,
600535,天士力,29.3,17.288,1.067,
002066,瑞泰科技,232.54,17.232,8.11,
002824,和胜股份,48.51,17.23,6.483,
002821,凯莱英,59.66,17.053,2.427,
600555,海航创新,0.0,16.883,2.18,
600191,华资实业,88.44,16.844,3.67,
600187,国中水务,317.38,16.844,7.063,
002786,银宝山新,55.53,16.821,9.407,
002702,海欣食品,0.0,16.792,18.203,
002921,联诚精密,55.81,16.527,55.53,
600560,金自天正,127.47,16.465,15.063,
000810,创维数字,125.62,16.446,2.41,
002523,天桥起重,54.12,16.403,0.35,
300509,新美星,37.52,16.291,13.797,
300633,开立医疗,70.51,16.29,3.257,
000032,深桑达Ａ,70.34,16.289,6.307,
002428,云南锗业,1563.68,16.171,5.49,
300344,太空智造,0.0,15.987,17.61,
300003,乐普医疗,63.53,15.974,1.337,
002297,博云新材,0.0,15.685,7.263,
300430,诚益通,66.37,15.648,1.807,
002741,光华科技,66.83,15.58,0.837,
300300,汉鼎宇佑,140.06,15.56,6.19,
000695,滨海能源,243.84,15.541,2.387,
600343,航天动力,593.63,15.538,4.417,
600316,洪都航空,324.19,15.475,4.093,
300700,岱勒新材,49.33,15.354,18.11,
002226,江南化工,92.9,15.353,6.0,
002861,瀛通通讯,39.72,15.296,16.053,
002776,柏堡龙,32.14,15.286,2.113,
300722,新余国科,80.5,15.144,35.04,
600332,白云山,22.99,15.11,1.477,
600207,安彩高科,827.16,14.927,5.407,
300558,贝达药业,93.11,14.91,1.68,
600355,精伦电子,0.0,14.866,1.823,
002246,北化股份,73.36,14.712,7.047,
600276,恒瑞医药,77.23,14.626,0.503,
000020,深华发Ａ,8682.63,14.552,6.103,
002651,利君股份,74.23,14.508,6.013,
300130,新国都,95.88,14.439,2.827,
002422,科伦药业,80.2,14.386,1.53,
000893,东凌国际,0.0,14.36,2.823,
002773,康弘药业,65.18,14.34,2.463,
600766,园城黄金,606.76,14.224,5.417,
300707,威唐工业,40.59,14.221,28.823,
600635,大众公用,29.87,13.942,4.47,
300601,康泰生物,115.81,13.926,3.033,
300650,太龙照明,49.15,13.914,24.847,
300051,三五互联,56.62,13.874,12.133,
002860,星帅尔,36.73,13.798,17.617,
000963,华东医药,31.69,13.795,0.697,
600737,中粮糖业,24.52,13.709,2.22,
600436,片仔癀,56.29,13.64,0.987,
300461,田中精机,124.72,13.517,2.823,
600178,东安动力,49.54,13.358,6.793,
300581,晨曦航空,94.86,13.356,13.803,
600262,北方股份,212.64,13.142,2.59,
002088,鲁阳节能,28.11,13.112,4.35,
600819,耀皮玻璃,134.47,13.038,1.387,
600763,通策医疗,54.58,13.019,1.84,
002268,卫 士 通,0.0,12.749,2.153,
002674,兴业科技,69.35,12.678,0.677,
600119,长江投资,119.21,12.63,6.21,
600975,新五丰,54.07,12.604,3.343,
002898,赛隆药业,50.75,12.576,18.447,
300260,新莱应材,129.13,12.464,1.53,
300351,永贵电器,33.72,12.442,2.723,
300231,银信科技,36.17,12.392,12.19,
300377,赢时胜,96.21,12.39,7.993,
300655,晶瑞股份,79.34,12.389,9.597,
300517,海波重科,62.76,12.344,3.64,
000519,中兵红箭,362.57,12.247,6.767,
300726,宏达电子,51.6,12.013,20.953,
002367,康力电梯,20.28,11.887,10.117,
000950,*ST建峰,0.0,11.796,,
002798,帝王洁具,150.29,11.775,1.847,
002278,神开股份,0.0,11.764,2.667,
600988,赤峰黄金,44.1,11.692,5.68,
300620,光库科技,55.61,11.677,11.46,
002748,世龙实业,18.87,11.607,3.2,
300529,健帆生物,52.15,11.607,1.013,
300701,森霸股份,50.1,11.523,24.537,
600202,哈空调,0.0,11.405,3.06,
300357,我武生物,48.11,11.391,1.053,
300649,杭州园林,166.2,11.348,10.847,
600196,复星医药,34.49,11.216,1.567,
600698,湖南天雁,0.0,11.202,8.657,
300175,朗源股份,46.1,11.119,3.837,
002840,华统股份,58.09,11.113,1.557,
600855,航天长峰,10279.85,11.093,4.26,
300462,华铭智能,98.36,11.089,18.313,
601117,中国化学,20.92,11.077,0.587,
601801,皖新传媒,14.58,11.065,0.643,
600080,金花股份,76.68,11.021,3.533,
000721,西安饮食,0.0,11.007,2.983,
300559,佳发安泰,46.89,10.925,2.023,
002679,福建金森,0.0,10.77,1.69,
600517,置信电气,72.36,10.768,2.1,
600322,天房发展,30.31,10.745,0.627,
002873,新天药业,35.25,10.712,16.977,
600883,博闻科技,36.41,10.648,1.283,
002549,凯美特气,114.13,10.638,1.11,
600821,津劝业,0.0,10.544,1.71,
600088,中视传媒,55.06,10.467,4.713,
300666,江丰电子,258.76,10.417,14.693,
600136,当代明诚,60.49,10.384,2.733,
000702,正虹科技,80.09,10.377,3.75,
600385,山东金泰,0.0,10.365,1.623,
600594,益佰制药,19.7,10.305,6.957,
300532,今天国际,51.43,10.289,8.69,
000759,中百集团,35.13,10.258,2.597,
600598,北大荒,21.09,10.258,4.547,
601086,国芳集团,56.76,10.242,35.953,
600543,莫高股份,93.97,10.208,1.713,
600967,内蒙一机,54.88,10.098,2.507,
300678,中科信息,328.09,10.04,21.3,
600986,科达股份,24.38,9.984,1.713,
002923,润都股份,40.72,9.981,33.217,
002870,香山股份,43.09,9.966,22.84,
300699,光威复材,70.17,9.87,7.637,
002131,利欧股份,27.29,9.845,4.317,
002215,诺 普 信,20.15,9.836,2.04,
000972,*ST中基,29.18,9.817,0.97,
300168,万达信息,115.74,9.769,5.493,
002134,*ST普林,0.0,9.747,1.037,
601028,玉龙股份,64.9,9.738,1.163,
300474,景嘉微,121.12,9.724,9.297,
000806,银河生物,2357.79,9.708,5.057,
002480,新筑股份,0.0,9.695,1.37,
600250,南纺股份,0.0,9.694,1.027,
002364,中恒电气,52.43,9.691,1.377,
600775,南京熊猫,103.09,9.634,2.34,
000922,*ST佳电,32.39,9.617,1.537,
002202,金风科技,22.16,9.578,1.287,
002777,久远银海,102.04,9.564,4.1,
300527,华舟应急,69.49,9.552,1.717,
002825,纳尔股份,67.63,9.518,10.423,
600771,广誉远,114.1,9.485,1.047,
002822,中装建设,30.37,9.476,10.727,
300226,上海钢联,219.29,9.454,5.133,
000503,海虹控股,0.0,9.415,1.65,
002913,奥士康,36.92,9.366,12.347,
600728,佳都科技,73.6,9.264,9.717,
300328,宜安科技,135.84,9.255,1.483,
000661,长春高新,45.46,9.24,1.033,
002812,创新股份,101.51,9.223,1.507,
600556,ST慧球,716.33,9.221,1.023,
002841,视源股份,40.51,9.162,1.497,
600358,国旅联合,53.84,9.153,2.117,
600476,湘邮科技,733.06,9.152,3.07,
000713,丰乐种业,0.0,9.143,3.51,
000065,北方国际,18.5,9.122,4.547,
002717,岭南股份,24.01,9.097,3.697,
600547,山东黄金,47.58,9.093,3.323,
600865,百大集团,38.39,9.042,4.657,
600315,上海家化,65.26,9.02,1.253,
600302,标准股份,0.0,8.969,1.943,
300015,爱尔眼科,75.37,8.915,0.773,
300698,万马科技,79.57,8.886,17.027,
300711,广哈通信,73.46,8.884,25.857,
002715,登云股份,223.5,8.83,5.447,
002738,中矿资源,135.46,8.8,9.287,
002013,中航机电,43.71,8.795,0.777,
300717,华信新材,48.04,8.766,12.82,
002358,森源电气,27.52,8.756,0.887,
002200,云投生态,0.0,8.705,2.63,
600062,华润双鹤,24.58,8.655,1.097,
002505,大康农业,470.8,8.654,1.593,
600213,亚星客车,64.49,8.613,9.17,
002395,双象股份,181.89,8.54,0.597,
300651,金陵体育,102.28,8.517,5.47,
000061,农 产 品,3400.55,8.466,0.667,
002190,成飞集成,11024.56,8.392,5.06,
600310,桂东电力,200.53,8.386,0.96,
600372,中航电子,46.67,8.384,1.06,
002727,一心堂,34.61,8.321,2.08,
002446,盛路通信,44.82,8.272,2.797,
600363,联创光电,21.34,8.242,1.403,
600028,中国石化,16.16,8.188,0.243,
002424,贵州百灵,42.44,8.146,5.33,
600833,第一医药,55.78,8.137,4.677,
300313,天山生物,264.31,8.134,1.793,
002038,双鹭药业,41.95,8.092,1.573,
002896,中大力德,49.0,8.09,12.427,
600218,全柴动力,27.1,8.086,2.873,
600299,安迪苏,26.14,8.025,0.677,
002010,传化智联,172.45,8.005,0.87,
002432,九安医疗,0.0,7.998,5.037,
300160,秀强股份,21.63,7.961,1.48,
002749,国光股份,23.84,7.95,1.333,
002044,美年健康,228.54,7.934,1.16,
300457,赢合科技,44.66,7.883,4.31,
002178,延华智能,0.0,7.879,5.283,
300268,佳沃股份,0.0,7.825,3.267,
300483,沃施股份,351.17,7.819,1.197,
300174,元力股份,168.18,7.759,0.253,
002788,鹭燕医药,29.65,7.746,4.407,
600038,中直股份,55.56,7.728,2.843,
002571,*ST德力,57.42,7.707,1.84,
000430,张家界,37.31,7.689,2.113,
002332,仙琚制药,41.59,7.584,0.837,
300645,正元智慧,892.17,7.551,15.487,
601888,中国国旅,43.79,7.533,0.59,
300669,沪宁股份,43.4,7.415,6.43,
600501,航天晨光,0.0,7.397,1.803,
300101,振芯科技,250.66,7.391,2.013,
600562,国睿科技,59.49,7.309,1.96,
300421,力星股份,34.59,7.308,1.603,
002205,国统股份,520.53,7.274,4.28,
600192,长城电工,138.28,7.249,5.48,
000554,泰山石油,1573.09,7.225,9.057,
002885,京泉华,35.97,7.222,12.713,
300554,三超新材,76.98,7.201,7.003,
002360,同德化工,29.52,7.187,2.11,
002286,保龄宝,80.59,7.113,0.66,
002409,雅克科技,108.54,7.088,3.533,
300162,雷曼股份,81.24,7.081,4.813,
002127,南极电商,76.89,7.036,0.967,
300365,恒华科技,39.93,7.02,1.89,
002343,慈文传媒,63.4,7.0,1.107,
000768,中航飞机,95.56,6.97,1.663,
600208,新湖中宝,17.26,6.955,0.753,
600590,泰豪科技,27.03,6.941,1.847,
600767,*ST运盛,395.19,6.913,1.2,
300616,尚品宅配,78.75,6.866,0.907,
600114,东睦股份,23.13,6.861,1.31,
600630,龙头股份,29.88,6.857,4.99,
300485,赛升药业,23.8,6.838,3.647,
000016,深康佳Ａ,88.44,6.778,1.47,
002908,德生科技,76.71,6.679,25.023,
000529,广弘控股,29.79,6.674,1.45,
600381,青海春天,26.42,6.649,3.35,
000799,酒鬼酒,41.92,6.64,1.787,
300398,飞凯材料,106.92,6.594,1.427,
002603,以岭药业,30.54,6.591,0.66,
002852,道道全,25.02,6.547,3.477,
