code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
002427,*ST尤夫,7.152,-53.773,9.243,0.032,7.368,,
002085,万丰奥威,20.601,-40.254,1.533,0.061,10.388,,
002692,睿康股份,3.844,-36.965,2.293,0.022,6.377,,
002656,摩登大道,0.249,-35.778,1.847,0.006,16.038,★,
600172,黄河旋风,1.852,-33.926,2.69,0.016,5.345,,
600539,*ST狮头,2.678,-33.493,1.077,0.009,7.45,,
600749,*ST藏旅,8.849,-31.733,1.52,0.041,11.215,,
300216,千山药机,6.952,-26.871,20.33,0.052,8.827,★,
000056,皇庭国际,5.884,-24.401,0.83,0.025,10.332,,
002454,松芝股份,3.961,-24.152,1.067,0.01,9.98,★,
000613,大东海A,4.376,-23.444,13.58,0.046,10.785,,
300487,蓝晓科技,10.459,-23.308,18.613,0.049,35.745,,
002927,泰永长征,3.267,-23.226,25.01,0.017,52.665,,
002922,伊戈尔,2.279,-23.147,7.667,0.012,25.325,★,
000955,欣龙控股,2.427,-23.049,2.543,0.022,5.62,,
000586,汇源通信,9.971,-22.688,1.433,0.028,11.343,,
600291,西水股份,1.304,-22.674,0.883,0.011,15.692,,
000886,海南高速,0.173,-21.608,3.753,0.024,5.862,,
000968,蓝焰控股,5.498,-21.298,1.16,0.015,10.282,,
000707,*ST双环,2.889,-21.263,1.02,0.008,3.185,★,
002265,西仪股份,5.535,-20.701,7.803,0.061,14.608,,
002175,东方网络,6.654,-20.687,3.81,0.016,5.492,,
000655,*ST金岭,1.715,-20.581,0.493,0.007,4.243,,
300116,坚瑞沃能,0.256,-20.491,6.97,0.036,3.788,★,
002576,通达动力,0.002,-20.285,2.23,0.022,11.997,,
002865,钧达股份,1.891,-19.695,20.19,0.032,21.55,,
600290,华仪电气,8.958,-19.632,0.68,0.023,11.028,,
002562,兄弟科技,5.199,-19.475,6.753,0.038,11.478,,
600416,湘电股份,1.404,-19.173,1.66,0.019,9.365,★,
002929,润建通信,5.094,-18.829,16.02,0.016,49.332,,
600051,宁波联合,0.649,-18.796,0.947,0.003,7.735,★,
300444,双杰电气,0.899,-18.029,3.593,0.017,16.96,,
300063,天龙集团,3.33,-17.87,3.57,0.026,4.052,★,
600183,生益科技,5.347,-17.401,1.617,0.017,13.805,,
002518,科士达,2.4,-17.213,0.75,0.012,13.492,,
002575,群兴玩具,4.229,-17.201,1.74,0.012,5.15,★,
002928,华夏航空,8.446,-17.201,10.853,0.027,33.865,,
002805,丰元股份,4.142,-17.135,9.677,0.026,24.105,,
300643,万通智控,3.067,-17.067,8.45,0.019,12.458,★,
600735,新华锦,4.837,-17.064,2.493,0.012,10.175,★,
002136,安 纳 达,1.414,-16.918,3.537,0.02,11.41,★,
300711,广哈通信,0.448,-16.8,7.403,0.012,24.222,★,
600959,江苏有线,0.805,-16.508,0.327,0.005,6.217,★,
000953,*ST河化,2.469,-16.474,0.73,0.013,7.182,,
002785,万里石,1.267,-16.396,3.67,0.019,11.42,,
300189,神农基因,0.005,-16.394,0.997,0.015,3.722,,
002241,歌尔股份,1.305,-16.378,0.9,0.008,11.72,★,
300136,信维通信,17.444,-16.223,2.213,0.036,35.885,,
002880,卫光生物,1.973,-15.836,5.307,0.018,50.17,,
300278,华昌达,7.367,-15.538,10.6,0.036,9.325,★,
002108,沧州明珠,7.693,-15.517,1.367,0.025,8.105,,
002738,中矿资源,2.877,-15.202,2.56,0.017,23.23,,
002058,威 尔 泰,0.721,-14.991,0.813,0.023,14.152,,
002869,金溢科技,4.108,-14.743,8.893,0.03,29.91,,
