,ts_code,symbol,name,industry,COL_MAX_CONTINUOUS_LIMIT_COUNT,COL_LAST_IF_LIMIT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000820.SZ,000820,*ST节能,环境保护,9.0,False,14.41,"陕西省国际信托股份有限公司-陕国投·聚宝盆30号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·持盈88号证券投资集合资金信托计划",2.0
1,603157.SH,603157,*ST拉夏,服饰,7.0,False,4.23,,0.0
2,000835.SZ,000835,*ST长动,影视音像,4.0,False,7.39,,0.0
3,000980.SZ,000980,*ST众泰,汽车配件,4.0,False,71.64,"长城(德阳)长富投资基金合伙企业(有限合伙)
烟台速源股权投资基金合伙企业(有限合伙)
深圳市恒泰华盛资产管理有限公司-宁波梅山保税港区西投珅城投资合伙企业(有限合伙)",3.0
4,002175.SZ,002175,*ST东网,电器仪表,4.0,False,14.62,上海文盛资产管理股份有限公司,1.0
5,002356.SZ,002356,*ST赫美,其他商业,4.0,False,10.48,,0.0
6,002592.SZ,002592,ST八菱,汽车配件,4.0,False,12.62,"南宁八菱科技股份有限公司-第2期员工持股计划+国海证券-工商银行-国海金贝壳员工持股2号集合资产管理计划
国海证券-工商银行-国海金贝壳员工持股2号集合资产管理计划",2.0
7,000007.SZ,000007,*ST全新,酒店餐饮,3.0,False,11.34,,0.0
8,000410.SZ,000410,*ST沈机,机床制造,3.0,False,70.77,"兴业资产管理有限公司
中国信达资产管理股份有限公司",2.0
9,002188.SZ,002188,*ST巴士,广告包装,3.0,False,7.23,,0.0
10,002256.SZ,002256,*ST兆新,新型电力,3.0,False,30.19,"中融国际信托有限公司
深圳市汇通正源股权投资基金合伙企业(有限合伙)
上海隆升资产管理有限公司",3.0
11,002321.SZ,002321,*ST华英,农业综合,3.0,False,12.32,,0.0
12,600091.SH,600091,*ST明科,化工原料,3.0,False,10.37,,0.0
13,600725.SH,600725,ST云维,焦炭加工,3.0,False,30.44,,0.0
14,601020.SH,601020,ST华钰,铅锌,3.0,False,38.43,中国国际金融香港资产管理有限公司-客户资金2,1.0
