,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE
0,600081.SH,600081,东风科技,汽车配件,5.0,10.0,16.72
1,600710.SH,600710,苏美达,工程机械,4.0,10.0264,8.34
2,000800.SZ,000800,一汽轿车,汽车整车,3.0,9.9902,11.23
3,002783.SZ,002783,凯龙股份,化工原料,3.0,9.9809,17.3
4,002210.SZ,002210,飞马国际,仓储物流,3.0,9.9407,7.41
5,002761.SZ,002761,多喜爱,纺织,3.0,9.9849,21.81
6,601777.SH,601777,力帆股份,摩托车,2.0,10.0162,6.81
7,600666.SH,600666,奥瑞德,元器件,2.0,10.0791,5.57
8,002676.SZ,002676,顺威股份,塑料,2.0,9.9567,5.08
9,600218.SH,600218,全柴动力,农用机械,2.0,9.9941,18.6
10,002547.SZ,002547,春兴精工,通信设备,2.0,10.0571,9.63
11,300711.SZ,300711,广哈通信,通信设备,2.0,9.9868,25.0
12,300194.SZ,300194,福安药业,化学制药,2.0,9.9762,9.26
13,600758.SH,600758,红阳能源,煤炭开采,2.0,10.0604,5.47
14,600599.SH,600599,熊猫金控,多元金融,2.0,10.0,17.16
15,601949.SH,601949,中国出版,出版业,2.0,10.0295,7.46
16,300768.SZ,300768,迪普科技,软件服务,2.0,10.0056,19.57
17,300743.SZ,300743,天地数码,电脑设备,2.0,10.0051,65.31
18,300573.SZ,300573,兴齐眼药,化学制药,2.0,10.0,30.25
19,300322.SZ,300322,硕贝德,通信设备,2.0,10.0061,18.03
20,600568.SH,600568,中珠医疗,区域地产,1.0,9.9042,3.44
21,600620.SH,600620,天宸股份,综合类,1.0,10.0216,10.21
22,300698.SZ,300698,万马科技,通信设备,1.0,9.9945,20.03
23,300590.SZ,300590,移为通信,通信设备,1.0,9.9974,42.8
24,600540.SH,600540,新赛股份,种植业,1.0,10.0186,5.93
25,600459.SH,600459,贵研铂业,小金属,1.0,9.9781,20.06
26,300638.SZ,300638,广和通,通信设备,1.0,10.0033,67.08
27,300739.SZ,300739,明阳电路,元器件,1.0,10.004,27.27
28,300735.SZ,300735,光弘科技,通信设备,1.0,10.0036,30.46
29,300769.SZ,300769,N德方,化工原料,1.0,10.0066,66.18
30,000063.SZ,000063,中兴通讯,通信设备,1.0,10.0,33.55
31,600731.SH,600731,湖南海利,农药化肥,1.0,9.9688,7.06
32,300538.SZ,300538,同益股份,批发业,1.0,10.0,35.64
33,603598.SH,603598,引力传媒,影视音像,1.0,9.9913,12.66
34,603559.SH,603559,中通国脉,通信设备,1.0,9.9297,26.57
35,603501.SH,603501,韦尔股份,半导体,1.0,10.0,59.18
36,603300.SH,603300,华铁科技,钢加工,1.0,9.9808,11.46
37,603220.SH,603220,贝通信,通信设备,1.0,10.0095,34.62
38,603083.SH,603083,剑桥科技,通信设备,1.0,10.0,35.53
39,603068.SH,603068,N博通,半导体,1.0,9.9888,29.51
40,603042.SH,603042,华脉科技,通信设备,1.0,9.9866,16.41
