,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE
0,300762.SZ,300762,上海瀚讯,通信设备,15.0,9.9966,97.93
1,300766.SZ,300766,每日互动,互联网,8.0,9.9973,40.38
2,603681.SH,603681,永冠新材,化工原料,7.0,9.9961,28.06
3,002177.SZ,002177,御银股份,电脑设备,6.0,9.9596,8.17
4,300099.SZ,300099,精准信息,电器仪表,6.0,10.0225,9.77
5,300194.SZ,300194,福安药业,化学制药,5.0,10.0182,6.04
6,002952.SZ,002952,亚世光电,元器件,5.0,10.0076,72.22
7,600517.SH,600517,置信电气,电气设备,4.0,10.0,7.04
8,300174.SZ,300174,元力股份,化工原料,4.0,10.0044,25.07
9,601975.SH,601975,长航油运,水运,4.0,9.9057,4.66
10,300767.SZ,300767,震安科技,橡胶,4.0,10.0082,40.45
11,002210.SZ,002210,飞马国际,仓储物流,4.0,9.9783,5.07
12,600648.SH,600648,外高桥,园区开发,4.0,9.9958,26.08
13,000503.SZ,000503,国新健康,医疗保健,3.0,9.9961,27.95
14,603956.SH,603956,威派格,专用机械,3.0,9.9937,35.11
15,300378.SZ,300378,鼎捷软件,软件服务,3.0,10.0112,19.56
16,000927.SZ,000927,一汽夏利,汽车整车,3.0,10.0656,5.03
17,300552.SZ,300552,万集科技,软件服务,3.0,9.996,27.29
18,600119.SH,600119,长江投资,仓储物流,2.0,10.0,8.58
19,000607.SZ,000607,华媒控股,广告包装,2.0,10.0639,6.89
20,600822.SH,600822,上海物贸,商贸代理,2.0,10.008,13.74
21,000723.SZ,000723,美锦能源,焦炭加工,2.0,9.9744,12.9
22,300416.SZ,300416,苏试试验,电器仪表,2.0,9.9827,25.45
23,000729.SZ,000729,燕京啤酒,啤酒,2.0,10.0413,8.0
24,300461.SZ,300461,田中精机,专用机械,2.0,10.0116,28.46
25,300554.SZ,300554,三超新材,矿物制品,2.0,10.0233,23.6
26,002761.SZ,002761,多喜爱,纺织,2.0,9.9834,19.83
27,603009.SH,603009,北特科技,汽车配件,2.0,10.0,10.12
28,603823.SH,603823,百合花,染料涂料,2.0,9.983,25.89
29,603128.SH,603128,华贸物流,仓储物流,2.0,9.989,10.02
30,603648.SH,603648,畅联股份,仓储物流,2.0,9.9725,15.99
31,603379.SH,603379,N三美,化工原料,2.0,10.0058,56.51
32,600018.SH,600018,上港集团,港口,2.0,10.0496,8.87
33,000996.SZ,000996,中国中期,汽车服务,2.0,9.9755,17.97
34,603329.SH,603329,上海雅仕,仓储物流,2.0,9.9949,21.68
35,600571.SH,600571,信雅达,软件服务,1.0,9.9828,12.78
36,600561.SH,600561,江西长运,公共交通,1.0,10.0282,7.79
37,600620.SH,600620,天宸股份,综合类,1.0,10.0478,9.2
38,600638.SH,600638,新黄浦,区域地产,1.0,10.0448,12.27
39,600753.SH,600753,东方银星,批发业,1.0,9.9891,20.26
40,600614.SH,600614,鹏起科技,综合类,1.0,9.9388,7.19
41,000004.SZ,000004,国农科技,生物制药,1.0,10.0,21.67
42,600793.SH,600793,宜宾纸业,造纸,1.0,10.011,20.0
43,600844.SH,600844,丹化科技,化工原料,1.0,9.9307,4.76
44,603888.SH,603888,新华网,互联网,1.0,10.0039,28.48
45,603639.SH,603639,海利尔,农药化肥,1.0,9.9915,38.64
46,603637.SH,603637,镇海股份,建筑施工,1.0,10.0,18.37
47,603619.SH,603619,中曼石油,石油开采,1.0,10.0053,20.67
48,603599.SH,603599,广信股份,农药化肥,1.0,9.988,18.28
49,603378.SH,603378,亚士创能,染料涂料,1.0,10.0121,18.24
50,603086.SH,603086,先达股份,农药化肥,1.0,9.9891,40.41
51,603085.SH,603085,天成自控,汽车配件,1.0,10.0307,10.75
52,603079.SH,603079,圣达生物,食品,1.0,9.9842,27.76
53,603002.SH,603002,宏昌电子,化工原料,1.0,10.0,5.28
54,601799.SH,601799,星宇股份,汽车配件,1.0,10.008,68.92
55,600516.SH,600516,方大炭素,矿物制品,1.0,9.9883,28.3
56,600969.SH,600969,郴电国际,水力发电,1.0,10.0244,9.0
57,600871.SH,600871,石化油服,石油开采,1.0,9.9668,3.31
58,600855.SH,600855,航天长峰,专用机械,1.0,9.9747,17.42
59,600975.SH,600975,新五丰,农业综合,1.0,10.0077,14.29
60,300561.SZ,300561,汇金科技,软件服务,1.0,10.0283,19.42
61,600422.SH,600422,昆药集团,中成药,1.0,9.9817,12.01
62,002703.SZ,002703,浙江世宝,汽车配件,1.0,10.0,6.27
63,002648.SZ,002648,卫星石化,化工原料,1.0,10.0,17.93
64,002606.SZ,002606,大连电瓷,电气设备,1.0,9.9455,8.07
65,002597.SZ,002597,金禾实业,化工原料,1.0,10.0162,20.43
66,002548.SZ,002548,金新农,饲料,1.0,10.0437,12.6
67,002496.SZ,002496,辉丰股份,农药化肥,1.0,10.1639,3.36
68,002461.SZ,002461,珠江啤酒,啤酒,1.0,9.9448,7.96
69,002442.SZ,002442,龙星化工,化工原料,1.0,9.9757,9.04
70,002279.SZ,002279,久其软件,软件服务,1.0,10.0427,10.3
71,002157.SZ,002157,正邦科技,饲料,1.0,9.9945,20.14
72,002099.SZ,002099,海翔药业,化学制药,1.0,9.9734,8.27
73,000990.SZ,000990,诚志股份,化工原料,1.0,10.0153,28.67
74,000958.SZ,000958,东方能源,火力发电,1.0,10.0,5.39
75,000830.SZ,000830,鲁西化工,农药化肥,1.0,10.0122,18.02
76,000796.SZ,000796,凯撒旅游,旅游服务,1.0,10.0,10.01
77,000712.SZ,000712,锦龙股份,证券,1.0,9.9933,16.4
78,002660.SZ,002660,茂硕电源,电气设备,1.0,9.987,8.48
79,002748.SZ,002748,世龙实业,化工原料,1.0,10.0111,9.89
80,600389.SH,600389,江山股份,农药化肥,1.0,10.0052,21.0
81,002790.SZ,002790,瑞尔特,家居用品,1.0,10.016,13.73
82,600368.SH,600368,五洲交通,路桥,1.0,9.9744,4.3
83,600163.SH,600163,中闽能源,新型电力,1.0,9.901,4.44
84,600115.SH,600115,东方航空,空运,1.0,10.0134,8.24
85,300718.SZ,300718,长盛轴承,机械基件,1.0,10.0277,19.86
86,300540.SZ,300540,深冷股份,专用机械,1.0,9.9831,19.5
87,300325.SZ,300325,德威新材,塑料,1.0,10.0616,5.36
88,300250.SZ,300250,初灵信息,软件服务,1.0,10.023,19.1
89,300240.SZ,300240,飞力达,仓储物流,1.0,10.0228,9.66
90,300135.SZ,300135,宝利国际,化工原料,1.0,9.9707,3.75
91,300124.SZ,300124,汇川技术,电器仪表,1.0,9.9886,28.85
92,300061.SZ,300061,康旗股份,医疗保健,1.0,10.0442,9.97
93,002951.SZ,002951,金时科技,广告包装,1.0,10.006,36.94
94,002906.SZ,002906,华阳集团,汽车配件,1.0,10.0,13.31
95,002897.SZ,002897,意华股份,元器件,1.0,10.0,27.17
96,002825.SZ,002825,纳尔股份,化工原料,1.0,10.0174,19.0
97,603986.SH,603986,兆易创新,半导体,1.0,9.9991,119.03
