code,name,pe,past_p_change,past_average_turnover,stop_mark
300110,华仁药业,270.3,-48.731,9.993,
600112,*ST天成,104.83,-40.326,2.833,
002729,好利来,84.62,-38.468,14.173,
002512,达华智能,140.78,-37.568,11.02,
002694,顾地科技,314.98,-36.711,14.943,
002188,ST巴士,15.67,-35.562,6.573,
601600,中国铝业,43.95,-33.743,2.81,
300566,激智科技,56.48,-32.986,4.007,
000663,永安林业,118.43,-29.558,7.273,
002012,凯恩股份,124.03,-27.182,6.46,
300680,隆盛科技,99.71,-26.237,7.787,
600212,江泉实业,110.91,-24.026,1.263,
002517,恺英网络,20.36,-23.957,4.953,
601360,三六零,4788.26,-23.951,9.0,
601700,风范股份,34.27,-22.087,3.423,
300492,山鼎设计,321.28,-21.135,8.237,
000806,银河生物,2344.78,-20.508,9.263,
300042,朗科科技,67.95,-19.37,0.75,
601838,成都银行,11.64,-17.587,15.123,
002508,老板电器,29.61,-17.486,1.62,
600715,文投控股,60.87,-16.25,4.1,
300143,星普医科,41.28,-16.175,1.96,
000979,中弘股份,124.06,-15.964,1.477,
002251,步 步 高,54.41,-15.513,1.413,
002926,华西证券,33.25,-14.17,13.923,
600319,亚星化学,232.1,-13.527,1.01,
601101,昊华能源,11.01,-13.454,0.91,
002071,长城影视,30.76,-13.374,1.173,
300107,建新股份,100.07,-13.254,9.837,
000723,美锦能源,20.31,-12.575,3.943,
600829,人民同泰,25.23,-12.293,0.8,
000662,天夏智慧,39.18,-12.207,1.363,
600803,新奥股份,28.77,-12.078,0.667,
300069,金利华电,124.86,-12.063,0.967,
600074,ST保千里,10.15,-12.018,7.01,
000007,全新好,342.66,-11.998,2.373,
002330,得利斯,631.38,-11.79,0.977,
600664,哈药股份,32.89,-11.288,0.82,
600804,鹏博士,25.98,-11.011,2.88,
300010,立思辰,104.9,-11.011,1.873,
600875,东方电气,39.15,-11.009,0.52,
600971,恒源煤电,7.94,-10.198,1.277,
300157,恒泰艾普,47.46,-10.196,3.91,
000983,西山煤电,15.9,-10.11,0.857,
002684,猛狮科技,72.49,-9.506,3.1,
000586,汇源通信,2517.18,-9.407,0.85,
601666,平煤股份,10.61,-9.145,1.057,
600188,兖州煤业,11.41,-9.131,1.05,
300495,美尚生态,31.95,-8.935,1.887,
002839,张家港行,21.65,-8.904,11.967,
300580,贝斯特,30.24,-8.754,4.473,
002288,超华科技,102.81,-8.704,1.837,
601225,陕西煤业,7.7,-8.492,0.543,
600409,三友化工,10.26,-8.331,1.64,
002146,荣盛发展,12.48,-8.179,1.09,
600959,江苏有线,31.74,-8.11,0.62,
601001,大同煤业,11.7,-8.025,0.91,
000018,神州长城,17.84,-8.002,1.353,
600497,驰宏锌锗,30.28,-7.992,1.077,
300737,科顺股份,42.97,-7.98,19.837,
002663,普邦股份,52.81,-7.738,2.063,
002081,金 螳 螂,18.14,-7.714,0.753,
600126,杭钢股份,10.85,-7.588,0.523,
002856,美芝股份,61.1,-7.573,19.203,
300237,美晨生态,24.34,-7.416,0.6,
000835,长城动漫,54.01,-7.381,1.013,
600115,东方航空,10.13,-7.373,0.573,
600892,大晟文化,44.54,-7.333,1.217,
600569,安阳钢铁,8.97,-7.28,1.703,
601336,新华保险,24.37,-7.183,0.577,
600231,凌钢股份,8.61,-7.166,1.12,
002560,通达股份,209.72,-7.124,4.7,
000060,中金岭南,20.6,-7.099,1.527,
300412,迦南科技,41.26,-7.098,0.71,
000815,美利云,1824.35,-6.917,1.98,
600531,豫光金铅,34.58,-6.849,1.67,
600808,马钢股份,8.56,-6.839,0.697,
300326,凯利泰,29.49,-6.835,0.667,
600383,金地集团,18.57,-6.814,0.61,
600123,兰花科创,9.77,-6.808,0.943,
002128,露天煤业,10.53,-6.801,1.067,
600048,保利地产,15.69,-6.786,0.733,
002579,中京电子,298.14,-6.749,0.76,
002069,獐子岛,32.48,-6.712,6.443,
002807,江阴银行,19.48,-6.692,2.963,
