,ts_code,name,industry,average_turnover_rate,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,circ_mv
2574,600556.SH,ST慧球,软件服务,0.187,14.0,3.999,72.675,2.994,234507.4626
706,002243.SZ,通产丽星,塑料,0.233,5.0,9.99,60.976,-8.508,385386.0975
676,002213.SZ,特尔佳,汽车配件,6.756,4.0,7.017,30.92,-7.643,224280.7167
2774,600775.SH,南京熊猫,通信设备,5.135,6.0,4.237,27.156,-7.155,465584.1006
876,002414.SZ,高德红外,电器仪表,2.364,10.0,2.436,26.965,1.286,999807.7824
1233,002778.SZ,高科石化,石油加工,8.274,7.0,3.414,25.491,7.654,120571.9125
2328,600242.SH,中昌数据,软件服务,2.75,4.0,4.833,20.505,0.384,478401.1722
1086,002625.SZ,光启技术,汽车配件,7.173,3.0,6.13,19.406,-0.905,446664.2505
288,000755.SZ,山西路桥,公路,2.162,4.0,4.58,19.259,-6.25,226654.8119
141,000550.SZ,江铃汽车,汽车整车,0.55,10.0,1.618,17.238,-4.846,620557.3105
3305,603378.SH,亚士创能,染料涂料,11.854,4.0,4.105,17.05,0.478,101814.48
913,002451.SZ,摩恩电气,电气设备,11.448,4.0,4.085,16.953,-16.299,425144.0937
100,000498.SZ,山东路桥,建筑施工,9.775,3.0,5.39,16.838,-1.417,250758.3
403,000925.SZ,众合科技,专用机械,6.06,4.0,3.973,16.795,-4.074,276781.96
3251,603268.SH,松发股份,陶瓷,1.482,7.0,2.161,15.939,3.333,227601.4104
19,000023.SZ,深天地A,其他建材,7.03,4.0,3.548,14.939,2.821,209244.4099
3381,603612.SH,索通发展,矿物制品,10.207,4.0,3.565,14.605,-4.98,238602.0814
2636,600622.SH,光大嘉宝,区域地产,1.387,4.0,3.407,14.164,-1.843,581477.022
3467,603803.SH,瑞斯康达,通信设备,11.376,4.0,3.45,13.98,-3.353,245507.1636
1308,002860.SZ,星帅尔,电气设备,4.585,4.0,3.248,13.314,-3.594,90566.3305
880,002418.SZ,康盛股份,机械基件,5.847,4.0,3.231,13.183,0.647,353270.1132
1208,002751.SZ,易尚展示,家居用品,6.465,4.0,3.086,12.557,-11.596,193611.5325
