,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,circ_mv
1140,002680.SZ,*ST长生,生物制药,23.0,-3.77,-60.66,90026.6083
3195,603098.SH,森特股份,装修装饰,2.0,-2.617,-7.852,116193.588
328,000813.SZ,德展健康,化学制药,4.0,-1.197,-5.96,920645.9706
3463,603728.SH,鸣志电器,电气设备,3.0,-1.242,-4.967,252215.6
2470,600399.SH,*ST抚钢,特种钢,1.0,-2.322,-4.658,686290.8
819,002358.SZ,森源电气,电气设备,1.0,-2.196,-4.543,1721614.2045
1062,002602.SZ,世纪华通,汽车配件,1.0,-2.207,-4.42,3511416.883
2484,600421.SH,ST仰帆,机械基件,2.0,-1.176,-3.497,172714.8
1882,300498.SZ,温氏股份,农业综合,1.0,-1.688,-3.353,12000212.7382
1172,002714.SZ,牧原股份,农业综合,1.0,-1.438,-2.898,5470386.5933
509,002047.SZ,宝鹰股份,装修装饰,4.0,-0.501,-2.521,879091.9246
3369,603558.SH,健盛集团,纺织,3.0,-0.556,-2.228,326688.7137
888,002427.SZ,*ST尤夫,化纤,1.0,-0.954,-1.906,514668.4221
719,002258.SZ,利尔化学,农药化肥,3.0,-0.379,-1.512,851349.5483
94,000426.SZ,兴业矿业,铅锌,1.0,-0.603,-1.21,977885.0814
782,002321.SZ,华英农业,农业综合,1.0,-0.463,-0.964,381824.7084
2888,600891.SH,秋林集团,百货,3.0,-0.151,-0.713,213918.6634
2921,600975.SH,新五丰,农业综合,1.0,-0.303,-0.676,479716.5542
2445,600371.SH,万向德农,种植业,2.0,-0.181,-0.655,170595.48
3308,603345.SH,安井食品,食品,1.0,-0.202,-0.426,431078.5446
3451,603709.SH,中源家居,家居用品,1.0,-0.13,-0.281,56860.0
3398,603609.SH,禾丰牧业,饲料,1.0,-0.079,-0.187,887696.4689
1287,002838.SZ,道恩股份,塑料,5.0,0.131,0.746,152572.7033
439,000975.SZ,银泰资源,铅锌,2.0,0.407,1.162,1390986.9123
1052,002592.SZ,八菱科技,汽车配件,1.0,0.647,1.283,504233.8663
61,000150.SZ,宜华健康,医疗保健,1.0,1.002,1.991,678183.2182
