code,name,outstanding,p_change_range0,p_change_range1,normalizing_std1,stop_mark
600604,市北高新,13.34,-10.04,190.31,0.336,
601319,中国人保,10.11,9.94,131.74,0.162,
002708,光洋股份,2.4,-9.97,128.001,0.325,
600783,鲁信创投,7.44,-9.98,97.038,0.228,
600635,大众公用,24.19,2.31,81.514,0.175,
600235,民丰特纸,3.51,-10.0,80.431,0.217,
600082,海泰发展,6.34,9.95,74.809,0.147,
002575,群兴玩具,5.89,1.78,72.868,0.141,
600895,张江高科,15.49,-7.67,70.53,0.155,
002337,赛象科技,5.88,9.98,70.419,0.162,
600128,弘业股份,2.47,-5.7,68.863,0.187,
000622,恒立实业,4.25,-2.67,59.266,0.168,
600825,新华传媒,10.45,-10.02,57.413,0.197,
000068,华控赛格,10.07,-10.02,55.357,0.24,
000917,电广传媒,12.95,-2.91,53.903,0.132,
000058,深 赛 格,5.38,-5.09,52.209,0.186,
002192,融捷股份,2.37,-4.39,49.352,0.1,
002194,*ST凡谷,5.3,-0.14,47.318,0.122,
600053,九鼎投资,4.34,-9.98,47.234,0.141,
002141,贤丰控股,6.37,-9.9,46.811,0.173,
600624,复旦复华,6.85,-9.79,46.582,0.132,
600689,上海三毛,1.52,-7.15,45.481,0.12,
002054,德美化工,3.12,-6.64,45.158,0.138,
600247,*ST成城,3.36,-4.75,44.361,0.118,
600210,紫江企业,15.17,-9.46,39.411,0.107,
600634,*ST富控,5.76,-4.97,39.106,0.11,
600165,新日恒力,6.85,-9.95,38.888,0.12,
002686,亿利达,3.28,0.26,38.648,0.111,
002102,ST冠福,19.92,0.43,37.858,0.085,
002451,摩恩电气,4.16,-10.01,37.421,0.146,
000532,华金资本,3.43,-7.18,37.17,0.1,
600538,国发股份,4.64,10.02,36.481,0.083,
000610,西安旅游,2.35,-10.0,36.333,0.2,
002796,世嘉科技,0.3,-0.72,35.487,0.118,
600701,*ST工新,7.76,4.98,35.033,0.076,
000659,珠海中富,12.86,0.23,34.25,0.069,
002472,双环传动,5.5,10.04,34.069,0.089,
000007,全新好,3.09,-3.61,33.897,0.105,
600807,*ST天业,7.87,0.32,33.618,0.111,
002606,大连电瓷,4.03,-10.07,33.298,0.108,
600462,九有股份,5.34,-10.0,32.741,0.111,
601177,杭齿前进,4.0,-3.58,32.679,0.12,
002676,顺威股份,7.2,0.26,32.423,0.081,
600316,洪都航空,7.17,-3.68,32.16,0.14,
000856,冀东装备,2.27,1.64,31.626,0.12,
002888,惠威科技,0.36,10.02,30.696,0.067,
600283,钱江水利,3.53,-5.97,29.636,0.095,
002509,天广中茂,19.48,-7.96,29.045,0.114,
002591,恒大高新,1.82,1.47,28.776,0.084,
000793,华闻传媒,19.21,-10.0,28.563,0.082,
600848,上海临港,7.88,-6.42,28.413,0.073,
000652,泰达股份,14.74,-4.8,27.496,0.128,
600386,北巴传媒,8.06,-5.02,27.228,0.085,
600228,ST昌九,2.41,-5.0,27.021,0.085,
002346,柘中股份,3.92,-10.0,26.94,0.178,
002886,沃特股份,0.5,10.03,26.804,0.063,
600463,空港股份,3.0,-8.57,26.469,0.142,
600870,*ST厦华,5.23,-5.05,26.456,0.078,
002181,粤 传 媒,11.34,-9.96,26.386,0.099,
002669,康达新材,2.29,-8.82,26.295,0.067,
002504,弘高创意,4.15,-8.74,26.179,0.103,
002367,康力电梯,5.24,-10.02,26.063,0.109,
600080,金花股份,3.05,-2.25,25.996,0.135,
000638,万方发展,3.09,-5.86,25.926,0.136,
000936,华西股份,8.85,-9.88,25.904,0.089,
002072,凯瑞德,1.69,-8.44,25.733,0.089,
002865,钧达股份,0.38,-6.22,25.684,0.101,
002058,威 尔 泰,1.43,-9.5,25.172,0.138,
600133,东湖高新,5.38,-8.93,25.152,0.08,
000018,神州长城,13.35,-10.07,25.115,0.129,
002616,长青集团,4.59,-1.81,24.886,0.086,
002259,ST升达,7.24,-4.98,24.794,0.065,
600171,上海贝岭,6.74,10.0,24.416,0.058,
002679,福建金森,2.36,-1.7,24.248,0.072,
002213,特 尔 佳,1.97,-3.22,24.102,0.085,
600715,文投控股,12.84,3.41,24.098,0.07,
002328,新朋股份,3.25,-9.14,23.93,0.085,
000607,华媒控股,8.85,-4.49,23.821,0.072,
000576,广东甘化,4.36,0.79,23.744,0.051,
002655,共达电声,3.6,-7.68,23.736,0.131,
000931,中 关 村,7.02,-6.67,23.702,0.084,
002143,印纪传媒,9.74,-10.07,23.629,0.087,
600290,华仪电气,5.27,-9.14,23.534,0.097,
000605,渤海股份,2.73,3.9,23.47,0.073,
002295,精艺股份,2.5,-4.87,23.424,0.103,
002562,兄弟科技,4.98,3.75,23.225,0.052,
600621,华鑫股份,5.35,-7.63,23.144,0.084,
002122,*ST天马,11.84,-5.14,23.04,0.079,
002761,多喜爱,2.03,2.23,23.01,0.072,
600658,电子城,11.19,-9.95,22.765,0.102,
002584,西陇科学,3.64,-5.0,22.72,0.111,
002094,青岛金王,6.01,3.44,22.476,0.068,
002458,益生股份,1.79,4.09,22.394,0.073,
000503,国新健康,8.99,-0.05,22.014,0.089,
002061,浙江交科,5.59,0.54,21.876,0.072,
002432,九安医疗,4.33,-3.63,21.797,0.056,
002423,中原特钢,5.03,-4.05,21.783,0.063,
002210,飞马国际,13.89,7.14,21.769,0.055,
000608,阳光股份,7.5,-7.44,21.195,0.064,
600172,黄河旋风,11.69,2.9,21.042,0.056,
600730,中国高科,5.87,-5.56,20.833,0.086,
002711,欧浦智网,10.5,-9.96,20.811,0.156,
000922,*ST佳电,4.85,0.13,20.796,0.071,
000061,农 产 品,16.95,-5.81,20.608,0.104,
002021,中捷资源,6.87,7.21,20.436,0.052,
600020,中原高速,22.47,-10.02,20.417,0.101,
002055,得润电子,4.26,-4.61,20.35,0.076,
000592,平潭发展,19.14,-3.9,20.33,0.082,
600209,*ST罗顿,4.39,-4.92,20.327,0.071,
600275,ST昌鱼,5.09,-5.03,20.323,0.071,
000533,万 家 乐,6.85,-7.52,20.282,0.142,
002495,佳隆股份,6.82,-8.29,20.229,0.129,
002722,金轮股份,1.11,0.64,20.226,0.083,
002492,恒基达鑫,3.98,0.16,19.973,0.073,
000802,北京文化,3.85,7.22,19.93,0.047,
002769,普路通,2.32,1.93,19.921,0.146,
002549,凯美特气,6.2,0.57,19.883,0.078,
002124,天邦股份,10.58,-0.68,19.749,0.068,
002012,凯恩股份,4.67,-5.06,19.608,0.081,
