code,name,p_change_range0,p_change_range1,normalizing_std,mark,stop_mark
600667,太极实业,-0.351,9.747,0.027,-3.421197,
600149,*ST坊展,-1.172,9.32,0.026,-10.92304,
600090,同济堂,-1.178,8.194,0.024,-9.652532,
600385,山东金泰,-0.15,7.803,0.014,-1.17045,
000848,承德露露,-0.101,6.44,0.02,-0.6504400000000001,
000043,中航地产,-1.125,5.524,0.027,-6.2145,
600229,城市传媒,-0.794,5.392,0.022,-4.281248000000001,
002429,兆驰股份,-0.899,5.375,0.027,-4.8321250000000004,
002267,陕天然气,-1.086,4.844,0.025,-5.260584000000001,
600077,XD宋都股,-1.429,3.826,0.011,-5.467354,
600881,亚泰集团,-3.127,3.452,0.012,-10.794403999999998,
000976,华铁股份,-1.267,3.079,0.016,-3.901093,
000688,建新矿业,-2.585,2.961,0.02,-7.654184999999999,
002171,楚江新材,-0.426,2.921,0.021,-1.244346,
600740,山西焦化,-0.641,2.883,0.029,-1.848003,
000150,宜华健康,-1.139,2.621,0.009,-2.985319,
002547,春兴精工,-0.788,2.412,0.01,-1.9006560000000001,
300393,中来股份,-0.734,2.206,0.009,-1.6192039999999999,
002586,围海股份,-1.367,2.09,0.013,-2.85703,
002317,众生药业,-1.962,2.088,0.016,-4.096656,
002542,中化岩土,-0.677,2.055,0.029,-1.3912350000000002,
600070,浙江富润,-0.635,1.811,0.014,-1.149985,
002506,协鑫集成,-1.508,1.746,0.019,-2.632968,
300180,华峰超纤,-2.928,1.671,0.01,-4.892688,
600829,XD人民同,-2.087,1.563,0.02,-3.261981,
000928,中钢国际,-0.932,1.297,0.026,-1.208804,
300473,德尔股份,-5.953,1.261,0.018,-7.506733,
601226,华电重工,-1.612,1.254,0.025,-2.021448,
002408,齐翔腾达,-0.003,1.238,0.025,-0.003714,
600358,国旅联合,-1.306,1.188,0.015,-1.551528,
000875,吉电股份,-0.628,0.95,0.012,-0.5966,
600478,科力远,-1.177,0.848,0.019,-0.998096,
600365,通葡股份,-1.375,0.833,0.004,-1.145375,
000809,*ST新城,-0.273,0.832,0.017,-0.227136,
002457,青龙管业,-4.616,0.807,0.016,-3.7251119999999998,
600215,长春经开,-4.112,0.766,0.019,-3.149792,
600960,渤海活塞,-0.405,0.676,0.005,-0.27378,
002549,凯美特气,-2.763,0.616,0.017,-1.702008,
600529,山东药玻,-2.357,0.561,0.012,-1.3222770000000001,
601208,东材科技,-0.17,0.527,0.019,-0.08959000000000002,
002230,科大讯飞,-1.221,0.512,0.016,-0.625152,
002218,拓日新能,-2.212,0.492,0.019,-1.0883040000000002,
600815,*ST厦工,-0.237,0.47,0.006,-0.11138999999999999,
002553,南方轴承,-0.728,0.375,0.022,-0.273,
002498,汉缆股份,-1.667,0.343,0.01,-0.5717810000000001,
300349,金卡智能,-0.78,0.299,0.02,-0.23322,
600362,江西铜业,-1.38,0.285,0.012,-0.3932999999999999,
600595,中孚实业,-1.447,0.241,0.021,-0.348727,
002412,汉森制药,-0.489,0.189,0.005,-0.092421,
002684,猛狮科技,-3.287,0.066,0.025,-0.216942,
600370,三房巷,-0.666,0.021,0.015,-0.013986000000000002,
002565,顺灏股份,-0.878,0.007,0.012,-0.006146,
000975,银泰资源,-0.707,0.001,0.027,-0.000707,
