,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300946.SZ,300946,N恒而达,机械基件,True,380.815,23.6,,0.0
1,605337.SH,605337,N李子园,乳制品,True,44.012,11.17,,0.0
2,300327.SZ,300327,中颖电子,半导体,True,12.4764,116.12,"国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金
中国工商银行股份有限公司-嘉实产业先锋混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金五零二组合
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",6.0
3,300124.SZ,300124,汇川技术,电器仪表,True,11.4639,1545.81,"招商银行股份有限公司-泓德丰润三年持有期混合型证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)",4.0
4,601949.SH,601949,中国出版,出版业,True,10.0683,117.55,"中信证券股份有限公司-社保基金17051组合
全国社会保障基金理事会转持一户
香港中央结算有限公司(陆股通)
中国文化产业投资基金(有限合伙)",4.0
5,000626.SZ,000626,远大控股,商贸代理,True,10.0332,76.83,,0.0
6,002054.SZ,002054,德美化工,化工原料,True,10.0295,34.75,中央汇金资产管理有限责任公司,1.0
7,000528.SZ,000528,柳工,工程机械,True,10.0254,126.81,"广发基金-农业银行-广发中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划",8.0
8,600916.SH,600916,中国黄金,黄金,True,10.0139,14.24,,0.0
9,002648.SZ,002648,卫星石化,化工原料,True,10.005,464.5,"中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金
香港中央结算有限公司(陆股通)
鹏华基金管理有限公司-社保基金16051组合",4.0
10,002984.SZ,002984,森麒麟,汽车配件,True,10.0,27.48,"中国光大银行股份有限公司-建信信息产业股票型证券投资基金
中国建设银行股份有限公司-万家消费成长股票型证券投资基金
招商银行股份有限公司-万家鑫动力月月购一年滚动持有混合型证券投资基金
交通银行股份有限公司-建信科技创新混合型证券投资基金
基本养老保险基金一零零三组合
招商银行股份有限公司-中信建投行业轮换混合型证券投资基金
华夏银行股份有限公司-建信互联网+产业升级股票型证券投资基金
中国工商银行股份有限公司-中信建投策略精选混合型证券投资基金
中国农业银行股份有限公司-万家潜力价值灵活配置混合型证券投资基金",9.0
11,003022.SZ,003022,联泓新科,化工原料,True,10.0,46.52,,0.0
12,600436.SH,600436,片仔癀,中成药,True,10.0,2286.27,"深圳市林园投资管理有限责任公司-林园投资29号私募投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-广发医疗保健股票型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国工商银行股份有限公司-汇添富价值精选混合型证券投资基金
中央汇金资产管理有限责任公司",6.0
13,000538.SZ,000538,云南白药,中成药,True,10.0,894.88,"瑞银资产管理(新加坡)有限公司-瑞银卢森堡投资SICAV
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
全国社保基金一一八组合",4.0
14,002493.SZ,002493,荣盛石化,化纤,True,9.9947,2413.16,"财通基金-建设银行-财通基金-海港1号资产管理计划
中国银行股份有限公司-富国创新趋势股票型证券投资基金
陕西省国际信托股份有限公司-陕国投·财富90号单一资金信托
华润深国投信托有限公司-华润信托·星海3号单一资金信托
香港中央结算有限公司(陆股通)",5.0
15,002727.SZ,002727,一心堂,医药商业,True,9.9928,178.25,"中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金
中国工商银行股份有限公司-景顺长城竞争优势混合型证券投资基金
中国银行股份有限公司-广发医疗保健股票型证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行-广发聚丰混合型证券投资基金
中国工商银行-广发稳健增长证券投资基金",6.0
16,003037.SZ,003037,三和管桩,水泥,True,9.9901,7.56,,0.0
17,000488.SZ,000488,晨鸣纸业,造纸,True,9.9631,148.35,"全国社保基金四一八组合
中信证券股份有限公司-社保基金1106组合
中央汇金资产管理有限责任公司
基本养老保险基金一二零八组合",4.0
18,000723.SZ,000723,美锦能源,焦炭加工,True,9.9573,291.74,"中国工商银行-广发聚富开放式证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金
中国工商银行股份有限公司-广发多策略灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
南方资本-招商银行-远德定向增发1号资产管理计划",5.0
