,ts_code,symbol,name,industry,COL_IS_DRINK,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,600365.SH,600365,通葡股份,红黄酒,True,4.24,True,
1,600238.SH,600238,ST椰岛,红黄酒,True,5.41,True,
2,603779.SH,603779,ST威龙,红黄酒,True,5.58,True,创金合信基金-浦发银行-云南信托-云南信托-盈泰20号单一资金信托
3,600616.SH,600616,金枫酒业,红黄酒,True,5.91,True,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
4,600199.SH,600199,金种子酒,白酒,True,7.17,True,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
5,601579.SH,601579,会稽山,红黄酒,True,8.78,True,"浙商金汇信托股份有限公司-浙金·汇利36号证券投资集合资金信托计划
上海大丰资产管理有限公司"
6,002646.SZ,002646,青青稞酒,白酒,True,11.67,True,"中央汇金资产管理有限责任公司
南方基金-农业银行-南方中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
7,600559.SH,600559,老白干酒,白酒,True,14.25,True,"北京航天产业投资基金(有限合伙)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
鹏华基金-工商银行-鹏华基金增发精选1号资产管理计划
汇添富基金-工商银行-汇添富-定增盛世添富牛37号资产管理计划"
8,603919.SH,603919,金徽酒,白酒,True,18.57,True,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
光大兴陇信托有限责任公司-光大-融金1号证券投资集合资金信托计划
中国工商银行股份有限公司-南方大数据100指数证券投资基金"
9,600197.SH,600197,伊力特,白酒,True,20.7,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司"
10,603198.SH,603198,迎驾贡酒,白酒,True,23.95,True,"安徽六安市迎驾慈善基金会
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金
基本养老保险基金一二零四组合"
11,000869.SZ,000869,张裕A,红黄酒,True,34.86,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
12,600702.SH,600702,舍得酒业,白酒,True,40.93,True,"云南卓晔投资管理有限公司-卓晔1号基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)
深圳前海珞珈方圆资产管理有限公司-珞珈方圆慎独一期私募基金
瀚川投资管理(珠海)有限公司-瀚川一号私募投资基金"
13,603369.SH,603369,今世缘,白酒,True,42.65,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
易方达基金-工商银行-易方达基金臻选2号资产管理计划
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-景顺长城量化精选股票型证券投资基金"
14,603589.SH,603589,口子窖,白酒,True,53.66,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
15,600779.SH,600779,水井坊,白酒,True,65.26,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
天津礼仁投资管理合伙企业(有限合伙)-卓越长青私募证券投资基金
易方达基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托
中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金
中国光大银行股份有限公司-泓德优选成长混合型证券投资基金
交通银行-鹏华中国50开放式证券投资基金"
16,000799.SZ,000799,酒鬼酒,白酒,True,84.16,True,"国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
国泰君安证券资管-建设银行-国泰君安君得鑫两年持有期混合型集合资产管理计划
香港中央结算有限公司(陆股通)"
17,000568.SZ,000568,泸州老窖,白酒,True,100.23,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金"
18,002304.SZ,002304,洋河股份,白酒,True,110.92,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司
兴元资产管理有限公司-客户资金"
19,600809.SH,600809,山西汾酒,白酒,True,151.26,True,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
全国社保基金一一四组合"
20,000596.SZ,000596,古井贡酒,白酒,True,163.2,True,"中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
21,000858.SZ,000858,五粮液,白酒,True,181.98,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金"
22,600519.SH,600519,贵州茅台,白酒,True,1494.27,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
珠海市瑞丰汇邦资产管理有限公司-瑞丰汇邦三号私募证券投资基金
深圳市金汇荣盛财富管理有限公司-金汇荣盛三号私募证券投资基金
中国工商银行-上证50交易型开放式指数证券投资基金"
