,trade_date,up_count,down_count,up_limit_count,down_limit_count,limit_count_1,limit_count_2,limit_count_3,limit_count_4,limit_count_over5,max_limit_count,max_limit_stock
0,20200819.0,833.0,2916.0,55.0,15.0,28.0,10.0,6.0,6.0,5.0,8.0,600543.SH 莫高股份
1,20200818.0,2094.0,1654.0,89.0,2.0,28.0,19.0,16.0,11.0,15.0,9.0,601216.SH 君正集团
2,20200817.0,3266.0,481.0,104.0,3.0,36.0,30.0,13.0,11.0,14.0,9.0,601216.SH 君正集团
3,20200814.0,2561.0,1188.0,48.0,21.0,23.0,12.0,5.0,5.0,3.0,6.0,300120.SZ 经纬辉开
4,20200813.0,2224.0,1524.0,72.0,9.0,33.0,12.0,13.0,7.0,7.0,6.0,300120.SZ 经纬辉开
5,20200812.0,1351.0,2396.0,52.0,29.0,20.0,13.0,8.0,6.0,5.0,7.0,002163.SZ 海南发展
6,20200811.0,631.0,3116.0,42.0,18.0,14.0,9.0,5.0,8.0,6.0,8.0,300318.SZ 博晖创新
7,20200810.0,2497.0,1249.0,96.0,16.0,49.0,21.0,14.0,6.0,6.0,9.0,000411.SZ 英特集团
8,20200807.0,863.0,2881.0,63.0,12.0,19.0,17.0,7.0,4.0,16.0,13.0,601216.SH 君正集团
9,20200806.0,1382.0,2360.0,91.0,8.0,29.0,19.0,17.0,11.0,15.0,12.0,601216.SH 君正集团
10,20200805.0,2315.0,1427.0,117.0,2.0,30.0,35.0,24.0,12.0,16.0,11.0,601216.SH 君正集团
11,20200804.0,1245.0,2497.0,84.0,23.0,24.0,30.0,15.0,10.0,5.0,9.0,002625.SZ 光启技术
12,20200803.0,3422.0,320.0,217.0,0.0,83.0,58.0,35.0,12.0,29.0,11.0,601216.SH 君正集团
13,20200731.0,2572.0,1169.0,116.0,0.0,37.0,26.0,14.0,19.0,20.0,9.0,603069.SH 海汽集团
14,20200730.0,1353.0,2386.0,94.0,3.0,38.0,14.0,13.0,6.0,23.0,9.0,603488.SH 展鹏科技
15,20200729.0,3432.0,307.0,110.0,0.0,30.0,29.0,21.0,10.0,20.0,9.0,002286.SZ 保龄宝
16,20200728.0,2684.0,1054.0,62.0,8.0,25.0,12.0,13.0,5.0,7.0,9.0,002626.SZ 金达威
17,20200727.0,1686.0,2052.0,69.0,18.0,26.0,17.0,7.0,7.0,12.0,10.0,603069.SH 海汽集团
18,20200724.0,270.0,3468.0,35.0,99.0,12.0,7.0,4.0,6.0,6.0,7.0,603488.SH 展鹏科技
19,20200723.0,1223.0,2515.0,69.0,3.0,12.0,15.0,12.0,11.0,19.0,11.0,603069.SH 海汽集团
20,20200722.0,1698.0,2039.0,72.0,3.0,21.0,16.0,16.0,9.0,10.0,8.0,300378.SZ 鼎捷软件
21,20200721.0,1834.0,1903.0,85.0,11.0,30.0,21.0,13.0,8.0,13.0,11.0,603069.SH 海汽集团
22,20200720.0,3428.0,307.0,160.0,5.0,58.0,42.0,25.0,12.0,23.0,8.0,002239.SZ 奥特佳
23,20200717.0,1791.0,1943.0,54.0,32.0,14.0,14.0,12.0,8.0,6.0,6.0,601888.SH 中国中免
24,20200716.0,215.0,3519.0,22.0,234.0,9.0,4.0,2.0,3.0,4.0,10.0,603069.SH 海汽集团
25,20200714.0,1296.0,2436.0,105.0,22.0,27.0,37.0,18.0,11.0,12.0,9.0,603069.SH 海汽集团
26,20200713.0,3453.0,278.0,220.0,2.0,96.0,54.0,38.0,20.0,12.0,8.0,603069.SH 海汽集团
27,20200710.0,1126.0,2605.0,128.0,1.0,38.0,37.0,22.0,9.0,22.0,9.0,603976.SH 正川股份
28,20200709.0,3279.0,450.0,190.0,0.0,78.0,41.0,26.0,21.0,24.0,10.0,601788.SH 光大证券
29,20200708.0,3115.0,614.0,156.0,2.0,68.0,32.0,23.0,17.0,16.0,9.0,601788.SH 光大证券
30,20200706.0,3494.0,232.0,215.0,0.0,100.0,54.0,34.0,12.0,15.0,8.0,600859.SH 王府井
31,20200703.0,2729.0,996.0,87.0,4.0,38.0,26.0,11.0,3.0,9.0,8.0,600859.SH 王府井
32,20200702.0,2880.0,846.0,81.0,3.0,48.0,16.0,6.0,3.0,8.0,8.0,600859.SH 王府井
33,20200701.0,2042.0,1683.0,60.0,7.0,29.0,15.0,6.0,6.0,4.0,8.0,600859.SH 王府井
34,20200630.0,3032.0,692.0,81.0,3.0,39.0,16.0,12.0,5.0,9.0,8.0,300612.SZ 宣亚国际
35,20200629.0,1212.0,2511.0,46.0,13.0,22.0,13.0,4.0,2.0,5.0,7.0,300612.SZ 宣亚国际
36,20200624.0,1343.0,2378.0,36.0,7.0,19.0,8.0,3.0,2.0,4.0,6.0,300612.SZ 宣亚国际
37,20200623.0,1262.0,2459.0,45.0,4.0,23.0,14.0,1.0,3.0,4.0,5.0,603229.SH 奥翔药业
38,20200622.0,1644.0,2077.0,44.0,6.0,24.0,6.0,10.0,1.0,3.0,5.0,603787.SH 新日股份
39,20200619.0,1988.0,1732.0,59.0,4.0,25.0,12.0,9.0,6.0,7.0,9.0,002425.SZ 凯撒文化
40,20200618.0,1651.0,2069.0,50.0,19.0,19.0,14.0,6.0,4.0,7.0,8.0,002425.SZ 凯撒文化
41,20200617.0,1798.0,1922.0,63.0,6.0,32.0,7.0,12.0,3.0,9.0,7.0,600211.SH 西藏药业
42,20200616.0,3148.0,570.0,68.0,3.0,28.0,21.0,6.0,6.0,7.0,7.0,600185.SH 格力地产
43,20200615.0,1360.0,2357.0,68.0,8.0,34.0,11.0,8.0,8.0,7.0,12.0,603392.SH 万泰生物
44,20200612.0,1439.0,2277.0,59.0,5.0,16.0,13.0,13.0,7.0,10.0,12.0,603392.SH 万泰生物
45,20200610.0,1330.0,2382.0,40.0,4.0,16.0,8.0,14.0,0.0,2.0,6.0,600859.SH 王府井
46,20200609.0,2097.0,1615.0,54.0,9.0,21.0,17.0,3.0,6.0,7.0,10.0,002071.SZ 长城影视
47,20200608.0,1515.0,2196.0,37.0,23.0,18.0,10.0,3.0,4.0,2.0,7.0,000567.SZ 海德股份
48,20200605.0,1622.0,2089.0,55.0,22.0,24.0,12.0,10.0,2.0,7.0,7.0,300816.SZ 艾可蓝
49,20200603.0,1386.0,2321.0,81.0,4.0,37.0,12.0,13.0,6.0,13.0,10.0,600662.SH 强生控股
50,20200602.0,2258.0,1449.0,80.0,11.0,34.0,21.0,11.0,6.0,8.0,10.0,300521.SZ 爱司凯
51,20200601.0,3505.0,200.0,130.0,3.0,67.0,26.0,11.0,11.0,15.0,10.0,600834.SH 申通地铁
52,20200529.0,2121.0,1584.0,67.0,7.0,31.0,16.0,13.0,0.0,7.0,8.0,300521.SZ 爱司凯
53,20200528.0,1360.0,2343.0,47.0,15.0,16.0,13.0,5.0,5.0,8.0,9.0,600834.SH 申通地铁
54,20200527.0,1371.0,2332.0,60.0,5.0,23.0,18.0,9.0,4.0,6.0,8.0,600834.SH 申通地铁
55,20200526.0,3263.0,440.0,96.0,5.0,41.0,22.0,18.0,8.0,7.0,8.0,600662.SH 强生控股
56,20200525.0,1664.0,2038.0,46.0,24.0,25.0,13.0,3.0,4.0,1.0,6.0,600834.SH 申通地铁
57,20200522.0,682.0,3020.0,39.0,26.0,15.0,9.0,10.0,2.0,3.0,7.0,600662.SH 强生控股
58,20200521.0,1049.0,2652.0,55.0,14.0,21.0,23.0,1.0,7.0,3.0,6.0,600662.SH 强生控股
59,20200520.0,981.0,2719.0,59.0,16.0,26.0,10.0,12.0,3.0,8.0,8.0,002397.SZ 梦洁股份
60,20200519.0,2507.0,1192.0,68.0,4.0,23.0,24.0,8.0,3.0,10.0,9.0,002046.SZ 轴研科技
61,20200518.0,1464.0,2235.0,59.0,23.0,29.0,13.0,7.0,3.0,7.0,6.0,600359.SH 新农开发
62,20200515.0,1691.0,2008.0,50.0,5.0,25.0,12.0,5.0,2.0,6.0,8.0,002046.SZ 轴研科技
63,20200514.0,844.0,2855.0,39.0,3.0,15.0,8.0,5.0,4.0,7.0,7.0,002046.SZ 轴研科技
64,20200513.0,1905.0,1794.0,65.0,4.0,40.0,9.0,8.0,2.0,6.0,7.0,002400.SZ 省广集团
65,20200512.0,1287.0,2411.0,43.0,9.0,22.0,7.0,6.0,2.0,6.0,6.0,603530.SH 神马电力
66,20200511.0,1466.0,2236.0,47.0,3.0,25.0,10.0,3.0,5.0,4.0,7.0,300576.SZ 容大感光
67,20200508.0,2776.0,926.0,62.0,4.0,34.0,15.0,9.0,2.0,2.0,7.0,002400.SZ 省广集团
68,20200507.0,1226.0,2476.0,45.0,8.0,21.0,8.0,10.0,4.0,2.0,6.0,300576.SZ 容大感光
69,20200506.0,2958.0,743.0,81.0,10.0,34.0,30.0,4.0,6.0,7.0,10.0,603109.SH 神驰机电
70,20200430.0,3068.0,633.0,78.0,11.0,47.0,16.0,6.0,6.0,3.0,9.0,603109.SH 神驰机电
71,20200429.0,1677.0,2023.0,41.0,29.0,19.0,10.0,8.0,2.0,2.0,8.0,603109.SH 神驰机电
72,20200428.0,823.0,2877.0,32.0,58.0,15.0,12.0,4.0,0.0,1.0,7.0,603109.SH 神驰机电
73,20200427.0,1310.0,2389.0,41.0,45.0,23.0,9.0,7.0,1.0,1.0,5.0,000564.SZ 供销大集
74,20200424.0,666.0,3033.0,32.0,43.0,11.0,10.0,7.0,2.0,2.0,5.0,002204.SZ 大连重工
75,20200423.0,1279.0,2419.0,73.0,7.0,28.0,19.0,5.0,9.0,12.0,8.0,002581.SZ 未名医药
76,20200422.0,2384.0,1312.0,87.0,7.0,47.0,16.0,10.0,7.0,7.0,9.0,002400.SZ 省广集团
77,20200421.0,1126.0,2570.0,53.0,3.0,14.0,21.0,8.0,3.0,7.0,8.0,002400.SZ 省广集团
78,20200420.0,2500.0,1195.0,73.0,1.0,21.0,21.0,16.0,5.0,10.0,8.0,600107.SH 美尔雅
79,20200417.0,1502.0,2193.0,46.0,2.0,21.0,11.0,4.0,5.0,5.0,8.0,300658.SZ 延江股份
80,20200416.0,1874.0,1820.0,69.0,2.0,28.0,19.0,9.0,7.0,6.0,8.0,600107.SH 美尔雅
81,20200415.0,1036.0,2658.0,49.0,3.0,23.0,8.0,12.0,0.0,6.0,8.0,600107.SH 美尔雅
82,20200414.0,3171.0,523.0,76.0,0.0,30.0,21.0,9.0,6.0,10.0,9.0,600127.SH 金健米业
83,20200413.0,1137.0,2557.0,48.0,27.0,25.0,12.0,4.0,2.0,5.0,6.0,603867.SH 新化股份
84,20200410.0,571.0,3122.0,33.0,38.0,14.0,6.0,7.0,5.0,1.0,8.0,000889.SZ 中嘉博创
85,20200409.0,2257.0,1436.0,90.0,7.0,32.0,25.0,16.0,11.0,6.0,8.0,000903.SZ 云内动力
86,20200408.0,2140.0,1553.0,74.0,6.0,34.0,18.0,8.0,4.0,10.0,7.0,600983.SH 惠而浦
87,20200407.0,3522.0,170.0,143.0,3.0,72.0,28.0,14.0,10.0,19.0,9.0,600855.SH 航天长峰
88,20200403.0,1177.0,2515.0,58.0,4.0,25.0,9.0,4.0,11.0,9.0,8.0,600855.SH 航天长峰
89,20200402.0,3155.0,536.0,87.0,6.0,42.0,16.0,9.0,9.0,11.0,8.0,300526.SZ 中潜股份
90,20200401.0,1209.0,2482.0,35.0,16.0,16.0,11.0,3.0,1.0,4.0,8.0,300526.SZ 中潜股份
91,20200331.0,1460.0,2231.0,66.0,9.0,32.0,15.0,7.0,7.0,5.0,8.0,300526.SZ 中潜股份
92,20200330.0,706.0,2985.0,32.0,38.0,12.0,5.0,5.0,3.0,7.0,9.0,002953.SZ 日丰股份
93,20200327.0,1436.0,2254.0,40.0,12.0,23.0,10.0,3.0,3.0,1.0,5.0,002768.SZ 国恩股份
94,20200326.0,1038.0,2652.0,50.0,15.0,22.0,11.0,8.0,4.0,5.0,7.0,300820.SZ 英杰电气
95,20200325.0,3355.0,335.0,98.0,5.0,41.0,27.0,10.0,9.0,11.0,7.0,300820.SZ 英杰电气
96,20200324.0,3085.0,604.0,72.0,17.0,40.0,14.0,11.0,5.0,2.0,5.0,603608.SH 天创时尚
97,20200323.0,397.0,3291.0,46.0,147.0,18.0,14.0,6.0,3.0,5.0,7.0,300698.SZ 万马科技
98,20200320.0,2865.0,823.0,92.0,9.0,44.0,21.0,12.0,11.0,4.0,10.0,002953.SZ 日丰股份
99,20200319.0,2158.0,1529.0,66.0,20.0,22.0,21.0,9.0,6.0,8.0,9.0,300265.SZ 通光线缆
100,20200318.0,668.0,3017.0,51.0,9.0,17.0,11.0,13.0,3.0,7.0,11.0,300683.SZ 海特生物
101,20200317.0,1415.0,2269.0,65.0,24.0,20.0,20.0,12.0,4.0,9.0,7.0,300265.SZ 通光线缆
102,20200316.0,339.0,3344.0,46.0,189.0,14.0,13.0,4.0,2.0,13.0,10.0,002838.SZ 道恩股份
103,20200313.0,804.0,2878.0,62.0,26.0,19.0,16.0,12.0,8.0,7.0,6.0,603042.SH 华脉科技
104,20200312.0,583.0,3099.0,59.0,18.0,15.0,14.0,5.0,12.0,13.0,10.0,300683.SZ 海特生物
105,20200311.0,1058.0,2623.0,68.0,12.0,15.0,16.0,14.0,10.0,13.0,10.0,600550.SH 保变电气
106,20200310.0,2971.0,710.0,126.0,31.0,29.0,38.0,27.0,17.0,15.0,9.0,600550.SH 保变电气
107,20200309.0,579.0,3102.0,83.0,84.0,24.0,19.0,13.0,9.0,18.0,11.0,002838.SZ 道恩股份
108,20200306.0,1516.0,2165.0,99.0,3.0,27.0,22.0,15.0,10.0,25.0,10.0,600318.SH 新力金融
