,ts_code,name,industry,COL_LASTPRICE,COL_LAST_PCT_CHG,concept,circ_mv
0,600284.SH,浦东建设,建筑施工,7.43,10.0741,"国家队重仓, 大基建, 环杭州湾大湾区, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, ",72.09亿
1,002103.SZ,广博股份,文教休闲,5.21,9.9156,"回购, 互联网金融, 区块链, 独角兽, 创投, ",19.5亿
2,000070.SZ,特发信息,通信设备,15.91,9.7241,"5G, 光通信, 军工, 军民融合, 深圳本地股/深汕合作, 创投, ",96.92亿
3,600848.SH,上海临港,园区开发,34.64,6.6502,"电改, 特斯拉, 环杭州湾大湾区, 房地产, 小米概念股, 上海国企改革, 住房租赁, 自贸区, 智慧城市, 自由贸易港, 资产重组, 独角兽, 上海自由贸易港, 创投, ",272.97亿
4,000687.SZ,华讯方舟,通信设备,7.99,5.6878,"碳纤维, 军工, 军民融合, 无人机, 雄安-智慧城市, 太赫兹, 燃料电池, 3D打印, 智能制造, 雄安新区, 京津冀, 大数据, VR&AR, 创投, ",60.15亿
5,600235.SH,民丰特纸,造纸,6.0,5.6338,"浙江国企改革, 造纸, 强势人气股, 创投, ",21.08亿
6,002708.SZ,光洋股份,汽车配件,11.24,5.2434,"汽车零部件, 股权转让, 壳公司, 创投, ",41.85亿
7,000058.SZ,深赛格,元器件,6.86,5.2147,"教育, 光伏, 北斗导航, 电竞, 深圳本地股/深汕合作, 动漫, 创投, ",36.91亿
8,600736.SH,苏州高新,园区开发,7.76,5.0068,"特色小镇, 房地产, 独角兽, 创投, ",89.34亿
9,300240.SZ,飞力达,仓储物流,7.88,4.0951,"智慧物流, 智能制造, 快递物流, 跨境电商, 创投, ",28.76亿
10,002451.SZ,摩恩电气,电气设备,12.3,4.0609,"供应链金融, 债转股-AMC, 新能源汽车, 充电桩, 创投, ",51.14亿
11,002243.SZ,通产丽星,塑料,16.0,3.8961,"业绩预增, 包装印刷, 资产重组, 深圳本地股/深汕合作, 富勒烯, 创投, ",58.39亿
12,002161.SZ,远望谷,通信设备,7.03,3.5346,"回购, 物联网, 智慧物流, 智能制造, 移动支付, 无人商店, 智慧城市, 高铁轨交, 资产重组, 创投, 电子车牌, ",48.78亿
13,002591.SZ,恒大高新,化工原料,8.51,3.1515,"PCB板, 回购, 定增破发, 腾讯概念股, 创投, ",15.59亿
14,600639.SH,浦东金桥,园区开发,14.99,3.0949,"电改, 房地产, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, ",127.45亿
15,600689.SH,上海三毛,纺织,11.43,3.0658,"纺织服装, 上海国企改革, 人民币贬值受益, 独角兽, 创投, ",17.4亿
16,600082.SH,海泰发展,园区开发,4.76,3.0303,"互联网金融, 京津冀, 自贸区, 天津国企改革, 天津自贸区, 独角兽, 蚂蚁金服概念股, 创投, ",30.17亿
17,000863.SZ,三湘印象,区域地产,5.25,2.9412,"旅游, 回购, 房地产, 创投, ",48.17亿
18,002054.SZ,德美化工,化工原料,9.38,2.8509,"养猪, 燃料电池, 半导体, 国资入股, 壳公司, 强势人气股, 创投, ",29.02亿
19,600630.SH,龙头股份,纺织,8.54,2.521,"纺织服装, 上海国企改革, 流感, 进口博览会, 人民币贬值受益, 创投, ",36.28亿
20,002575.SZ,群兴玩具,文教休闲,7.39,2.4965,"二胎, 股权转让, 资产重组, 壳公司, 创投, ",43.51亿
21,300238.SZ,冠昊生物,医疗保健,24.58,2.3314,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, ",60.26亿
22,600604.SH,市北高新,园区开发,13.48,1.9667,"阿里巴巴概念股, 房地产, 上海国企改革, 住房租赁, 强势人气股, 创投, ",179.85亿
23,600648.SH,外高桥,园区开发,21.16,1.9268,"MSCI, 参股券商, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, ",197.8亿
24,603566.SH,普莱柯,生物制药,12.76,1.6733,"动物保健, 创投, ",41.02亿
25,600461.SH,洪城水业,水务,6.32,1.6077,"水务, PPP, 创投, ",37.54亿
26,600064.SH,南京高科,园区开发,10.66,1.4272,"业绩预增, 房地产, 创投, ",131.75亿
27,600323.SH,瀚蓝环境,水务,15.59,1.2995,"水务, 固废处理, 粤港澳大湾区, 天然气, PPP, 环保, 创投, ",119.46亿
28,000610.SZ,西安旅游,旅游服务,11.52,1.2302,"旅游, 特色小镇, 强势人气股, 创投, ",27.1亿
29,002063.SZ,远光软件,软件服务,9.11,1.2222,"国家队重仓, 工业自动化, 智能制造, 大数据, 云计算, 人工智能, 区块链, 国产软件, 国资入股, 创投, ",69.35亿
30,600663.SH,陆家嘴,园区开发,17.16,1.0006,"房地产, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, ",419.49亿
31,000657.SZ,中钨高新,小金属,6.11,0.9917,"央企改革, 有色金属, 有色-钨, 创投, ",21.01亿
32,002584.SZ,西陇科学,化工原料,5.63,0.8961,"基因测序, 半导体, 股权转让, 体外诊断, 创投, ",21.46亿
33,002122.SZ,*ST天马,机械基件,2.62,0.7692,"智慧停车, 大数据, 低价股, ST股, 创投, ",31.13亿
34,600226.SH,瀚叶股份,互联网,4.09,0.7389,"有色-锆, 教育, 核电, 有色金属, 大数据, 动物保健, 资产重组, 独角兽, 游戏, 体育产业, 创投, ",81.51亿
35,600120.SH,浙江东方,多元金融,16.39,0.7376,"浙江国企改革, 信托, 债转股-AMC, 量子通信, 期货概念, 独角兽, 科创板概念股, 创投, ",109.01亿
36,600290.SH,华仪电气,电气设备,5.51,0.7313,"破净股, 风电, 创投, ",41.87亿
37,002492.SZ,恒基达鑫,仓储物流,5.6,0.7194,"粤港澳大湾区, 快递物流, 创投, ",22.3亿
38,002226.SZ,江南化工,化工原料,5.68,0.7092,"业绩预增, 风电, 定增破发, 人工智能, 民爆, 独角兽, 手势识别, 创投, ",54.43亿
39,603590.SH,康辰药业,化学制药,37.63,0.615,"医药, 创新药, 创投, ",15.05亿
40,600366.SH,宁波韵升,电器仪表,6.58,0.6116,"特斯拉, 回购, 稀土磁材, 苹果产业链, 创投, ",65.08亿
41,000068.SZ,华控赛格,元器件,5.06,0.5964,"海绵城市, PPP, 环保, 雄安新区, 污水处理, 深圳本地股/深汕合作, 强势人气股, 创投, 雄安-设计, ",50.94亿
42,000859.SZ,国风塑业,塑料,5.61,0.5376,"安徽国企改革, 业绩预增, 强势人气股, 创投, ",41.48亿
43,000931.SZ,中关村,生物制药,8.19,0.3676,"业绩预增, 雄安-智慧城市, 养老产业, 医药, 房地产, 创新药, 雄安新区, 京津冀, 创投, ",57.5亿
44,300512.SZ,中亚股份,专用机械,13.05,0.3075,"工业自动化, 智能制造, 机器视觉, 包装印刷, 创投, ",10.16亿
45,600128.SH,弘业股份,商贸代理,7.72,0.2597,"期货概念, 强势人气股, 创投, ",19.05亿
46,603019.SH,中科曙光,电脑设备,41.14,0.0973,"MSCI, 中科院系, 网络安全, 量子通信, 数字中国, 京津冀, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 腾讯概念股, 国产芯片, 独角兽, 科创板概念股, 创投, ",370.38亿
47,600783.SH,鲁信创投,多元金融,19.28,0.0,"业绩预增, 债转股-AMC, 山东国企改革, 创投, ",143.51亿
48,000851.SZ,高鸿股份,软件服务,6.15,0.0,"阿里巴巴概念股, 央企改革, 物联网, 无人驾驶, 移动支付, 大数据, 云计算, 人工智能, 无人商店, 彩票, 滴滴出行概念股, 独角兽, 创投, ",52.69亿
49,000806.SZ,ST银河,生物制药,3.35,0.0,"军工, 军民融合, 医药, 创新药, 互联网医疗, 广西, 精准医疗, ST股, 创投, 工业大麻, ",23.4亿
50,000676.SZ,智度股份,互联网,9.41,0.0,"谷歌概念股, 互联网金融, 独角兽, 游戏, 创投, ",29.77亿
51,600227.SH,圣济堂,农药化肥,3.22,0.0,"民营医院, 甲醇, 业绩预增, 保健品, 煤化工, 食品, 化肥, 医药, 中药, 化学药, 医疗器械, 创投, ",40.1亿
52,300074.SZ,华平股份,通信设备,4.34,0.0,"教育, 互联网医疗, 智慧城市, 国产软件, 医疗信息化, 智慧安防, 手势识别, 无人银行, 创投, ",21.18亿
53,600734.SH,实达集团,电脑设备,7.52,-0.1328,"华为产业链, 物联网, 高质押率, 智慧城市, 国产操作系统, 智慧安防, 创投, ",26.67亿
54,000917.SZ,电广传媒,影视音像,7.41,-0.1348,"5G, 教育, 华为产业链, 旅游, 彩票, 游戏, 手游, 广电, 影视, 创投, ",95.93亿
55,002432.SZ,九安医疗,医疗保健,5.8,-0.1721,"小米概念股, 医疗器械, 互联网医疗, 创投, ",25.1亿
56,600283.SH,钱江水利,水务,11.5,-0.1736,"水务, 水利, PPP, 股权争夺, 创投, ",40.59亿
57,300157.SZ,恒泰艾普,石油开采,4.84,-0.2062,"油服, 油气改革, 可燃冰, 回购, 页岩气, 天然气, 雄安-公共服务, 燃料电池, 雄安新区, 大数据, 地热, 创投, ",28.34亿
58,300311.SZ,任子行,软件服务,7.18,-0.2778,"网络安全, 创业板人气股, 大数据, 国产软件, 京东金融概念股, 独角兽, 游戏, 创投, ",32.99亿
59,600551.SH,时代出版,出版业,9.5,-0.3148,"安徽国企改革, 二胎, 教育, 国家队重仓, 回购, 创投, ",48.05亿
60,300332.SZ,天壕环境,环境保护,4.75,-0.4193,"天然气, 互联网金融, 京津冀, 独角兽, 科创板概念股, 创投, ",33.8亿
61,002534.SZ,杭锅股份,专用机械,6.49,-0.4601,"核电, 创投, ",47.35亿
62,601107.SH,四川成渝,路桥,4.04,-0.4926,"高速公路, 破净股, 科创板概念股, 创投, ",87.37亿
63,002369.SZ,卓翼科技,通信设备,8.07,-0.4932,"华为产业链, 回购, 业绩预增, 物联网, 工业自动化, 小米概念股, 智能制造, 区块链, 苹果产业链, 资产重组, LED, 科创板概念股, 创投, ",32.27亿
64,000009.SZ,中国宝安,综合类,5.7,-0.5236,"特斯拉, 土地流转, 锂电池, 3D打印, 智能制造, 新能源汽车, 石墨烯, 彩票, 腾讯概念股, 充电桩, 创投, ",120.83亿
65,300688.SZ,创业黑马,综合类,36.98,-0.5379,"高送转-预期, 独角兽, 创投, ",13.51亿
66,000628.SZ,高新发展,园区开发,10.12,-0.5894,"业绩预增, PPP, 期货概念, 创投, ",19.02亿
67,002181.SZ,粤传媒,出版业,5.01,-0.5952,"彩票, 独角兽, 创投, ",56.84亿
68,600895.SH,张江高科,园区开发,18.69,-0.6908,"金改, 房地产, 上海国企改革, 自贸区, 人工智能, 自由贸易港, 独角兽, 蚂蚁金服概念股, 上海自由贸易港, 创投, ",289.45亿
69,002571.SZ,德力股份,玻璃,5.52,-0.7194,"创投, ",13.98亿
70,002148.SZ,北纬科技,互联网,6.29,-0.7886,"回购, 物联网, 游戏, 手游, 创投, ",27.93亿
71,600635.SH,大众公用,供气供热,6.21,-0.7987,"天然气, 创投, ",150.21亿
72,002030.SZ,达安基因,生物制药,11.0,-0.8115,"基因测序, 医疗器械, 流感, 精准医疗, 高校系, 体外诊断, 科创板概念股, 创投, ",84.02亿
