,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,300780.SZ,300780,德恩精工,机械基件,7.0,32.52,,11.93亿
1,300615.SZ,300615,欣天科技,元器件,7.0,37.62,"5G, ",14.71亿
2,600359.SH,600359,新农开发,农业综合,5.0,9.55,"棉花, 食品, 新疆, 农垦, 乳业（奶粉）, 土地流转, 新疆国企改革, 农业种植, 资产重组, ",36.43亿
3,300127.SZ,300127,银河磁体,元器件,5.0,23.98,"特斯拉, 稀土磁材, ",54.46亿
4,300713.SZ,300713,英可瑞,电气设备,4.0,27.54,"新能源汽车, 高送转, 国资入股, 充电桩, ",11.79亿
5,603169.SH,603169,兰石重装,专用机械,4.0,7.67,"一带一路, 核电, 定增破发, ",80.05亿
6,002378.SZ,002378,章源钨业,小金属,3.0,8.92,"有色金属, 稀土磁材, 有色-钨, 工业自动化, 智能制造, ",82.35亿
7,300781.SZ,300781,因赛集团,广告包装,3.0,31.68,,6.7亿
8,002842.SZ,002842,翔鹭钨业,小金属,3.0,17.04,"社保重仓, 有色金属, 业绩预增, 有色-钨, 高送转, ",27.21亿
9,002481.SZ,002481,双塔食品,食品,3.0,8.9,"海底捞概念股, 业绩预增, 保健品, 食品, 山东国企改革, 燃料乙醇, 人造肉, ",98.53亿
10,300555.SZ,300555,路通视信,通信设备,3.0,13.33,"物联网, 智慧城市, 智慧安防, 广电, ",11.63亿
11,300090.SZ,300090,盛运环保,环境保护,3.0,1.55,"固废处理, 环保, 低价股, 股权转让, 壳公司, ",17.7亿
12,000812.SZ,000812,陕西金叶,广告包装,2.0,4.43,"教育, 信托, 包装印刷, ",29.69亿
13,300775.SZ,300775,三角防务,航空,2.0,32.84,,16.27亿
14,300631.SZ,300631,久吾高科,环境保护,2.0,21.78,"高送转-预期, 社保重仓, 锂电池, 环保, 新能源汽车, 污水处理, 燃料乙醇, ",15.09亿
15,300500.SZ,300500,启迪设计,建筑施工,2.0,18.56,"装配式建筑, 特色小镇, 定增破发, 雄安新区, 高校系, 雄安-设计, ",28.53亿
16,300399.SZ,300399,京天利,互联网,2.0,17.77,"互联网金融, 国产软件, ",23.82亿
17,300333.SZ,300333,兆日科技,元器件,2.0,13.04,"网络安全, 国产芯片, ",43.15亿
18,601608.SH,601608,中信重工,专用机械,2.0,4.48,"业绩预增, 工业自动化, 智能制造, 工业互联网, 机器人, 强势人气股, ",194.41亿
19,300103.SZ,300103,达刚路机,工程机械,2.0,11.58,"一带一路, 固废处理, 机械, 环保, ",28.38亿
20,000609.SZ,000609,中迪投资,区域地产,2.0,5.94,"房地产, 互联网金融, 壳公司, ",17.34亿
21,002949.SZ,002949,华阳国际,建筑施工,2.0,23.96,"次新股, 装配式建筑, 装修装饰, ",11.75亿
22,603183.SH,603183,建研院,建筑施工,2.0,12.72,,13.13亿
23,601068.SH,601068,中铝国际,建筑施工,2.0,8.83,"央企改革, 大基建, PPP, ",26.13亿
24,600313.SH,600313,农发种业,种植业,1.0,4.5,"央企改革, 转基因, 乡村振兴, 农垦, 土地流转, 农业种植, ",45.87亿
25,603712.SH,603712,七一二,通信设备,1.0,22.42,"新进指数成份股, 军工, 军民融合, 北斗导航, 天津国企改革, 高铁轨交, ",82.16亿
26,600108.SH,600108,亚盛集团,农业综合,1.0,4.05,"转基因, 乡村振兴, 农垦, 土地流转, 农业种植, 工业大麻, ",78.85亿
