,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,600268.SH,国电南自,电气设备,9.9572,10.27,49.95,"招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金"
1,300368.SZ,汇金股份,IT设备,10.0102,10.77,40.09,中央汇金资产管理有限责任公司
2,002400.SZ,省广集团,广告包装,10.1149,4.79,40.0,
3,600107.SH,美尔雅,服饰,9.9751,13.23,39.99,
5,002030.SZ,达安基因,生物制药,10.0,26.18,35.64,
6,300463.SZ,迈克生物,医疗保健,10.0,37.62,35.35,"香港中央结算有限公司(陆股通)
全国社保基金一一五组合
全国社保基金四零四组合
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金"
7,300676.SZ,华大基因,医疗保健,10.001,112.41,32.64,
9,002836.SZ,新宏泽,广告包装,10.0337,13.05,30.05,
10,002041.SZ,登海种业,种植业,10.0,13.53,30.03,
11,603003.SH,龙宇燃油,石油贸易,10.0,10.45,30.03,"九泰基金-中信证券-陆家嘴信托-陆家嘴信托-鸿泰5号集合资金信托计划
平安大华基金-平安银行-北京恒宇天泽投资管理有限公司"
13,603183.SH,建研院,建筑工程,10.0,12.1,30.01,
15,300452.SZ,山河药辅,化学制药,10.008,27.59,29.99,
16,002464.SZ,众应互联,互联网,9.9407,7.41,29.95,
17,600527.SH,江南高纤,化纤,9.9526,4.64,29.94,
18,600812.SH,华北制药,化学制药,10.023,9.55,27.82,"中央汇金资产管理有限责任公司
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中央汇金资产管理有限责任公司
深圳德威资本投资管理有限公司-德威资本优盛私募基金
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
深圳德威资本投资管理有限公司-德威资本商品1号私募基金
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
23,600083.SH,博信股份,综合类,9.9532,9.39,25.86,
24,603533.SH,掌阅科技,互联网,9.9929,31.04,25.76,"易方达基金-工商银行-易方达基金臻选2号资产管理计划
香港中央结算有限公司(陆股通)
深圳市瑞丰汇邦资产管理有限公司-瑞丰汇邦三号私募证券投资基金"
26,688068.SH,热景生物,医疗保健,11.5094,59.1,25.04,
27,603127.SH,昭衍新药,医疗保健,9.5727,98.21,24.65,"华夏未来资本管理有限公司-华夏未来欣耀1期私募证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-银河行业优选混合型证券投资基金
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
全国社保基金四一八组合
基本养老保险基金一六零五一组合"
35,002472.SZ,双环传动,机械基件,10.0935,5.89,20.18,
36,002480.SZ,新筑股份,机械基件,10.0952,5.78,20.16,"中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
芜湖长元股权投资基金(有限合伙)"
38,300318.SZ,博晖创新,医疗保健,10.0855,6.44,20.12,
39,300325.SZ,德威新材,塑料,9.9071,3.55,20.07,
40,300151.SZ,昌红科技,机械基件,10.0585,9.41,20.06,
43,002581.SZ,未名医药,生物制药,10.0,18.7,20.03,
45,000779.SZ,甘咨询,建筑工程,10.0168,13.07,20.02,中信银行股份有限公司-建信中证500指数增强型证券投资基金
46,002932.SZ,明德生物,医疗保健,10.0041,53.11,20.01,
47,300386.SZ,飞天诚信,软件服务,9.994,18.27,20.01,
49,002409.SZ,雅克科技,化工原料,10.0115,38.24,20.01,
50,002061.SZ,浙江交科,建筑工程,10.0885,6.22,20.01,
51,600226.SH,瀚叶股份,互联网,10.0,2.86,20.0,
53,600272.SH,开开实业,中成药,9.964,9.16,20.0,
54,002152.SZ,广电运通,IT设备,9.972,11.8,20.0,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
全国社保基金四零二组合"
56,300399.SZ,京天利,互联网,9.9813,17.63,19.98,
62,002837.SZ,英维克,专用机械,9.5363,46.06,19.53,
63,300639.SZ,凯普生物,医疗保健,9.2968,36.68,19.14,"北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
武汉比邻之家股权投资基金管理中心(有限合伙)
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金
上海盛宇股权投资中心(有限合伙)-盛宇十七号私募证券投资基金
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
上海盛宇股权投资中心(有限合伙)-盛宇21号私募证券投资基金"
72,300439.SZ,美康生物,医疗保健,9.9937,17.5,17.52,
73,002956.SZ,西麦食品,食品,10.0018,62.69,17.3,
80,603916.SH,苏博特,化工原料,9.3398,27.16,16.87,中国工商银行股份有限公司-诺安先锋混合型证券投资基金
85,002809.SZ,红墙股份,化工原料,10.0203,21.63,16.46,
86,300642.SZ,透景生命,医疗保健,10.0,47.3,16.45,
89,300342.SZ,天银机电,元器件,10.0,18.15,16.33,北信瑞丰基金-工商银行-北信瑞丰基金丰庆92号资产管理计划
91,002022.SZ,科华生物,医疗保健,10.024,18.33,16.25,
93,600724.SH,宁波富达,水泥,9.949,4.31,16.18,
96,300634.SZ,彩讯股份,软件服务,9.9854,22.58,15.96,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金
创金合信基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托"
103,603686.SH,龙马环卫,环境保护,9.3902,17.94,15.32,申万宏源证券-四川三新创业投资有限责任公司-证券行业支持民企发展系列之申万宏源三新创投单一资产管理计划
107,603601.SH,再升科技,玻璃,10.0083,13.19,15.03,
163,002421.SZ,达实智能,软件服务,10.1093,4.03,10.11,
165,002469.SZ,三维工程,建筑工程,10.0917,4.8,10.09,中央汇金资产管理有限责任公司
169,002774.SZ,快意电梯,运输设备,10.0775,7.1,10.08,
177,600505.SH,西昌电力,水力发电,10.0513,10.73,10.05,
180,002398.SZ,垒知集团,其他建材,10.0461,11.94,10.05,"中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
全国社保基金四一二组合"
183,002570.SZ,贝因美,乳制品,10.0358,6.14,10.04,
184,002246.SZ,北化股份,化工原料,10.0391,8.44,10.04,
186,000019.SZ,深粮控股,其他商业,10.0275,8.01,10.03,
197,002416.SZ,爱施德,电器连锁,10.0156,7.03,10.02,
199,600689.SH,上海三毛,纺织,10.0248,8.89,10.02,
