,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE
0,300762.SZ,300762,上海瀚讯,通信设备,14.0,9.9951,89.03
1,300766.SZ,300766,每日互动,互联网,7.0,10.009,36.71
2,002958.SZ,002958,青农商行,银行,6.0,10.0109,10.11
3,603681.SH,603681,永冠新材,化工原料,6.0,10.0043,25.51
4,300099.SZ,300099,精准信息,电器仪表,5.0,10.0372,8.88
5,300527.SZ,300527,中国应急,专用机械,5.0,10.026,16.9
6,002177.SZ,002177,御银股份,电脑设备,5.0,10.0741,7.43
7,600155.SH,600155,华创阳安,证券,4.0,9.9869,16.85
8,300194.SZ,300194,福安药业,化学制药,4.0,10.02,5.49
9,002952.SZ,002952,亚世光电,元器件,4.0,10.0034,65.65
10,000599.SZ,000599,青岛双星,汽车配件,4.0,10.0,6.49
11,600458.SH,600458,时代新材,塑料,3.0,9.9728,12.13
12,002210.SZ,002210,飞马国际,仓储物流,3.0,10.0239,4.61
13,603577.SH,603577,汇金通,钢加工,3.0,10.0203,16.25
14,002869.SZ,002869,金溢科技,通信设备,3.0,10.0,27.83
15,300174.SZ,300174,元力股份,化工原料,3.0,9.9903,22.79
16,601975.SH,601975,长航油运,水运,3.0,10.1299,4.24
17,002467.SZ,002467,二六三,电信运营,3.0,10.0127,8.68
18,600517.SH,600517,置信电气,电气设备,3.0,9.9656,6.4
19,000503.SZ,000503,国新健康,医疗保健,3.0,9.9961,27.95
20,300597.SZ,300597,吉大通信,通信设备,3.0,9.9949,21.57
21,000927.SZ,000927,一汽夏利,汽车整车,3.0,10.0656,5.03
22,600648.SH,600648,外高桥,园区开发,3.0,10.0232,23.71
23,300767.SZ,300767,震安科技,橡胶,3.0,9.991,36.77
24,600093.SH,600093,易见股份,仓储物流,3.0,10.0113,19.45
25,300552.SZ,300552,万集科技,软件服务,2.0,10.0222,24.81
26,300471.SZ,300471,厚普股份,专用机械,2.0,9.9919,13.65
27,300378.SZ,300378,鼎捷软件,软件服务,2.0,10.0248,17.78
28,300188.SZ,300188,美亚柏科,软件服务,2.0,9.9842,20.82
29,600640.SH,600640,号百控股,影视音像,2.0,10.0119,18.46
30,600719.SH,600719,大连热电,供气供热,2.0,9.9518,6.85
31,603956.SH,603956,威派格,专用机械,2.0,9.9931,31.92
32,002530.SZ,002530,金财互联,专用机械,2.0,9.9693,14.34
33,002761.SZ,002761,多喜爱,纺织,2.0,9.9834,19.83
34,002935.SZ,002935,天奥电子,元器件,1.0,9.9942,56.46
35,600801.SH,600801,华新水泥,水泥,1.0,10.0,27.72
