code,name,past_p_change,past_positive,pe,past_average_turnover
000820,神雾节能,-42.727,,21.05,7.55
300064,豫金刚石,-41.604,,44.58,5.853
002729,好利来,-41.113,★,81.18,10.077
002694,顾地科技,-40.829,,290.38,9.09
603988,中电电机,-38.972,,129.55,1.13
000506,中润资源,-37.076,,0.0,6.91
002112,三变科技,-35.938,,0.0,2.547
300110,华仁药业,-35.458,★,248.09,7.343
600112,*ST天成,-35.274,,103.69,5.623
002012,凯恩股份,-35.147,★,105.68,11.213
603088,宁波精达,-33.98,,72.36,0.98
000663,永安林业,-32.842,,127.66,5.303
002321,华英农业,-32.045,,69.28,1.413
300156,神雾环保,-31.069,,14.99,6.853
300225,金力泰,-30.068,,105.79,1.627
601600,中国铝业,-29.819,★,45.52,4.743
300566,激智科技,-29.733,★,58.69,3.193
000806,银河生物,-29.376,,2126.89,3.427
600804,鹏博士,-28.687,,22.2,2.08
300312,邦讯技术,-28.604,,0.0,3.56
002188,ST巴士,-27.399,,15.14,5.607
002650,加加食品,-25.965,★,31.95,4.863
002278,神开股份,-25.375,★,0.0,2.943
300492,山鼎设计,-24.61,,328.48,7.213
600212,江泉实业,-24.277,,107.71,2.437
002297,博云新材,-23.856,,0.0,2.71
002517,恺英网络,-23.673,,20.16,8.253
002085,万丰奥威,-23.294,,28.7,0.593
002161,远 望 谷,-22.238,,0.0,3.0
603603,博天环境,-21.789,,57.27,7.06
002213,特 尔 佳,-21.648,,171.23,1.157
000979,中弘股份,-21.643,,115.69,0.95
002684,猛狮科技,-21.351,,63.26,1.533
603499,翔港科技,-21.292,★,56.99,34.323
600227,赤天化,-20.729,★,0.0,2.553
000662,天夏智慧,-20.558,★,35.76,1.43
601360,三六零,-20.378,,5002.75,7.877
603637,镇海股份,-20.304,★,57.73,3.44
002508,老板电器,-20.275,,28.81,2.203
600401,*ST海润,-20.192,,0.0,0.46
002212,南洋股份,-20.101,,399.12,0.75
300266,兴源环境,-19.906,,35.1,0.303
002512,达华智能,-19.825,,180.96,0.807
300167,迪威迅,-19.715,★,0.0,3.367
603398,邦宝益智,-19.67,,46.08,2.02
603778,乾景园林,-19.641,,65.19,1.693
002168,深圳惠程,-19.635,,0.0,1.04
000693,*ST华泽,-19.41,,0.0,11.907
603936,博敏电子,-18.654,,47.04,5.44
300238,冠昊生物,-18.587,,74.87,2.983
600241,时代万恒,-18.4,,102.68,0.527
603222,济民制药,-18.349,,72.99,3.18
002366,台海核电,-18.104,,26.28,2.213
603659,璞泰来,-17.971,,39.75,4.53
300278,华昌达,-17.891,,110.09,4.17
603699,纽威股份,-17.775,★,62.05,0.977
603079,圣达生物,-17.652,,46.97,4.237
002661,克明面业,-17.301,,34.52,1.337
002437,誉衡药业,-17.297,,32.68,1.323
002113,天润数娱,-17.104,,329.37,2.117
600735,新华锦,-17.016,,52.9,2.37
603998,方盛制药,-16.47,,40.4,0.763
002143,印纪传媒,-16.169,,38.33,0.55
002538,司尔特,-15.949,,30.94,2.653
300290,荣科科技,-15.76,,139.68,1.99
603011,合锻智能,-15.524,★,76.41,2.007
002427,ST尤夫,-15.353,,38.96,2.117
002122,天马股份,-15.266,,202.19,0.59
002760,凤形股份,-15.102,★,0.0,14.83
002596,海南瑞泽,-15.032,,78.28,2.087
300317,珈伟股份,-14.95,,28.03,3.59
603538,美诺华,-14.898,,56.48,1.367
300444,双杰电气,-14.79,,135.38,2.237
300090,盛运环保,-14.677,,2458.88,2.033
600512,腾达建设,-14.656,,33.23,1.117
000606,神州易桥,-13.791,,0.0,0.773
002384,东山精密,-13.757,,56.33,1.817
600485,信威集团,-13.567,,74.33,2.637
002721,金一文化,-13.262,,106.89,6.503
000793,华闻传媒,-13.042,,29.15,1.833
002509,天广中茂,-13.002,,36.59,0.583
