,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,COL_INDAY_P_CHANGE,circ_mv
2753,600738.SH,兰州民百,百货,1.0,-32.34,7.48,0.04,315101.248
1487,300097.SZ,智云股份,电器仪表,0.0,-18.56,13.51,0.02,272691.3007
1667,300278.SZ,华昌达,专用机械,0.0,-16.86,8.56,0.01,229459.3994
1741,300352.SZ,北信源,软件服务,1.0,-16.1,5.63,0.01,615677.2639
675,002213.SZ,特尔佳,汽车配件,0.0,-15.05,10.22,0.04,201242.2234
3008,601212.SH,白银有色,铜,0.0,-14.72,4.59,0.01,901785.864
1008,002548.SZ,金新农,饲料,0.0,-14.52,10.47,0.04,327252.9532
978,002517.SZ,恺英网络,互联网,0.0,-14.26,4.86,0.01,1030058.5607
631,002169.SZ,智光电气,电气设备,0.0,-14.16,5.79,0.02,434753.1765
1387,002947.SZ,恒铭达,元器件,0.0,-14.04,46.98,0.01,142715.8581
2466,600390.SH,五矿资本,多元金融,0.0,-13.91,10.23,0.01,525349.1162
2957,601010.SH,文峰股份,超市连锁,0.0,-13.87,4.14,0.01,765072.0
3021,601298.SH,青岛港,港口,0.0,-13.8,8.65,0.02,393035.24
820,002359.SZ,北讯集团,通信设备,1.0,-13.72,11.15,0.01,789494.9436
640,002178.SZ,延华智能,建筑施工,0.0,-13.72,4.83,0.01,342924.0282
1831,300444.SZ,双杰电气,电气设备,0.0,-13.45,8.71,0.01,262856.1739
3474,603739.SH,蔚蓝生物,农业综合,0.0,-13.24,32.12,0.01,124198.404
2398,600310.SH,桂东电力,水力发电,0.0,-13.13,5.18,0.01,428787.45
3022,601311.SH,骆驼股份,电气设备,0.0,-13.1,14.5,0.01,1230176.7694
1257,002806.SZ,华锋股份,元器件,0.0,-13.07,21.35,0.01,123171.6194
3206,603106.SH,恒银金融,电脑设备,0.0,-13.05,13.14,0.01,171279.9
2066,300686.SZ,智动力,元器件,1.0,-12.94,13.54,0.02,119249.8157
3336,603389.SH,亚振家居,家居用品,0.0,-12.9,11.27,0.01,70955.92
1719,300330.SZ,华虹计通,软件服务,1.0,-12.77,9.06,0.03,151940.3676
1734,300345.SZ,红宇新材,钢加工,0.0,-12.59,4.9,0.02,180632.2995
2132,300758.SZ,七彩化学,染料涂料,0.0,-12.36,48.3,0.01,128864.4
2760,600745.SH,闻泰科技,通信设备,0.0,-12.31,27.26,0.04,1737188.171
1784,300397.SZ,天和防务,通信设备,0.0,-12.15,21.34,0.04,330914.0984
2342,600242.SH,中昌数据,软件服务,0.0,-12.15,13.34,0.01,405198.1992
1183,002726.SZ,龙大肉食,食品,0.0,-12.08,9.28,0.01,696298.8262
363,000876.SZ,新希望,饲料,1.0,-12.06,12.61,0.02,5265210.548
1961,300578.SZ,会畅通讯,通信设备,1.0,-12.04,22.59,0.04,136669.4548
2629,600601.SH,方正科技,电脑设备,1.0,-11.96,3.85,0.05,845033.1135
2442,600363.SH,联创光电,元器件,0.0,-11.96,10.62,0.01,470972.3085
1172,002714.SZ,牧原股份,农业综合,1.0,-11.79,52.98,0.02,6312809.4471
1134,002674.SZ,兴业科技,纺织,1.0,-11.69,11.66,0.05,280333.3055
1070,002610.SZ,爱康科技,电气设备,0.0,-11.67,2.27,0.01,958579.8633
2986,601126.SH,四方股份,电气设备,0.0,-11.6,6.49,0.02,527748.628
3246,603189.SH,网达软件,软件服务,0.0,-11.57,13.46,0.02,148194.6
830,002369.SZ,卓翼科技,通信设备,0.0,-11.55,9.92,0.03,416271.3827
2087,300708.SZ,聚灿光电,半导体,0.0,-11.53,12.22,0.01,139295.78
3414,603630.SH,拉芳家化,日用化工,0.0,-11.46,16.74,0.01,135535.8938
1220,002766.SZ,索菱股份,汽车配件,0.0,-11.42,6.39,0.01,159201.5993
2333,600233.SH,圆通速递,仓储物流,0.0,-11.39,12.79,0.01,1001927.5121
1480,300090.SZ,盛运环保,环境保护,0.0,-11.35,2.5,0.01,285504.3573
2237,600122.SH,宏图高科,其他商业,0.0,-11.28,4.58,0.02,530482.3243
1900,300513.SZ,恒实科技,软件服务,0.0,-11.22,26.24,0.01,161621.6589
1010,002550.SZ,千红制药,生物制药,0.0,-11.21,4.92,0.01,444644.9641
2347,600249.SH,两面针,日用化工,1.0,-10.97,4.82,0.01,265100.0
1787,300400.SZ,劲拓股份,专用机械,1.0,-10.96,20.06,0.03,319601.3181
777,002316.SZ,亚联发展,软件服务,0.0,-10.86,8.8,0.01,258204.0058
2789,600777.SH,新潮能源,综合类,0.0,-10.84,2.56,0.01,836637.6635
1644,300255.SZ,常山药业,生物制药,1.0,-10.8,6.4,0.02,413557.0534
734,002273.SZ,水晶光电,元器件,1.0,-10.74,13.95,0.02,1133986.1186
3025,601326.SH,秦港股份,港口,0.0,-10.7,3.91,0.03,646418.7152
2555,600517.SH,置信电气,电气设备,1.0,-10.69,4.81,0.01,598615.2215
1153,002693.SZ,双成药业,化学制药,1.0,-10.66,5.02,0.03,202498.9291
251,000702.SZ,正虹科技,饲料,1.0,-10.64,6.51,0.01,173579.109
1384,002943.SZ,宇晶股份,机床制造,0.0,-10.64,38.78,0.01,96950.0
1483,300093.SZ,金刚玻璃,玻璃,0.0,-10.54,6.97,0.01,150305.7848
1561,300171.SZ,东富龙,医疗保健,0.0,-10.5,9.43,0.01,314610.2337
3473,603738.SH,泰晶科技,元器件,1.0,-10.45,15.35,0.01,90205.3203
3115,601929.SH,吉视传媒,影视音像,0.0,-10.44,2.82,0.01,877276.1237
1464,300074.SZ,华平股份,通信设备,0.0,-10.44,4.87,0.01,237635.2592
3342,603421.SH,鼎信通讯,通信设备,1.0,-10.35,27.59,0.02,153111.701
3236,603177.SH,德创环保,环境保护,0.0,-10.34,11.91,0.01,73544.25
2734,600719.SH,大连热电,供气供热,0.0,-10.31,5.47,0.04,221315.9812
2801,600791.SH,京能置业,全国地产,1.0,-10.31,4.76,0.02,215301.3193
2042,300662.SZ,科锐国际,综合类,0.0,-10.29,35.54,0.02,322019.8547
2842,600836.SH,界龙实业,广告包装,1.0,-10.28,5.97,0.1,395663.584
1944,300559.SZ,佳发教育,软件服务,1.0,-10.27,42.28,0.03,326186.6104
1733,300344.SZ,太空智造,其他建材,1.0,-10.26,7.64,0.01,156381.8574
2129,300755.SZ,华致酒行,其他商业,0.0,-10.19,30.95,0.01,179165.4244
2563,600526.SH,菲达环保,环境保护,1.0,-10.18,5.82,0.09,318589.5191
1854,300467.SZ,迅游科技,互联网,1.0,-10.14,29.2,0.02,385109.4472
575,002113.SZ,天润数娱,互联网,0.0,-10.14,4.35,0.01,358795.435
580,002118.SZ,紫鑫药业,中成药,0.0,-10.1,7.41,0.01,759696.4437
1035,002575.SZ,群兴玩具,文教休闲,0.0,-10.09,8.69,0.01,511597.68
437,000972.SZ,ST中基,食品,0.0,-10.05,3.48,0.01,268406.6855
