code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
000932,华菱钢铁,6.988,-28.662,1.677,0.027,7.625,★,
600150,中国船舶,10.963,-27.301,3.88,0.063,19.062,,
601003,柳钢股份,2.128,-24.3,0.627,0.022,5.858,,
600782,新钢股份,1.95,-22.668,1.84,0.027,5.895,,
600282,南钢股份,3.34,-21.308,1.607,0.019,4.36,★,
600117,西宁特钢,3.706,-20.415,2.417,0.04,4.952,,
000830,鲁西化工,0.172,-18.805,4.967,0.033,17.508,,
002839,张家港行,0.254,-18.551,4.093,0.018,8.325,,
600231,凌钢股份,1.03,-18.416,1.04,0.02,3.925,,
600247,ST成城,11.299,-17.647,0.79,0.028,7.565,,
000983,西山煤电,0.382,-17.471,0.8,0.014,7.835,,
000732,泰禾集团,4.751,-17.469,2.563,0.031,27.63,,
000517,荣安地产,4.324,-17.226,1.63,0.032,4.222,,
002645,华宏科技,1.223,-17.199,1.637,0.017,20.708,★,
600507,方大特钢,9.282,-17.144,2.97,0.035,16.47,★,
600789,鲁抗医药,8.693,-16.887,5.94,0.03,10.172,,
600340,华夏幸福,1.265,-16.745,0.94,0.018,32.908,,
600130,波导股份,0.503,-16.511,1.033,0.011,6.158,,
600579,天华院,1.729,-16.464,1.43,0.026,10.7,,
600048,保利地产,3.278,-15.991,1.0,0.017,13.6,★,
601699,潞安环能,0.579,-15.873,1.697,0.025,10.527,,
600188,兖州煤业,2.539,-15.588,1.057,0.025,13.548,,
600596,新安股份,0.225,-15.418,2.49,0.019,13.148,,
600685,中船防务,0.889,-15.397,2.947,0.028,22.388,,
002146,荣盛发展,2.52,-15.281,1.113,0.022,10.008,,
000671,阳 光 城,5.475,-15.125,1.03,0.026,7.765,★,
300644,南京聚隆,9.171,-15.112,31.363,0.033,47.355,★,
002073,软控股份,2.57,-15.034,1.987,0.027,7.627,★,
601111,中国国航,4.205,-14.978,0.73,0.033,11.708,,
002769,普路通,2.558,-14.908,8.75,0.037,18.26,,
300159,新研股份,4.803,-14.878,2.733,0.02,10.11,,
600671,天目药业,4.731,-14.701,1.92,0.019,19.028,,
601001,大同煤业,0.38,-14.17,0.557,0.009,5.305,★,
000410,沈阳机床,5.82,-14.007,6.177,0.046,11.118,,
002016,世荣兆业,12.661,-13.853,4.623,0.037,13.705,★,
000007,全新好,1.729,-13.775,0.907,0.009,14.372,,
600526,菲达环保,2.102,-13.697,1.133,0.003,7.735,★,
601636,旗滨集团,0.343,-13.524,2.363,0.019,5.795,,
300502,新易盛,8.182,-13.448,5.167,0.044,24.125,,
601233,桐昆股份,4.557,-13.414,1.44,0.02,22.178,★,
600623,华谊集团,3.197,-13.318,1.193,0.01,9.908,,
300085,银之杰,16.265,-13.166,5.25,0.054,16.098,,
600603,广汇物流,0.139,-13.124,1.423,0.01,6.985,★,
600499,科达洁能,7.444,-12.93,2.607,0.034,9.322,,
000960,锡业股份,1.295,-12.894,1.673,0.015,13.458,★,
