,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,601456.SH,601456,国联证券,证券,17.13,12.0,1.0,81.49,,0.0
1,300857.SZ,300857,协创数据,IT设备,37.4,11.0,0.0,19.31,,0.0
2,002991.SZ,002991,甘源食品,食品,136.7,11.0,0.0,31.86,,0.0
3,300858.SZ,300858,科拓生物,食品,91.39,10.0,1.0,18.85,,0.0
4,300859.SZ,300859,西域旅游,旅游服务,24.43,10.0,3.0,9.47,,0.0
5,300855.SZ,300855,图南股份,钢加工,51.78,10.0,0.0,25.89,,0.0
6,605188.SH,605188,国光连锁,超市连锁,14.21,9.0,0.0,7.05,,0.0
7,600543.SH,600543,莫高股份,红黄酒,11.61,8.0,2.0,37.28,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划,1.0
8,605118.SH,605118,力鼎光电,元器件,22.5,8.0,0.0,9.22,,0.0
9,002995.SZ,002995,天地在线,互联网,77.76,8.0,0.0,12.57,,0.0
10,601216.SH,601216,君正集团,化工原料,10.38,8.0,2.0,875.87,"中央汇金资产管理有限责任公司
中信信诚资产-招商银行-诚融聚荷1号资产管理计划
香港中央结算有限公司(陆股通)",3.0
11,000828.SZ,000828,东莞控股,路桥,12.11,7.0,0.0,125.89,"中国工商银行-富国中证红利指数增强型证券投资基金
工商银行-富国中证红利指数增强型证券投资基金",2.0
12,600165.SH,600165,新日恒力,化工原料,8.45,7.0,1.0,57.87,"国通信托有限责任公司-国通信托·紫金8号集合资金信托计划
国通信托有限责任公司-国通信托·同洲精进2号集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华鹏66号集合资金信托计划",3.0
13,002506.SZ,002506,协鑫集成,电气设备,5.44,7.0,1.0,276.02,"天津融境股权投资基金中心(有限合伙)
长城(德阳)超日项目基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)",3.0
14,000524.SZ,000524,岭南控股,酒店餐饮,12.91,6.0,1.0,86.52,,0.0
15,300099.SZ,300099,精准信息,电器仪表,8.88,6.0,0.0,40.05,,0.0
16,300278.SZ,300278,华昌达,专用机械,6.8,6.0,1.0,20.53,"厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托
陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划",2.0
