,ts_code,symbol,name,industry,COL_IS_DRINK,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,603779.SH,603779,ST威龙,红黄酒,True,5.66,True,创金合信基金-浦发银行-云南信托-云南信托-盈泰20号单一资金信托
1,600616.SH,600616,金枫酒业,红黄酒,True,6.04,True,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
2,600543.SH,600543,莫高股份,红黄酒,True,6.24,True,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划
3,600199.SH,600199,金种子酒,白酒,True,7.48,True,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
4,601579.SH,601579,会稽山,红黄酒,True,9.12,True,"浙商金汇信托股份有限公司-浙金·汇利36号证券投资集合资金信托计划
上海大丰资产管理有限公司"
5,600059.SH,600059,古越龙山,红黄酒,True,10.14,True,"中央汇金资产管理有限责任公司
全国社保基金一零三组合
中国农业银行股份有限公司-富兰克林国海弹性市值混合型证券投资基金
中国银行股份有限公司-富兰克林国海中小盘股票型证券投资基金
招商银行股份有限公司-富兰克林国海基本面优选混合型证券投资基金"
6,603198.SH,603198,迎驾贡酒,白酒,True,24.27,True,"安徽六安市迎驾慈善基金会
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金
基本养老保险基金一二零四组合"
7,000869.SZ,000869,张裕A,红黄酒,True,34.69,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
8,002568.SZ,002568,百润股份,红黄酒,True,49.13,True,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-东方红睿泽三年定期开放灵活配置混合型证券投资基金
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-东方红睿玺三年定期开放灵活配置混合型证券投资基金"
9,603589.SH,603589,口子窖,白酒,True,52.6,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
10,000568.SZ,000568,泸州老窖,白酒,True,111.47,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金"
11,002304.SZ,002304,洋河股份,白酒,True,133.0,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司
兴元资产管理有限公司-客户资金"
12,600809.SH,600809,山西汾酒,白酒,True,147.1,True,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
全国社保基金一一四组合"
13,000596.SZ,000596,古井贡酒,白酒,True,165.78,True,"中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
14,000858.SZ,000858,五粮液,白酒,True,192.82,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金"
15,600519.SH,600519,贵州茅台,白酒,True,1600.0,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
珠海市瑞丰汇邦资产管理有限公司-瑞丰汇邦三号私募证券投资基金
深圳市金汇荣盛财富管理有限公司-金汇荣盛三号私募证券投资基金
中国工商银行-上证50交易型开放式指数证券投资基金"
