code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002198,嘉应制药,4.65,-50.0,0.266,5.41,0.045,
600807,*ST天业,7.87,-48.796,0.221,-35.633,0.193,
002856,美芝股份,0.3,-45.53,0.249,-3.513,0.201,
600666,奥瑞德,7.95,-44.233,0.121,-23.518,0.106,
002691,冀凯股份,3.39,-41.589,0.234,-34.163,0.258,
002622,融钰集团,8.4,-39.032,0.172,-34.475,0.222,
002168,深圳惠程,7.84,-38.281,0.197,5.161,0.074,
600841,上柴股份,5.22,-37.257,0.116,-31.471,0.124,
002592,八菱科技,2.09,-36.349,0.116,-10.674,0.081,
002866,传艺科技,0.81,-35.583,0.152,-20.916,0.351,
002684,猛狮科技,3.9,-34.926,0.118,-19.647,0.185,
600107,美尔雅,3.6,-32.68,0.155,-14.575,0.13,
002357,富临运业,3.13,-30.276,0.162,-15.43,0.122,
002072,凯瑞德,1.69,-30.067,0.094,-61.702,0.343,
002278,神开股份,3.44,-28.835,0.126,-19.82,0.194,
002366,台海核电,4.89,-28.535,0.148,-38.037,0.221,
002354,天神娱乐,6.47,-27.985,0.118,-38.625,0.198,
002423,中原特钢,5.03,-27.596,0.122,3.509,0.133,
000422,*ST宜化,8.98,-27.541,0.071,28.994,0.132,
600634,*ST富控,5.76,-27.262,0.089,-5.529,0.157,
002729,好利来,0.67,-26.069,0.101,-19.518,0.127,
002858,力盛赛车,0.62,-25.67,0.085,-23.198,0.097,
002499,科林环保,1.89,-25.256,0.108,-34.598,0.149,
000892,欢瑞世纪,5.17,-24.818,0.076,-10.464,0.12,
002524,光正集团,5.01,-24.764,0.126,-15.656,0.067,
600198,*ST大唐,8.75,-24.146,0.11,14.503,0.066,
000662,天夏智慧,3.74,-23.274,0.093,8.999,0.148,
002175,东方网络,5.24,-22.67,0.074,-6.214,0.092,
600622,光大嘉宝,8.69,-21.662,0.081,-15.844,0.21,
002080,中材科技,6.4,-21.548,0.068,-12.738,0.074,
002717,岭南股份,5.31,-21.5,0.089,-11.15,0.055,
000820,神雾节能,2.88,-20.962,0.089,-38.882,0.18,
600212,江泉实业,5.12,-20.776,0.092,-45.325,0.278,
002638,勤上股份,9.79,-20.656,0.084,-17.822,0.092,
000806,银河生物,6.98,-20.634,0.103,-8.878,0.127,
002260,*ST德奥,2.65,-20.622,0.06,-69.653,0.48,
002771,真视通,0.92,-20.436,0.082,-28.916,0.12,
002112,三变科技,1.84,-20.282,0.085,-10.948,0.124,
002604,*ST龙力,5.08,-20.13,0.085,-22.724,0.138,
000567,海德股份,1.5,-20.053,0.104,-27.304,0.142,
002654,万润科技,5.75,-19.865,0.089,-20.223,0.117,
600397,*ST安煤,9.9,-19.643,0.093,7.143,0.092,
600482,中国动力,9.09,-19.441,0.054,16.603,0.106,
002199,东晶电子,2.26,-19.338,0.067,-7.7,0.107,
002733,雄韬股份,3.27,-19.306,0.072,-9.581,0.097,
002518,科士达,5.58,-19.247,0.064,-30.984,0.177,
002927,泰永长征,0.3,-19.198,0.091,-28.347,0.184,
000638,万方发展,3.09,-19.189,0.075,-14.333,0.144,
002208,合肥城建,3.19,-18.95,0.073,-13.654,0.099,
002209,达 意 隆,1.54,-18.891,0.08,-12.78,0.113,
600202,*ST哈空,3.83,-18.821,0.078,-3.972,0.081,
002601,龙蟒佰利,7.06,-18.724,0.105,-6.702,0.038,
002488,金固股份,7.68,-18.513,0.065,-10.69,0.22,
002086,东方海洋,4.76,-18.478,0.098,-50.555,0.301,
600149,ST坊展,3.8,-18.366,0.064,-21.399,0.087,
600275,ST昌鱼,5.09,-18.087,0.059,-19.268,0.146,
002694,顾地科技,4.99,-17.896,0.087,-13.608,0.095,
000893,*ST东凌,4.01,-17.891,0.067,14.719,0.145,
002812,恩捷股份,1.27,-17.639,0.052,7.855,0.092,
002009,天奇股份,2.71,-17.591,0.06,-40.312,0.188,
002141,贤丰控股,6.37,-17.516,0.064,-12.241,0.148,
002137,麦达数字,2.85,-17.49,0.067,-16.516,0.149,
600706,曲江文旅,1.78,-17.397,0.055,-12.6,0.08,
000930,中粮生化,9.64,-17.331,0.058,-26.714,0.093,
600608,ST沪科,3.18,-17.306,0.08,-22.458,0.139,
600241,时代万恒,2.26,-17.279,0.063,-18.233,0.121,
000677,恒天海龙,8.64,-17.203,0.078,-9.795,0.115,
000971,高升控股,5.92,-17.025,0.073,-14.357,0.105,
600685,中船防务,8.21,-16.954,0.06,-34.084,0.152,
000957,中通客车,5.93,-16.919,0.055,-29.308,0.152,
000890,法 尔 胜,3.8,-16.918,0.074,-18.137,0.117,
002335,科华恒盛,2.25,-16.87,0.069,-29.736,0.12,
002261,拓维信息,9.72,-16.521,0.063,-11.678,0.095,
002382,蓝帆医疗,4.86,-16.486,0.059,-19.643,0.079,
002925,盈趣科技,0.75,-16.478,0.082,-18.013,0.173,
000606,顺利办,5.46,-16.365,0.055,-11.602,0.107,
000532,华金资本,3.43,-16.302,0.065,6.14,0.145,
002497,雅化集团,8.15,-16.267,0.062,-36.427,0.166,
600228,ST昌九,2.41,-16.107,0.064,-5.949,0.111,
600232,金鹰股份,3.65,-16.034,0.074,-6.299,0.138,
600216,浙江医药,9.56,-15.965,0.074,-29.903,0.16,
002338,奥普光电,2.4,-15.951,0.068,-2.415,0.087,
000020,深华发Ａ,1.81,-15.931,0.052,-23.926,0.117,
002041,登海种业,8.74,-15.925,0.055,-27.057,0.114,
002864,盘龙药业,0.45,-15.905,0.093,-29.156,0.142,
600768,宁波富邦,1.34,-15.867,0.037,-11.795,0.13,
002479,富春环保,7.95,-15.797,0.07,-22.295,0.104,
000610,西安旅游,2.35,-15.781,0.067,-4.875,0.139,
600480,凌云股份,4.51,-15.75,0.05,-24.493,0.087,
002184,海得控制,1.36,-15.7,0.071,-15.058,0.125,
002863,今飞凯达,1.86,-15.692,0.075,-29.309,0.117,
002605,姚记扑克,2.67,-15.607,0.066,-7.373,0.102,
002629,仁智股份,3.45,-15.549,0.09,-27.422,0.091,
600112,天成控股,5.09,-15.491,0.043,-2.758,0.112,
600303,曙光股份,6.2,-15.464,0.046,-31.748,0.123,
002759,天际股份,1.26,-15.387,0.048,-10.747,0.068,
002194,*ST凡谷,5.3,-15.38,0.056,34.318,0.193,
002425,凯撒文化,8.04,-15.353,0.076,4.543,0.098,
002201,九鼎新材,2.29,-15.319,0.053,-13.843,0.081,
002331,皖通科技,2.95,-15.318,0.063,4.755,0.084,
002446,盛路通信,4.22,-15.267,0.075,-11.345,0.096,
002268,卫 士 通,8.1,-15.212,0.054,-31.508,0.114,
600679,上海凤凰,1.91,-15.167,0.065,-7.093,0.108,
002103,广博股份,3.74,-15.139,0.079,-16.259,0.105,
000821,京山轻机,4.41,-15.134,0.042,-15.552,0.078,
