,ts_code,symbol,name,industry,COL_RECENT_LIMIT_COUNT
0,003004.SZ,003004,声迅股份,软件服务,7.0
1,600707.SH,600707,彩虹股份,元器件,7.0
2,600121.SH,600121,郑州煤电,煤炭开采,6.0
3,000798.SZ,000798,中水渔业,渔业,6.0
4,600844.SH,600844,丹化科技,化工原料,5.0
5,600191.SH,600191,华资实业,食品,5.0
6,002510.SZ,002510,天汽模,汽车配件,5.0
7,605266.SH,605266,健之佳,医药商业,5.0
8,002670.SZ,002670,国盛金控,证券,4.0
9,601127.SH,601127,小康股份,汽车配件,4.0
10,002196.SZ,002196,方正电机,纺织机械,4.0
11,605068.SH,605068,明新旭腾,汽车配件,4.0
12,002765.SZ,002765,蓝黛科技,汽车配件,4.0
13,002682.SZ,002682,龙洲股份,公路,4.0
14,002636.SZ,002636,金安国纪,元器件,3.0
15,002652.SZ,002652,扬子新材,其他建材,3.0
16,600117.SH,600117,西宁特钢,特种钢,3.0
17,600257.SH,600257,大湖股份,渔业,3.0
18,002321.SZ,002321,华英农业,农业综合,3.0
19,300094.SZ,300094,国联水产,渔业,3.0
20,600213.SH,600213,亚星客车,汽车整车,3.0
21,002750.SZ,002750,龙津药业,中成药,3.0
22,603439.SH,603439,贵州三力,中成药,3.0
23,000766.SZ,000766,通化金马,化学制药,3.0
24,600746.SH,600746,江苏索普,化工原料,3.0
25,002948.SZ,002948,青岛银行,银行,3.0
26,605177.SH,605177,东亚药业,化学制药,3.0
27,002996.SZ,002996,顺博合金,铝,3.0
28,601187.SH,601187,厦门银行,银行,3.0
29,603336.SH,603336,宏辉果蔬,农业综合,3.0
30,002227.SZ,002227,奥特迅,电气设备,3.0
31,605258.SH,605258,协和电子,元器件,3.0
32,603619.SH,603619,中曼石油,石油开采,2.0
33,600460.SH,600460,士兰微,半导体,2.0
34,688777.SH,688777,中控技术,软件服务,2.0
35,002813.SZ,002813,路畅科技,汽车配件,2.0
36,600543.SH,600543,莫高股份,红黄酒,2.0
37,600552.SH,600552,凯盛科技,玻璃,2.0
38,002862.SZ,002862,实丰文化,文教休闲,2.0
39,603396.SH,603396,金辰股份,专用机械,2.0
40,300501.SZ,300501,海顺新材,广告包装,2.0
41,002622.SZ,002622,融钰集团,综合类,2.0
42,002786.SZ,002786,银宝山新,专用机械,2.0
43,600397.SH,600397,安源煤业,煤炭开采,2.0
44,002069.SZ,002069,獐子岛,渔业,2.0
45,002245.SZ,002245,澳洋顺昌,仓储物流,2.0
46,300424.SZ,300424,航新科技,航空,2.0
47,000157.SZ,000157,中联重科,工程机械,2.0
48,688536.SH,688536,思瑞浦,半导体,2.0
49,600155.SH,600155,华创阳安,证券,2.0
50,300892.SZ,300892,品渥食品,乳制品,2.0
51,605358.SH,605358,立昂微,半导体,2.0
52,000625.SZ,000625,长安汽车,汽车整车,2.0
53,000628.SZ,000628,高新发展,园区开发,2.0
54,000633.SZ,000633,合金投资,综合类,2.0
55,603976.SH,603976,正川股份,医疗保健,2.0
56,002863.SZ,002863,今飞凯达,汽车配件,2.0
57,300752.SZ,300752,隆利科技,元器件,2.0
58,600979.SH,600979,广安爱众,水力发电,2.0
59,603011.SH,603011,合锻智能,机床制造,2.0
60,002618.SZ,002618,丹邦科技,元器件,2.0
61,002098.SZ,002098,浔兴股份,服饰,2.0
62,300727.SZ,300727,润禾材料,化工原料,2.0
63,600333.SH,600333,长春燃气,供气供热,2.0
64,603758.SH,603758,秦安股份,汽车配件,2.0
65,603185.SH,603185,上机数控,机床制造,2.0
66,600895.SH,600895,张江高科,园区开发,1.0
67,600760.SH,600760,中航沈飞,航空,1.0
68,600800.SH,600800,天津磁卡,综合类,1.0
69,600871.SH,600871,石化油服,石油开采,1.0
70,600872.SH,600872,中炬高新,食品,1.0
71,600928.SH,600928,西安银行,银行,1.0
72,601011.SH,601011,宝泰隆,焦炭加工,1.0
73,601311.SH,601311,骆驼股份,电气设备,1.0
74,600744.SH,600744,华银电力,火力发电,1.0
75,600509.SH,600509,天富能源,火力发电,1.0
76,600733.SH,600733,北汽蓝谷,汽车整车,1.0
77,600731.SH,600731,湖南海利,农药化肥,1.0
78,600097.SH,600097,开创国际,渔业,1.0
79,600132.SH,600132,重庆啤酒,啤酒,1.0
80,600169.SH,600169,太原重工,工程机械,1.0
81,600198.SH,600198,大唐电信,通信设备,1.0
82,600199.SH,600199,金种子酒,白酒,1.0
83,600203.SH,600203,福日电子,元器件,1.0
84,600211.SH,600211,西藏药业,中成药,1.0
85,600237.SH,600237,铜峰电子,元器件,1.0
86,600261.SH,600261,阳光照明,家用电器,1.0
87,600295.SH,600295,鄂尔多斯,小金属,1.0
88,600316.SH,600316,洪都航空,航空,1.0
89,600331.SH,600331,宏达股份,铅锌,1.0
90,600338.SH,600338,西藏珠峰,铅锌,1.0
91,600360.SH,600360,华微电子,半导体,1.0
92,600418.SH,600418,江淮汽车,汽车整车,1.0
93,600433.SH,600433,冠豪高新,造纸,1.0
94,601388.SH,601388,怡球资源,铝,1.0
95,600511.SH,600511,国药股份,医药商业,1.0
96,600533.SH,600533,栖霞建设,区域地产,1.0
97,600559.SH,600559,老白干酒,白酒,1.0
98,600579.SH,600579,克劳斯,化工机械,1.0
99,600679.SH,600679,上海凤凰,文教休闲,1.0
100,600682.SH,600682,南京新百,百货,1.0
101,601360.SH,601360,三六零,互联网,1.0
102,603083.SH,603083,剑桥科技,通信设备,1.0
103,601456.SH,601456,国联证券,证券,1.0
104,603948.SH,603948,建业股份,化工原料,1.0
105,603697.SH,603697,有友食品,食品,1.0
106,603701.SH,603701,德宏股份,汽车配件,1.0
107,603711.SH,603711,香飘飘,软饮料,1.0
108,603755.SH,603755,日辰股份,食品,1.0
109,603790.SH,603790,雅运股份,染料涂料,1.0
110,603826.SH,603826,坤彩科技,染料涂料,1.0
111,603829.SH,603829,洛凯股份,电气设备,1.0
112,603876.SH,603876,鼎胜新材,铝,1.0
113,603879.SH,603879,永悦科技,化工原料,1.0
114,603915.SH,603915,国茂股份,机械基件,1.0
115,603929.SH,603929,亚翔集成,装修装饰,1.0
116,603936.SH,603936,博敏电子,元器件,1.0
117,603960.SH,603960,克来机电,专用机械,1.0
118,603615.SH,603615,茶花股份,家居用品,1.0
119,605008.SH,605008,长鸿高科,塑料,1.0
120,605111.SH,605111,新洁能,半导体,1.0
121,605183.SH,605183,N确成,化工原料,1.0
122,605199.SH,605199,葫芦娃,中成药,1.0
123,605388.SH,605388,均瑶健康,软饮料,1.0
124,605399.SH,605399,晨光新材,化工原料,1.0
125,688017.SH,688017,绿的谐波,机械基件,1.0
126,688229.SH,688229,博睿数据,软件服务,1.0
127,688286.SH,688286,敏芯股份,元器件,1.0
128,688557.SH,688557,兰剑智能,专用机械,1.0
129,688578.SH,688578,艾力斯-U,化学制药,1.0
130,688590.SH,688590,N新致,软件服务,1.0
131,603679.SH,603679,华体科技,电气设备,1.0
132,603602.SH,603602,纵横通信,通信设备,1.0
133,601686.SH,601686,友发集团,钢加工,1.0
134,603096.SH,603096,新经典,出版业,1.0
135,601717.SH,601717,郑煤机,汽车配件,1.0
136,601860.SH,601860,紫金银行,银行,1.0
137,601965.SH,601965,中国汽研,汽车服务,1.0
138,603009.SH,603009,北特科技,汽车配件,1.0
139,603010.SH,603010,万盛股份,化工原料,1.0
140,603016.SH,603016,新宏泰,电气设备,1.0
141,603021.SH,603021,山东华鹏,玻璃,1.0
142,603025.SH,603025,大豪科技,IT设备,1.0
143,603063.SH,603063,禾望电气,电气设备,1.0
144,603069.SH,603069,海汽集团,公路,1.0
145,603076.SH,603076,乐惠国际,专用机械,1.0
146,600076.SH,600076,康欣新材,其他建材,1.0
147,603113.SH,603113,金能科技,化工原料,1.0
148,603559.SH,603559,中通国脉,通信设备,1.0
149,603115.SH,603115,海星股份,元器件,1.0
150,603131.SH,603131,上海沪工,专用机械,1.0
