,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300573.SZ,300573,兴齐眼药,化学制药,True,165.0,True,True,"中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
中国建设银行股份有限公司-富国精准医疗灵活配置混合型证券投资基金
中国建设银行股份有限公司-富国新动力灵活配置混合型证券投资基金
中国银行股份有限公司-易方达医疗保健行业混合型证券投资基金
中国工商银行股份有限公司-华夏乐享健康灵活配置混合型证券投资基金
中国银行股份有限公司-博时医疗保健行业混合型证券投资基金",7.0
1,002382.SZ,002382,蓝帆医疗,医疗保健,True,31.78,True,True,"中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
共青城胜恒投资管理有限公司-胜恒普惠一期私募投资基金
富安达基金-南京银行-富安达-富享14号股票型资产管理计划
国信国投基金管理(北京)有限公司-北京华宇瑞泰股权投资合伙企业(有限合伙)
中泰证券资管-证券行业支持民企发展中泰资管2号FOF集合资管计划-证券行业支持民企发展系列之中泰资管11号单一资产管理计划
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",7.0
2,300601.SZ,300601,康泰生物,生物制药,True,189.27,True,True,"上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金",6.0
3,002252.SZ,002252,上海莱士,生物制药,True,10.14,True,True,"民生通惠资产-民生银行-民生通惠聚鑫2号资产管理产品
香港中央结算有限公司(陆股通)
陕西省国际信托股份有限公司-陕国投·如意69号定向投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣82号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣76号证券投资集合资金信托计划",5.0
4,688198.SH,688198,佰仁医疗,医疗保健,True,135.55,True,True,"上海勤远投资管理中心(有限合伙)-勤远动态平衡1号私募证券投资基金
上海勤远投资管理中心(有限合伙)-勤远嘉裕私募证券投资基金
中国银行股份有限公司-大成中小盘混合型证券投资基金(LOF)
全国社保基金四一一组合
上海勤远投资管理中心(有限合伙)-勤远动态平衡2号私募证券投资基金",5.0
5,300206.SZ,300206,理邦仪器,医疗保健,True,26.87,True,True,"中国工商银行股份有限公司-中欧精选灵活配置定期开放混合型发起式证券投资基金
云南国际信托有限公司-理邦仪器1号员工持股集合资金信托计划
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
中国银行股份有限公司-国投瑞银医疗保健行业灵活配置混合型证券投资基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)",5.0
6,300298.SZ,300298,三诺生物,医疗保健,True,35.91,True,True,"湖南省信托有限责任公司-湖南信托·三诺生物1号集合资金信托计划
香港中央结算有限公司(陆股通)
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
广东省铁路发展基金有限责任公司
招商银行股份有限公司-睿远成长价值混合型证券投资基金",5.0
7,300238.SZ,300238,冠昊生物,医疗保健,True,22.53,True,True,"广东智硕资产管理有限公司-智硕莲花1号私募证券投资基金
华融国际信托有限责任公司-华融·汇盈32号证券投资单一资金信托
云南国际信托有限公司-云信-弘瑞29号集合资金信托计划
浙商金汇信托股份有限公司-浙金·冠昊生物1号员工持股集合资金信托计划",4.0
8,300246.SZ,300246,宝莱特,医疗保健,True,47.08,True,True,"中央汇金资产管理有限责任公司
中信信托有限责任公司-中信价值管理型金融投资集合资金信托计划
中国对外经济贸易信托有限公司-外贸信托·锐进31期清水源证券投资集合资金信托计划
中国工商银行股份有限公司-金鹰稳健成长混合型证券投资基金",4.0
9,002030.SZ,002030,达安基因,生物制药,True,33.32,True,True,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
10,688366.SH,688366,昊海生科,生物制药,True,120.75,True,True,"中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金
中国建设银行股份有限公司-交银施罗德蓝筹混合型证券投资基金
中国银行股份有限公司-博时医疗保健行业混合型证券投资基金",3.0
11,002932.SZ,002932,明德生物,医疗保健,True,96.99,True,True,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
科华(宜都)科技创业投资基金(有限合伙)
武汉光谷生物城华岭基金合伙企业(有限合伙)",3.0
12,600055.SH,600055,万东医疗,医疗保健,True,18.87,True,True,"上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金
上海盛宇股权投资中心(有限合伙)-盛宇十二号私募证券投资基金",2.0
13,000516.SZ,000516,国际医学,医疗保健,True,6.01,True,True,"泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划
广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划",2.0
14,002950.SZ,002950,奥美医疗,医疗保健,True,35.8,True,True,"宁波星邻星投资管理有限公司-常州五星钛信绿色股权投资基金合伙企业(有限合伙)
长江经济带(湖北)产业并购基金合伙企业(有限合伙)",2.0
15,300318.SZ,300318,博晖创新,医疗保健,True,7.37,True,True,中央汇金资产管理有限责任公司,1.0
16,603168.SH,603168,莎普爱思,化学制药,True,9.0,True,True,上海速硕投资管理有限公司-速硕新价值成长一期私募证券投资基金,1.0
17,000650.SZ,000650,仁和药业,中成药,True,7.66,True,True,香港中央结算有限公司(陆股通),1.0
18,603579.SH,603579,荣泰健康,医疗保健,True,36.42,True,True,香港中央结算有限公司(陆股通),1.0
19,603590.SH,603590,康辰药业,化学制药,True,46.35,True,True,香港中央结算有限公司(陆股通),1.0
