,COL_CONCEPT,COL_AVERAGE_EIGEN_SLOPE
0,央企改革,10.67
1,房地产,10.01
2,无人驾驶,9.53
3,新能源汽车,9.14
4,一带一路,9.1
5,燃料电池,8.77
6,军工,8.72
7,军民融合,8.72
8,新能源整车,8.54
9,债转股-AMC,8.4
10,汽车整车,8.35
11,创投,7.94
12,快递物流,7.81
13,资产重组,7.76
14,汽车零部件,7.71
15,大数据,7.68
16,特斯拉,7.66
17,智能制造,7.59
18,股权转让,7.58
19,风电,7.53
20,高质押率,7.51
21,破净股,7.46
22,业绩预增,7.39
23,华为产业链,7.36
24,独角兽,7.15
25,强势人气股,7.1
26,天然气,7.09
27,共享经济,7.06
28,人工智能,6.96
29,5G,6.88
30,国家队重仓,6.85
31,医药,6.84
32,壳公司,6.84
33,云计算,6.83
34,油气改革,6.44
35,纺织服装,6.37
36,回购,6.36
37,电改,6.35
38,雄安新区,6.31
39,百度概念股,6.27
40,光伏,6.24
41,机器人,6.23
42,锂电池,6.19
43,MSCI,6.14
44,油服,6.14
45,国资入股,6.14
46,教育,6.09
47,环保,6.02
48,举牌股,5.98
49,自贸区,5.96
50,复牌股,5.94
51,低价股,5.89
52,阿里巴巴概念股,5.85
53,智慧城市,5.84
54,ST股,5.84
55,工业互联网,5.8
56,国产软件,5.78
57,社保重仓,5.78
58,粤港澳大湾区,5.76
59,区块链,5.71
60,化学药,5.68
61,物联网,5.63
62,港口,5.55
63,国产芯片,5.53
64,自由贸易港,5.53
65,火电,5.49
66,体外诊断,5.44
67,安徽国企改革,5.41
68,核电,5.4
69,无人机,5.34
70,特色小镇,5.3
71,页岩气,5.29
72,高铁轨交,5.29
73,高股息,5.25
74,光通信,5.19
75,可燃冰,5.16
76,医疗器械,5.1
77,工业自动化,5.09
78,宁夏,5.02
79,互联网金融,4.98
80,智慧安防,4.89
81,污水处理,4.88
82,PPP,4.88
83,上海自由贸易港,4.88
84,高送转-预期,4.88
85,海工装备,4.87
86,充电桩,4.86
87,造纸,4.84
88,乡村振兴,4.84
89,食品,4.83
90,3D玻璃,4.79
91,北斗导航,4.79
92,半导体,4.75
93,重庆国企改革,4.72
94,养鸡,4.72
95,定增破发,4.71
96,中药,4.69
97,特高压,4.69
98,蔚来汽车概念股,4.63
99,ST摘帽,4.62
100,信托,4.59
101,京津冀,4.55
102,高送转,4.52
103,年报季报,4.5
104,混改,4.48
