,ts_code,name,industry,COL_EIGEN_SLOPE_0,COL_EIGEN_SLOPE_1,COL_EIGEN_SLOPE_DIFF,COL_DAILY_LIMIT_COUNT,circ_mv
2164,600035.SH,楚天高速,路桥,12.96,1.85,11.11,2.0,586254.0104
1922,300536.SZ,农尚环境,建筑施工,10.61,1.54,9.07,3.0,81473.8085
519,002057.SZ,中钢天源,元器件,10.11,1.32,8.79,1.0,267540.9709
531,002069.SZ,獐子岛,渔业,11.78,3.33,8.45,2.0,342281.7599
3199,603090.SH,宏盛股份,专用机械,11.08,2.75,8.33,4.0,84657.7853
1014,002554.SZ,惠博普,石油开采,9.37,1.37,8.0,2.0,293947.1668
157,000570.SZ,苏常柴A,机械基件,8.89,1.05,7.84,2.0,234894.7401
452,000993.SZ,闽东电力,水力发电,10.64,3.16,7.48,3.0,321153.0
2923,600969.SH,郴电国际,水力发电,9.88,2.54,7.34,2.0,312322.6085
2234,600118.SH,中国卫星,航空,10.68,3.57,7.11,1.0,3095756.5554
326,000811.SZ,冰轮环境,工程机械,9.37,2.51,6.86,2.0,542675.6766
2304,600199.SH,金种子酒,白酒,7.65,0.88,6.77,2.0,396267.5764
2863,600860.SH,京城股份,专用机械,7.95,1.21,6.74,2.0,248906.0
2363,600268.SH,国电南自,电气设备,9.65,3.25,6.4,6.0,550758.6583
2382,600290.SH,华仪电气,电气设备,9.62,3.33,6.29,5.0,616281.7474
3285,603300.SH,华铁科技,钢加工,10.03,3.81,6.22,2.0,315455.1655
2117,300741.SZ,华宝股份,食品,8.2,2.09,6.11,1.0,258616.41
1176,002718.SZ,友邦吊顶,家居用品,6.59,0.9,5.69,1.0,151383.7004
359,000863.SZ,三湘印象,区域地产,6.52,1.0,5.52,1.0,483125.8793
2556,600517.SH,置信电气,电气设备,8.19,2.71,5.48,2.0,598615.2215
2287,600180.SH,瑞茂通,仓储物流,7.11,1.65,5.46,1.0,1002246.7795
2374,600281.SH,太化股份,化工原料,7.39,1.95,5.44,1.0,235596.1275
68,000159.SZ,国际实业,石油贸易,9.32,3.92,5.4,4.0,384548.7944
158,000571.SZ,新大洲A,综合类,8.86,3.55,5.31,1.0,325812.4959
1858,300471.SZ,厚普股份,专用机械,9.34,4.04,5.3,4.0,309344.47
3236,603169.SH,兰石重装,专用机械,6.83,1.56,5.27,1.0,657344.5774
348,000839.SZ,中信国安,综合类,9.09,3.95,5.14,1.0,2551273.6885
1777,300390.SZ,天华超净,元器件,7.89,2.76,5.13,3.0,213261.1939
2097,300719.SZ,安达维尔,航空,6.25,1.19,5.06,0.0,105988.1617
2826,600818.SH,中路股份,文教休闲,8.0,2.95,5.05,4.0,390013.0145
229,000673.SZ,当代东方,影视音像,9.76,4.71,5.05,1.0,466094.183
1281,002831.SZ,裕同科技,广告包装,7.47,2.43,5.04,1.0,678596.9783
2367,600273.SH,嘉化能源,化工原料,6.89,1.92,4.97,1.0,1936813.7045
2468,600391.SH,航发科技,航空,6.9,1.96,4.94,1.0,577066.1335
2522,600478.SH,科力远,元器件,7.47,2.63,4.84,2.0,912675.4283
995,002535.SZ,林州重机,工程机械,7.74,3.0,4.74,2.0,281656.969
419,000951.SZ,中国重汽,汽车整车,5.14,0.65,4.49,0.0,1213662.3692
174,000596.SZ,古井贡酒,白酒,5.96,1.47,4.49,1.0,3799941.6
1822,300435.SZ,中泰股份,机械基件,5.55,1.16,4.39,1.0,133144.512
1172,002714.SZ,牧原股份,农业综合,6.37,2.07,4.3,1.0,6933604.7891
1706,300317.SZ,珈伟新能,半导体,5.92,1.66,4.26,2.0,469843.8826
1259,002808.SZ,恒久科技,元器件,7.41,3.26,4.15,0.0,145401.1977
3511,603829.SH,洛凯股份,电气设备,7.11,3.02,4.09,2.0,92310.0
943,002482.SZ,广田集团,装修装饰,5.48,1.45,4.03,0.0,986395.8207
2427,600343.SH,航天动力,航空,5.47,1.5,3.97,0.0,703303.3955
1263,002812.SZ,恩捷股份,广告包装,5.9,2.0,3.9,0.0,821463.4264
477,002015.SZ,霞客环保,化纤,5.05,1.18,3.87,3.0,277687.7507
567,002105.SZ,信隆健康,文教休闲,4.7,0.84,3.86,0.0,204149.0
2643,600615.SH,丰华股份,小金属,6.49,2.67,3.82,1.0,275432.7777
49,000065.SZ,北方国际,建筑施工,5.53,1.73,3.8,1.0,713222.0503
2043,300663.SZ,科蓝软件,软件服务,5.56,1.77,3.79,3.0,317318.6167
638,002176.SZ,江特电机,电气设备,5.59,1.84,3.75,1.0,994046.0453
2983,601113.SH,华鼎股份,化纤,5.76,2.02,3.74,2.0,832216.95
405,000928.SZ,中钢国际,建筑施工,8.46,4.72,3.74,1.0,465960.2315
