,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,600575.SH,600575,皖江物流,水运,1.0,3.3,"安徽国企改革, 快递物流, 低价股, ",128.25亿
1,600577.SH,600577,精达股份,电气设备,1.0,3.69,"小米概念股, 互联网金融, 股权转让, ",70.9亿
2,600122.SH,600122,宏图高科,其他商业,1.0,4.35,"参股券商, 破净股, 互联网金融, 移动支付, 电竞, 期货概念, 资产重组, ",50.38亿
3,002052.SZ,002052,同洲电子,通信设备,2.0,5.08,"物联网, 家电, 举牌股, 黑色家电, 广电, ",37.89亿
4,002245.SZ,002245,澳洋顺昌,仓储物流,1.0,5.15,"锂电池, 新能源汽车, 快递物流, 股权转让, LED, ",47.09亿
5,002103.SZ,002103,广博股份,文教休闲,1.0,5.21,"回购, 互联网金融, 区块链, 独角兽, 创投, ",19.5亿
6,600336.SH,600336,澳柯玛,家用电器,1.0,5.23,"业绩预增, 无人驾驶, 山东国企改革, 白色家电, 家电, 冷链, 无人商店, ",38.3亿
7,600354.SH,600354,敦煌种业,种植业,1.0,5.32,"棉花, 农业种植, ",28.08亿
8,600896.SH,600896,览海投资,医疗保健,1.0,5.46,"民营医院, 海南自由贸易港, 自贸区, 自由贸易港, 资产重组, 海南, ST摘帽, ",47.45亿
9,600794.SH,600794,保税科技,仓储物流,1.0,5.67,"军工, 军民融合, 快递物流, ",67.56亿
10,000589.SZ,000589,贵州轮胎,汽车配件,3.0,5.76,"破净股, 轮胎, ",44.66亿
11,600530.SH,600530,交大昂立,医疗保健,1.0,6.15,"回购, 保健品, 食品, 举牌股, 高校系, ",47.97亿
12,000565.SZ,000565,渝三峡A,染料涂料,1.0,6.22,"重庆国企改革, 石墨烯, ",26.97亿
13,603335.SH,603335,迪生力,汽车配件,3.0,6.24,"汽车零部件, ",12.69亿
14,600708.SH,600708,光明地产,全国地产,1.0,6.25,"万达系, 房地产, 冷链, 上海国企改革, 进口博览会, 自贸区, 自由贸易港, 上海自由贸易港, ",139.08亿
