,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS
0,002324.SZ,002324,普利特,塑料,12.79,3471.7
1,603585.SH,603585,苏利股份,化工原料,24.08,3191.11
2,300495.SZ,300495,美尚生态,环境保护,14.66,2529.4
3,603506.SH,603506,南都物业,房产服务,23.34,2323.8
4,600784.SH,600784,鲁银投资,普钢,5.46,2204.26
5,603727.SH,603727,博迈科,石油开采,15.38,1969.26
6,002410.SZ,002410,广联达,软件服务,27.98,1660.24
7,603798.SH,603798,康普顿,石油加工,10.68,1581.53
8,603326.SH,603326,我乐家居,家居用品,11.09,1573.34
9,000821.SZ,000821,京山轻机,轻工机械,8.98,1507.52
10,300651.SZ,300651,金陵体育,文教休闲,61.92,1421.08
11,000547.SZ,000547,航天发展,通信设备,10.23,1310.61
12,600667.SH,600667,太极实业,半导体,7.1,1256.92
13,000768.SZ,000768,中航飞机,航空,16.27,1222.11
14,600547.SH,600547,山东黄金,黄金,29.71,1192.63
15,300442.SZ,300442,普丽盛,轻工机械,13.91,1142.7
16,002007.SZ,002007,华兰生物,生物制药,42.9,1113.97
17,002112.SZ,002112,三变科技,电气设备,8.24,1102.31
18,600855.SH,600855,航天长峰,专用机械,13.65,1045.62
19,600277.SH,600277,亿利洁能,综合类,8.1,1043.17
20,600493.SH,600493,凤竹纺织,纺织,6.69,1034.63
21,300662.SZ,300662,科锐国际,综合类,34.51,1032.67
22,300005.SZ,300005,探路者,服饰,3.95,1027.94
23,002801.SZ,002801,微光股份,电气设备,28.82,1005.92
24,600796.SH,600796,钱江生化,农药化肥,5.52,1004.02
25,300665.SZ,300665,飞鹿股份,染料涂料,10.57,1002.33
26,603605.SH,603605,珀莱雅,日用化工,62.0,998.34
27,600805.SH,600805,悦达投资,综合类,6.01,997.92
28,603655.SH,603655,朗博科技,汽车配件,16.4,970.11
29,000401.SZ,000401,冀东水泥,水泥,16.08,953.86
30,300522.SZ,300522,世名科技,染料涂料,17.17,932.55
31,603866.SH,603866,桃李面包,食品,39.16,932.35
32,600879.SH,600879,航天电子,航空,6.43,907.8
33,600257.SH,600257,大湖股份,渔业,5.2,901.54
34,603528.SH,603528,多伦科技,软件服务,7.37,899.29
35,002271.SZ,002271,东方雨虹,其他建材,20.1,884.28
36,600251.SH,600251,冠农股份,农业综合,5.8,865.96
37,002586.SZ,002586,围海股份,建筑施工,5.32,863.98
38,300218.SZ,300218,安利股份,塑料,7.48,841.66
39,600129.SH,600129,太极集团,中成药,11.0,825.11
40,300381.SZ,300381,溢多利,生物制药,9.78,821.3
41,002165.SZ,002165,红宝丽,化工原料,4.85,813.36
42,300483.SZ,300483,沃施股份,专用机械,38.09,810.95
43,000158.SZ,000158,常山北明,软件服务,5.89,805.81
44,603978.SH,603978,深圳新星,铝,20.16,801.57
45,000019.SZ,000019,深粮控股,其他商业,7.27,795.54
46,300321.SZ,300321,同大股份,塑料,15.15,787.1
47,300653.SZ,300653,正海生物,医疗保健,53.31,786.44
48,600361.SH,600361,华联综超,超市连锁,4.41,786.11
49,002901.SZ,002901,大博医疗,医疗保健,33.38,784.76
50,300306.SZ,300306,远方信息,电器仪表,8.6,777.77
51,300284.SZ,300284,苏交科,建筑施工,9.32,775.92
52,002383.SZ,002383,合众思壮,通信设备,11.55,772.72
53,300458.SZ,300458,全志科技,元器件,21.09,768.42
54,600302.SH,600302,标准股份,纺织机械,5.62,765.56
55,002798.SZ,002798,帝欧家居,家居用品,20.88,765.29
56,603015.SH,603015,弘讯科技,电气设备,7.2,752.54
57,300410.SZ,300410,正业科技,电器仪表,18.85,751.43
58,300307.SZ,300307,慈星股份,纺织机械,6.81,749.89
59,600435.SH,600435,北方导航,专用机械,9.31,749.43
60,300312.SZ,300312,邦讯技术,通信设备,7.12,746.46
61,600552.SH,600552,凯盛科技,玻璃,5.08,737.76
62,601118.SH,601118,海南橡胶,橡胶,5.27,737.31
63,000561.SZ,000561,烽火电子,通信设备,7.1,736.11
64,300126.SZ,300126,锐奇股份,轻工机械,5.8,735.65
65,000428.SZ,000428,华天酒店,酒店餐饮,3.04,731.72
66,300034.SZ,300034,钢研高纳,小金属,12.88,730.98
67,002935.SZ,002935,天奥电子,元器件,49.39,730.19
68,300330.SZ,300330,华虹计通,软件服务,9.08,730.1
69,603919.SH,603919,金徽酒,白酒,14.09,729.85
70,300630.SZ,300630,普利制药,化学制药,68.5,729.44
71,603828.SH,603828,柯利达,装修装饰,11.43,725.7
72,603878.SH,603878,武进不锈,钢加工,16.98,725.23
73,002422.SZ,002422,科伦药业,化学制药,28.19,720.28
74,300592.SZ,300592,华凯创意,软件服务,10.31,711.26
75,002653.SZ,002653,海思科,化学制药,13.05,709.28
76,603656.SH,603656,泰禾光电,专用机械,16.2,709.19
77,603063.SH,603063,禾望电气,电气设备,9.92,708.48
78,000860.SZ,000860,顺鑫农业,白酒,55.44,703.57
79,300183.SZ,300183,东软载波,软件服务,14.54,699.42
80,300652.SZ,300652,雷迪克,汽车配件,21.32,697.92
81,002661.SZ,002661,克明面业,食品,14.78,697.75
82,300722.SZ,300722,新余国科,专用机械,32.71,682.92
83,603590.SH,603590,康辰药业,化学制药,36.54,679.95
84,002348.SZ,002348,高乐股份,文教休闲,3.83,672.94
85,600633.SH,600633,浙数文化,互联网,9.88,660.31
86,300706.SZ,300706,阿石创,元器件,23.24,654.38
87,600720.SH,600720,祁连山,水泥,8.23,651.29
88,603895.SH,603895,天永智能,专用机械,23.61,650.0
89,300517.SZ,300517,海波重科,建筑施工,14.99,645.5
90,300452.SZ,300452,山河药辅,化学制药,16.57,640.3
91,002856.SZ,002856,美芝股份,装修装饰,23.3,636.86
92,002173.SZ,002173,创新医疗,医疗保健,8.12,635.34
93,603538.SH,603538,美诺华,化学制药,22.41,634.7
94,300756.SZ,300756,中山金马,专用机械,78.99,633.79
95,300046.SZ,300046,台基股份,半导体,16.6,631.52
96,601890.SH,601890,亚星锚链,船舶,6.3,630.84
97,002621.SZ,002621,美吉姆,专用机械,22.51,629.51
98,002180.SZ,002180,纳思达,电脑设备,24.98,625.63
99,600184.SH,600184,光电股份,专用机械,11.53,623.64
100,000622.SZ,000622,恒立实业,汽车配件,5.63,622.62
101,603601.SH,603601,再升科技,玻璃,9.0,621.4
102,300163.SZ,300163,先锋新材,其他建材,3.76,621.12
103,300460.SZ,300460,惠伦晶体,元器件,9.43,620.9
104,300759.SZ,300759,康龙化成,化学制药,34.3,619.25
105,000729.SZ,000729,燕京啤酒,啤酒,7.23,617.76
106,600343.SH,600343,航天动力,航空,10.17,607.35
107,002507.SZ,002507,涪陵榨菜,食品,27.77,604.97
108,603288.SH,603288,海天味业,食品,93.0,604.71
109,600108.SH,600108,亚盛集团,农业综合,3.38,604.42
110,300114.SZ,300114,中航电测,元器件,9.24,601.63
111,300685.SZ,300685,艾德生物,生物制药,50.49,600.38
112,002315.SZ,002315,焦点科技,互联网,16.16,599.56
113,603987.SH,603987,康德莱,医疗保健,7.22,594.55
114,000923.SZ,000923,河北宣工,铜,15.95,591.89
115,002058.SZ,002058,威尔泰,电器仪表,11.93,589.85
116,600353.SH,600353,旭光股份,元器件,5.42,588.85
117,603214.SH,603214,爱婴室,百货,36.39,587.7
118,002609.SZ,002609,捷顺科技,软件服务,7.89,586.6
119,002514.SZ,002514,宝馨科技,机械基件,6.49,586.18
120,603321.SH,603321,梅轮电梯,运输设备,7.64,586.08
121,300041.SZ,300041,回天新材,化工原料,8.51,579.29
122,600303.SH,600303,曙光股份,汽车整车,5.1,575.25
123,603739.SH,603739,蔚蓝生物,农业综合,22.91,571.66
124,300092.SZ,300092,科新机电,专用机械,7.52,569.19
