,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
1025,002565.SZ,顺灏股份,造纸,4.0,4.0,9.997,9.9278,417065.7105
632,002170.SZ,芭田股份,农药化肥,3.0,3.0,10.034,9.9462,267743.7788
1960,300582.SZ,英飞特,半导体,2.0,3.0,6.681,9.9728,144811.6312
3231,603186.SH,华正新材,元器件,2.0,2.0,10.011,10.0277,146401.4913
920,002459.SZ,天业通联,工程机械,2.0,3.0,6.748,10.032,398981.4886
2309,600218.SH,全柴动力,农用机械,2.0,2.0,9.937,9.9398,269191.15
2192,600084.SH,中葡股份,红黄药酒,2.0,3.0,6.888,10.1538,402294.2051
136,000545.SZ,金浦钛业,化工原料,1.0,1.0,9.94,9.9398,350182.13
3077,601811.SH,新华文轩,出版业,1.0,1.0,10.0,10.0,216813.7744
2838,600844.SH,丹化科技,化工原料,1.0,3.0,4.197,9.9125,310169.449
2756,600751.SH,海航科技,水运,1.0,1.0,10.14,10.1399,810554.5514
2242,600139.SH,西部资源,汽车整车,1.0,1.0,9.94,9.9398,241590.0354
2186,600078.SH,澄星股份,化工原料,1.0,4.0,3.748,9.9432,256415.6972
2010,300634.SZ,彩讯股份,软件服务,1.0,3.0,4.25,10.02,110267.56
1383,002942.SZ,新农股份,农药化肥,1.0,4.0,6.108,10.0058,113790.0
1885,300503.SZ,昊志机电,机械基件,1.0,1.0,10.011,10.0111,101283.6344
191,000616.SZ,海航投资,全国地产,1.0,3.0,3.509,10.1504,419052.8265
1378,002937.SZ,兴瑞科技,元器件,1.0,3.0,5.003,10.008,126408.0
1333,002887.SZ,绿茵生态,环境保护,1.0,1.0,10.0,10.0,103888.8048
1228,002774.SZ,快意电梯,运输设备,1.0,3.0,3.596,10.049,75147.6932
1210,002755.SZ,东方新星,建筑施工,1.0,3.0,5.588,9.9775,252559.548
1078,002618.SZ,丹邦科技,元器件,1.0,1.0,9.969,9.9688,773663.04
994,002534.SZ,杭锅股份,专用机械,1.0,3.0,4.811,9.9828,464499.5381
344,000835.SZ,长城动漫,影视音像,1.0,3.0,3.991,9.9099,147812.76
322,000806.SZ,银河生物,生物制药,1.0,1.0,10.022,10.0223,345033.4607
3245,603220.SH,贝通信,通信设备,1.0,2.0,8.515,9.9934,282536.24
