,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,002291.SZ,星期六,服饰,18.56,79.96,金鹰基金-民生银行-金鹰筠业琢石资产管理计划
1,300586.SZ,美联新材,化工原料,25.85,61.62,深圳市金格投资管理有限公司-金格三号私募证券投资基金
2,603598.SH,引力传媒,影视音像,14.26,60.0,
3,300707.SZ,威唐工业,专用机械,21.29,59.98,
4,600695.SH,绿庭投资,多元金融,9.45,50.16,
5,000955.SZ,欣龙控股,纺织,6.77,50.1,财达证券-招商银行-证券行业支持民企发展系列之财达证券1号集合资产管理计划
6,000927.SZ,一汽夏利,汽车整车,5.83,50.0,
7,002261.SZ,拓维信息,互联网,9.36,49.44,华泰证券资管-宁波银行-华泰紫金定增3号集合资产管理计划
8,601990.SH,南京证券,证券,12.6,45.15,中国东方资产管理股份有限公司
9,300112.SZ,万讯自控,电器仪表,10.3,45.08,
10,603536.SH,惠发食品,食品,22.18,41.0,
11,000026.SZ,飞亚达A,其他商业,11.2,40.02,"吉林日昇投资管理有限公司-日昇飞跃巅峰一期私募证券投资基金
全国社保基金一一四组合
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
12,300467.SZ,迅游科技,互联网,21.6,40.01,中央汇金资产管理有限责任公司
13,300346.SZ,南大光电,元器件,18.39,39.99,"上海睿扬投资管理有限公司-睿扬专享3号私募证券投资基金
上海朴道瑞富投资管理中心(有限合伙)-朴道二期基金"
14,002623.SZ,亚玛顿,玻璃,22.59,39.98,中央汇金资产管理有限责任公司
15,300576.SZ,容大感光,染料涂料,30.49,39.97,"中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
浙江九章资产管理有限公司-九章幻方青溪2号私募基金
中国农业银行股份有限公司-交银施罗德数据产业灵活配置混合型证券投资基金"
16,000818.SZ,航锦科技,化工原料,19.89,38.12,"国民信托有限公司-国民信托四方5号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)"
