code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002098,浔兴股份,3.1,-54.685,0.279,-7.453,0.151,
002359,北讯集团,7.08,-54.043,0.321,6.559,0.076,
600701,*ST工新,7.76,-53.534,0.219,23.419,0.18,
002113,天润数娱,8.05,-51.223,0.563,46.809,0.073,
002664,长鹰信质,3.5,-46.097,0.213,1.005,0.073,
002723,金莱特,1.74,-43.97,0.179,-5.918,0.102,
002699,美盛文化,7.91,-43.502,0.179,-30.528,0.163,
002086,东方海洋,4.76,-42.364,0.179,-1.019,0.106,
002656,摩登大道,4.72,-35.083,0.188,-6.143,0.268,
002716,金贵银业,5.42,-32.684,0.101,4.08,0.067,
002630,华西能源,9.7,-31.729,0.103,-40.355,0.139,
600766,园城黄金,2.24,-30.997,0.147,45.458,0.161,
600678,四川金顶,3.49,-27.961,0.084,-2.013,0.071,
002094,青岛金王,6.01,-26.891,0.146,12.249,0.086,
002669,康达新材,2.29,-26.23,0.07,0.619,0.067,
002262,恩华药业,8.84,-23.075,0.112,-13.427,0.062,
002735,王子新材,0.43,-20.817,0.053,-6.376,0.027,
000923,河北宣工,1.98,-19.794,0.065,0.445,0.082,
000707,*ST双环,4.64,-19.499,0.065,-1.748,0.075,
000606,顺利办,5.46,-18.68,0.056,28.805,0.138,
600232,金鹰股份,3.65,-18.317,0.093,6.676,0.133,
002919,名臣健康,0.2,-18.181,0.077,-10.093,0.08,
002875,安奈儿,0.39,-17.902,0.052,15.94,0.1,
002876,三利谱,0.55,-17.842,0.063,-11.316,0.119,
600771,广誉远,3.02,-17.825,0.089,-0.64,0.042,
002787,华源控股,1.02,-17.698,0.078,-7.182,0.065,
000953,ST河化,2.94,-17.569,0.08,22.173,0.131,
600584,长电科技,9.85,-17.508,0.093,-17.327,0.081,
002931,锋龙股份,0.22,-17.507,0.049,23.961,0.112,
600634,*ST富控,5.76,-17.434,0.053,31.904,0.148,
002458,益生股份,1.79,-17.427,0.08,28.629,0.111,
002897,意华股份,0.67,-17.331,0.061,-11.888,0.064,
002366,台海核电,4.89,-17.146,0.055,12.003,0.098,
002730,电光科技,2.9,-17.086,0.075,-6.585,0.07,
002819,东方中科,0.44,-16.994,0.062,-7.712,0.023,
002865,钧达股份,0.38,-16.959,0.043,28.254,0.098,
002886,沃特股份,0.5,-16.45,0.047,14.28,0.063,
002308,威创股份,9.02,-16.321,0.034,-19.826,0.084,
002240,威华股份,4.91,-16.31,0.063,-16.994,0.079,
002749,国光股份,1.4,-16.215,0.052,-11.59,0.301,
002061,浙江交科,5.59,-16.182,0.046,32.042,0.151,
002028,思源电气,5.8,-16.12,0.116,-8.103,0.066,
002034,旺能环境,1.43,-15.807,0.038,-6.181,0.125,
002059,云南旅游,7.31,-15.804,0.12,-9.298,0.073,
002205,国统股份,1.16,-15.532,0.027,11.454,0.085,
600520,文一科技,1.58,-15.455,0.05,-6.187,0.044,
002306,*ST云网,7.94,-15.358,0.049,32.024,0.113,
002866,传艺科技,0.81,-15.177,0.053,-6.854,0.043,
600486,扬农化工,3.1,-15.141,0.097,-13.615,0.062,
000422,*ST宜化,8.98,-15.086,0.044,2.93,0.042,
000779,三毛派神,1.86,-15.079,0.067,-0.485,0.088,
