code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002604,*ST龙力,5.08,-49.881,0.218,-57.381,0.271,
002569,步森股份,1.4,-48.984,0.249,-44.359,0.305,
600539,*ST狮头,2.3,-46.234,0.189,-6.617,0.108,
600202,*ST哈空,3.83,-42.517,0.169,-23.366,0.149,
002729,好利来,0.67,-41.851,0.237,-39.591,0.211,
600651,飞乐音响,9.85,-39.096,0.168,-32.997,0.169,
002575,群兴玩具,5.89,-34.352,0.084,56.541,0.232,
002320,海峡股份,5.58,-33.648,0.143,-29.728,0.268,
000955,欣龙控股,5.38,-33.209,0.101,-18.378,0.159,
002163,中航三鑫,8.03,-32.642,0.101,-21.01,0.107,
600870,*ST厦华,5.23,-32.631,0.107,-40.916,0.326,
002596,海南瑞泽,8.63,-31.252,0.114,-36.389,0.225,
000613,大东海A,2.66,-30.611,0.098,-19.65,0.176,
000886,海南高速,9.68,-30.561,0.1,-26.559,0.166,
002738,中矿资源,1.26,-29.51,0.082,-25.127,0.162,
002552,*ST宝鼎,2.0,-28.3,0.066,-31.892,0.121,
000056,皇庭国际,9.04,-27.332,0.104,-40.916,0.198,
000533,万 家 乐,6.85,-26.574,0.063,-35.612,0.168,
000010,美丽生态,5.22,-26.454,0.101,38.772,0.092,
002915,中欣氟材,0.28,-25.849,0.086,-24.034,0.188,
000655,*ST金岭,5.95,-25.597,0.093,-12.748,0.099,
002693,双成药业,4.03,-25.456,0.111,-32.421,0.207,
002496,ST辉丰,9.67,-25.309,0.126,-31.524,0.19,
002212,南洋股份,6.42,-24.658,0.109,-28.83,0.102,
600540,新赛股份,4.71,-24.657,0.077,-8.626,0.098,
000707,*ST双环,4.64,-24.503,0.079,-6.917,0.107,
600238,*ST椰岛,4.45,-24.422,0.12,-5.673,0.136,
002175,东方网络,5.24,-24.32,0.086,-35.919,0.149,
002921,联诚精密,0.2,-24.203,0.092,-3.595,0.121,
000852,石化机械,5.98,-24.181,0.055,-0.111,0.15,
600354,敦煌种业,5.28,-24.017,0.087,-38.106,0.163,
002902,铭普光磁,0.71,-23.871,0.09,-38.459,0.232,
000968,蓝焰控股,5.14,-23.809,0.082,32.951,0.111,
002454,松芝股份,6.17,-23.699,0.07,-31.427,0.301,
600634,*ST富控,5.76,-23.348,0.113,-58.406,0.358,
002136,安 纳 达,2.14,-23.297,0.078,-19.797,0.106,
000505,京粮控股,4.06,-23.251,0.077,-25.157,0.135,
002012,凯恩股份,4.67,-23.223,0.107,-21.915,0.166,
600807,*ST天业,7.87,-23.034,0.107,-69.966,0.665,
002694,顾地科技,4.99,-22.957,0.091,-37.99,0.166,
000526,紫光学大,0.96,-22.75,0.087,-22.803,0.145,
002250,联化科技,8.89,-22.741,0.101,10.066,0.087,
600416,湘电股份,8.81,-22.447,0.061,-34.49,0.157,
002676,顺威股份,7.2,-21.946,0.06,-13.679,0.141,
002870,香山股份,0.37,-21.917,0.089,-30.099,0.177,
002334,英威腾,5.78,-21.597,0.089,-33.854,0.159,
000586,汇源通信,1.93,-21.202,0.133,-22.126,0.175,
000626,远大控股,4.05,-21.186,0.07,-18.311,0.13,
600371,万向德农,2.25,-21.155,0.071,-23.293,0.165,
000639,西王食品,5.27,-20.854,0.048,-16.197,0.28,
600119,长江投资,3.07,-20.574,0.067,-17.361,0.148,
600193,*ST创兴,4.25,-20.478,0.079,-10.087,0.108,
601069,西部黄金,6.36,-20.443,0.087,-16.689,0.106,
600746,江苏索普,3.05,-20.419,0.063,-1.012,0.079,
600749,*ST藏旅,1.89,-20.346,0.067,-22.78,0.092,
002865,钧达股份,0.38,-20.151,0.085,7.046,0.126,
600359,新农开发,3.82,-20.064,0.068,-23.935,0.122,
002906,华阳集团,2.02,-19.909,0.066,-42.328,0.247,
002188,*ST巴士,1.83,-19.83,0.058,-31.417,0.165,
002910,庄园牧场,0.74,-19.609,0.072,-33.684,0.214,
002265,西仪股份,3.03,-19.442,0.083,-28.225,0.143,
002643,万润股份,8.92,-19.397,0.058,11.618,0.085,
600720,祁连山,7.76,-19.257,0.066,-14.763,0.095,
000663,永安林业,2.23,-19.184,0.075,-30.251,0.151,
600975,新五丰,6.53,-19.149,0.056,-21.97,0.114,
002922,伊戈尔,0.33,-18.885,0.094,-27.279,0.148,
002194,*ST凡谷,5.3,-18.732,0.033,-14.266,0.215,
