,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,300313.SZ,天山生物,农业综合,20.0,16.08,115.22,
1,300278.SZ,华昌达,专用机械,9.5668,6.07,66.18,"陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划
厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托"
2,300176.SZ,派生科技,汽车配件,20.0247,9.71,57.99,"陕西省国际信托股份有限公司-陕国投·鑫鑫向荣83号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·聚宝盆26号证券投资集合资金信托计划"
3,300613.SZ,富瀚微,半导体,11.2853,184.6,51.56,"中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金
中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金"
4,300222.SZ,科大智能,电气设备,20.033,14.56,50.07,
5,300217.SZ,东方电热,电器仪表,19.9346,3.67,46.04,中央汇金资产管理有限责任公司
6,300187.SZ,永清环保,环境保护,20.0,8.64,40.0,中央汇金资产管理有限责任公司
7,300172.SZ,中电环保,环境保护,19.943,8.42,39.94,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
8,300317.SZ,珈伟新能,半导体,20.0489,4.91,39.9,香港中央结算有限公司(陆股通)
9,600983.SH,惠而浦,家用电器,10.0575,7.66,36.38,"中央汇金资产管理有限责任公司
浙江耀康资产管理有限公司-耀康必升1号私募证券投资基金
中央汇金资产管理有限责任公司"
10,300829.SZ,金丹科技,食品,16.351,106.88,34.57,"中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
中国银行股份有限公司-嘉实瑞和两年持有期混合型证券投资基金
嘉实基金-国新投资有限公司-嘉实基金-国新2号单一资产管理计划
中国建设银行股份有限公司-广发科技创新混合型证券投资基金
中国工商银行-中海能源策略混合型证券投资基金
中国银行股份有限公司-嘉实瑞和两年持有期混合型证券投资基金
嘉实基金-国新投资有限公司-嘉实基金-国新2号单一资产管理计划"
11,000534.SZ,万泽股份,生物制药,10.0,15.07,32.8,"九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划
云南国际信托有限公司-聚信5号集合资金信托计划
华润深国投信托有限公司-润之信13期集合资金信托计划"
12,300325.SZ,德威新材,塑料,11.1821,3.48,31.5,深圳市皓景资产管理有限公司
13,300791.SZ,仙乐健康,医疗保健,20.0,115.92,30.42,"中国银行-易方达策略成长证券投资基金
中国银行-易方达策略成长二号混合型证券投资基金"
14,300459.SZ,金科文化,互联网,10.1124,3.92,28.98,"中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金
中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金"
15,300416.SZ,苏试试验,电器仪表,12.7473,29.63,28.95,"中国工商银行股份有限公司-泓德远见回报混合型证券投资基金
中国农业银行股份有限公司-宝盈科技30灵活配置混合型证券投资基金
招商银行股份有限公司-泓德臻远回报灵活配置混合型证券投资基金
中央汇金资产管理有限责任公司
招商银行股份有限公司-泓德丰润三年持有期混合型证券投资基金"
16,300444.SZ,双杰电气,电气设备,12.3203,5.47,28.71,
17,000733.SZ,振华科技,元器件,10.01,43.96,28.63,"中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
财通基金-招商银行-财通基金-长昕1号资产管理计划
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金
贵州省贵鑫瑞和创业投资管理有限责任公司-贵州新动能产业投资基金合伙企业(有限合伙)
全国社保基金一零二组合
中国建设银行股份有限公司-易方达国防军工混合型证券投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金"
18,300228.SZ,富瑞特装,化工机械,11.3553,6.08,28.25,广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
19,300210.SZ,森远股份,专用机械,20.0893,5.38,28.04,中央汇金资产管理有限责任公司
20,600831.SH,广电网络,影视音像,9.9878,9.03,26.51,中央汇金资产管理有限责任公司
21,300624.SZ,万兴科技,软件服务,9.2857,76.5,26.48,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-银河和美生活主题混合型证券投资基金
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
招商银行股份有限公司-东方阿尔法精选灵活配置混合型发起式证券投资基金
海通资管-民生-海通海汇系列-星石1号集合资产管理计划
中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
中国工商银行股份有限公司-银河和美生活主题混合型证券投资基金
招商银行股份有限公司-浙商沪港深精选混合型证券投资基金
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
招商银行股份有限公司-东方阿尔法精选灵活配置混合型发起式证券投资基金"
22,300230.SZ,永利股份,塑料,17.7143,6.18,26.44,"天风证券-光大银行-天风证券天旭1号集合资产管理计划
中央汇金资产管理有限责任公司"
23,002949.SZ,华阳国际,建筑工程,9.2385,35.0,26.2,"深圳市华阳中天资产管理企业(有限合伙)
深圳市华阳旭日资产管理企业(有限合伙)
深圳市华阳中天资产管理企业(有限合伙)
深圳市华阳旭日资产管理企业(有限合伙)"
24,300304.SZ,云意电气,汽车配件,20.0846,5.68,26.07,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
25,002026.SZ,山东威达,机械基件,9.7365,9.58,25.84,中央汇金资产管理有限责任公司
26,300293.SZ,蓝英装备,专用机械,20.0,24.0,25.57,"滨海天地(天津)投资管理有限公司-滨海叶盛1号契约型私募投资基金
财通基金-湖南轻盐创业投资管理有限公司-财通基金安吉83号单一资产管理计划
滨海天地(天津)投资管理有限公司-滨海道冲1号私募证券投资基金
滨海天地(天津)投资管理有限公司-滨海天玑-双威2号契约型私募投资基金"
27,300375.SZ,鹏翎股份,汽车配件,20.0,5.46,25.4,渤海国际信托股份有限公司-渤海信托·恒利丰221号集合资金信托计划
28,300739.SZ,明阳电路,元器件,13.1403,25.4,24.48,中国国际金融香港资产管理有限公司-客户资金
29,002726.SZ,龙大肉食,食品,10.0,14.41,24.44,"中央汇金资产管理有限责任公司
招商银行股份有限公司-汇添富绝对收益策略定期开放混合型发起式证券投资基金
中国银行股份有限公司-易方达均衡成长股票型证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
30,300643.SZ,万通智控,汽车配件,15.9698,16.92,21.89,
31,300320.SZ,海达股份,橡胶,11.0754,6.92,21.84,"中信银行股份有限公司-九泰锐益定增灵活配置混合型证券投资基金
财通证券资管-宁波银行-财通证券资管通鼎16号集合资产管理计划
中信银行股份有限公司-九泰锐益定增灵活配置混合型证券投资基金
财通证券资管-宁波银行-财通证券资管通鼎16号集合资产管理计划"
32,300256.SZ,星星科技,元器件,11.2583,8.4,21.33,"中央汇金资产管理有限责任公司
中国建设银行股份有限公司-华夏盛世精选混合型证券投资基金"
33,300160.SZ,秀强股份,玻璃,20.0282,8.51,20.03,浙江九章资产管理有限公司-九章幻方青溪3号私募基金
34,300100.SZ,双林股份,汽车服务,20.0315,7.61,20.03,
35,002315.SZ,焦点科技,互联网,9.9877,17.95,20.01,"中央汇金资产管理有限责任公司
中国工商银行股份有限公司-南方大数据100指数证券投资基金"
36,300555.SZ,路通视信,通信设备,20.0,11.34,20.0,
37,000590.SZ,启迪古汉,中成药,9.9738,12.57,19.98,
38,300376.SZ,易事特,电气设备,19.9255,6.44,19.93,"民生加银基金-平安银行-方正东亚信托有限责任公司
创金合信基金-招商银行-广东华兴银行股份有限公司
哈尔滨融顺资产管理有限责任公司
华融证券-平安银行-华融股票宝21号集合资产管理计划
华融证券-平安银行-华融股票宝21号集合资产管理计划
创金合信基金-招商银行-广东华兴银行股份有限公司
民生加银基金-平安银行-方正东亚信托有限责任公司
哈尔滨融顺资产管理有限责任公司"
39,300316.SZ,晶盛机电,专用机械,9.4606,26.38,18.55,"中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
全国社保基金一一六组合
中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金"
40,300153.SZ,科泰电源,电气设备,11.3559,6.57,18.32,中央汇金资产管理有限责任公司
41,300484.SZ,蓝海华腾,电气设备,10.6888,13.98,16.91,
42,002956.SZ,西麦食品,食品,10.0106,51.98,15.68,"西藏源乘投资管理有限公司-源乘十三号私募证券投资基金
上海塔基资产管理有限公司-上海塔基新范式私募投资基金
上海塔基资产管理有限公司-塔基综合策略私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金"
43,600303.SH,曙光股份,汽车整车,9.8901,4.0,15.2,"北京盛唐恒泰国际投资管理有限公司-盛唐星辰2号私募投资基金
长信基金-宁波银行-辽宁曙光汽车集团股份有限公司"
44,300817.SZ,双飞股份,机械基件,9.4877,30.35,15.18,
45,300305.SZ,裕兴股份,塑料,9.0074,11.86,14.98,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
46,300107.SZ,建新股份,化工原料,9.8413,6.92,14.94,中央汇金资产管理有限责任公司
47,300151.SZ,昌红科技,机械基件,9.0909,22.68,14.16,
48,300742.SZ,越博动力,汽车配件,10.8483,27.18,10.85,"上海歌石股权投资基金合伙企业(有限合伙)
招商证券股份有限公司-平安中证新能源汽车产业交易型开放式指数证券投资基金
伊犁苏新投资基金合伙企业(有限合伙)
上海汉王歌石股权投资基金合伙企业(有限合伙)"
49,300129.SZ,泰胜风能,电气设备,10.6931,5.59,10.69,"中央汇金资产管理有限责任公司
广发证券股份有限公司-中庚小盘价值股票型证券投资基金"
50,300221.SZ,银禧科技,塑料,10.339,6.51,10.34,
51,300382.SZ,斯莱克,专用机械,10.0998,8.83,10.1,"中央汇金资产管理有限责任公司
深圳市恒泰华盛资产管理有限公司-盛世37号私募基金
兴业国际信托有限公司-兴业信托-斯莱克2号员工持股集合资金信托计划
中央汇金资产管理有限责任公司
深圳市恒泰华盛资产管理有限公司-盛世37号私募基金
兴业国际信托有限公司-兴业信托-斯莱克2号员工持股集合资金信托计划"
52,002272.SZ,川润股份,机械基件,10.041,5.37,10.04,"云南国际信托有限公司-川润股份第一期员工持股计划集合资金信托计划
芜湖长元股权投资基金(有限合伙)"
53,600748.SH,上实发展,全国地产,10.0365,6.03,10.04,"香港中央结算有限公司(陆股通)
中国长城资产管理股份有限公司
中央汇金资产管理有限责任公司
中融国际信托有限公司-中融-嘉睿10号集合资金信托计划
上银基金-浦发银行-上海国盛(集团)有限公司"
54,002055.SZ,得润电子,元器件,10.0172,19.22,10.02,"深圳市得胜资产管理有限公司
深圳市投控资本有限公司-深圳投控中证信赢股权投资基金合伙企业(有限合伙)"
55,603168.SH,莎普爱思,化学制药,10.0103,10.66,10.01,"上海速硕投资管理有限公司-速硕新价值成长一期私募证券投资基金
上海速硕投资管理有限公司-速硕新价值成长一期私募证券投资基金"
56,000517.SZ,荣安地产,区域地产,10.0,2.97,10.0,香港中央结算有限公司(陆股通)
57,002851.SZ,麦格米特,电气设备,9.9892,30.5,9.99,"中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
上海复星创泓股权投资基金合伙企业(有限合伙)
全国社保基金四零四组合
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
香港中央结算有限公司(陆股通)"
58,002235.SZ,安妮股份,互联网,9.9895,10.46,9.99,
59,002066.SZ,瑞泰科技,其他建材,9.982,12.23,9.98,中央汇金资产管理有限责任公司
60,603966.SH,法兰泰克,机械基件,9.8341,17.87,9.83,
61,300487.SZ,蓝晓科技,化工原料,9.6312,45.19,9.63,"全国社保基金一一四组合
富国基金-工商银行-富国基金多策略6号资产管理计划
中国工商银行-浦银安盛价值成长混合型证券投资基金
招商银行股份有限公司-光大保德信优势配置混合型证券投资基金
交通银行股份有限公司-浦银安盛增长动力灵活配置混合型证券投资基金
中国工商银行股份有限公司-富国龙头优势混合型证券投资基金
平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划"
62,300029.SZ,天龙光电,专用机械,9.5238,6.9,9.52,
