,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
2571,600551.SH,时代出版,出版业,12.0,0.711,8.802,-2.735,0.45,450184.5134
2965,601107.SH,四川成渝,路桥,9.0,0.677,6.213,-2.029,0.18,776423.66
1993,300619.SZ,金银河,专用机械,9.0,2.484,24.525,-0.841,4.81,103139.1701
3408,603663.SH,三祥新材,矿物制品,9.0,1.626,15.509,-1.344,1.56,87339.082
586,002124.SZ,天邦股份,饲料,7.0,3.565,27.228,-9.552,1.04,816096.891
1506,300123.SZ,亚光科技,船舶,6.0,2.765,17.064,-6.577,0.97,301332.1563
3058,601700.SH,风范股份,电气设备,6.0,10.048,77.622,-3.051,1.77,575681.856
1190,002733.SZ,雄韬股份,电气设备,6.0,2.098,13.177,-1.111,1.19,362580.0342
1020,002560.SZ,通达股份,电气设备,6.0,3.521,22.153,2.985,0.82,159645.7253
2853,600864.SH,哈投股份,证券,6.0,2.796,17.552,-4.204,0.53,803363.5327
1012,002552.SZ,*ST宝鼎,机械基件,6.0,2.76,17.66,0.0,0.6,110682.366
726,002265.SZ,西仪股份,汽车配件,6.0,1.681,10.247,-4.821,0.47,283770.235
3219,603179.SH,新泉股份,汽车配件,6.0,1.932,12.068,-3.585,1.03,163079.9113
2390,600316.SH,洪都航空,航空,6.0,1.521,9.35,-4.28,0.51,771615.2149
3506,603879.SH,永悦科技,化工原料,6.0,0.927,5.649,0.315,0.4,81810.0
1541,300158.SZ,振东制药,中成药,6.0,1.474,9.066,-3.448,0.14,337699.8238
169,000590.SZ,启迪古汉,中成药,6.0,1.676,10.468,-5.592,0.39,179035.4541
3409,603665.SH,康隆达,纺织,6.0,1.939,12.17,-0.37,2.11,101339.3976
2247,600151.SH,航天机电,半导体,6.0,1.495,9.184,-4.623,0.2,594361.7712
122,000529.SZ,广弘控股,食品,6.0,1.179,7.256,-5.769,0.11,269555.3103
94,000426.SZ,兴业矿业,铅锌,6.0,5.315,35.931,-7.415,1.22,835526.3008
