,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
3230,603200.SH,上海洗霸,环境保护,9.0,1.724,16.469,-4.969,3.23,86676.1
2571,600551.SH,时代出版,出版业,9.0,0.589,5.379,-6.193,0.18,436021.4052
2581,600563.SH,法拉电子,元器件,9.0,1.026,9.511,-6.828,1.99,948150.0
2629,600615.SH,丰华股份,小金属,8.0,0.944,7.708,0.934,0.63,196630.4844
2010,300635.SZ,达安股份,建筑施工,7.0,7.479,64.858,-2.108,6.06,83679.8886
1220,002765.SZ,蓝黛传动,汽车配件,6.0,0.887,5.405,-2.791,0.13,159053.7
1299,002850.SZ,科达利,机械基件,6.0,1.621,10.018,-6.417,0.98,171397.0554
1338,002891.SZ,中宠股份,饲料,6.0,1.038,6.365,-4.892,0.7,178211.2114
1357,002912.SZ,中新赛克,软件服务,6.0,1.017,6.239,-4.981,1.6,420052.92
1471,300087.SZ,荃银高科,种植业,6.0,0.981,5.992,0.833,0.52,361140.0358
1234,002779.SZ,中坚科技,农用机械,6.0,1.014,6.148,-3.715,0.33,214236.0
1835,300454.SZ,深信服,软件服务,6.0,1.4,8.606,-4.237,3.91,358489.6
1883,300502.SZ,新易盛,通信设备,6.0,1.869,11.648,-4.244,1.37,253243.079
3405,603663.SH,三祥新材,矿物制品,6.0,1.662,10.318,-2.776,1.03,83413.73
1994,300619.SZ,金银河,专用机械,6.0,1.784,11.111,-2.597,2.15,92028.7858
2879,600891.SH,秋林集团,百货,6.0,1.508,9.355,1.142,0.54,260389.3246
2620,600605.SH,汇通能源,商贸代理,5.0,2.152,11.2,-4.58,0.5,143366.288
1527,300143.SZ,星普医科,医疗保健,5.0,1.156,5.821,-2.828,0.19,239505.7234
1294,002845.SZ,同兴达,元器件,5.0,2.327,11.909,9.264,2.13,111929.7405
2826,600833.SH,第一医药,医药商业,5.0,2.253,11.75,-4.889,0.53,203677.8348
2414,600345.SH,长江通信,通信设备,5.0,1.688,8.594,-3.85,1.03,440352.0
3506,603882.SH,金域医学,医疗保健,5.0,1.54,7.893,-7.565,0.31,623036.5119
2178,600073.SH,上海梅林,食品,5.0,1.741,8.918,-0.437,0.51,698608.4566
3155,603043.SH,广州酒家,食品,5.0,1.534,7.846,-3.793,1.37,339873.5626
166,000586.SZ,汇源通信,通信设备,5.0,8.741,51.837,1.465,2.95,223810.08
180,000603.SZ,盛达矿业,铅锌,5.0,1.305,6.61,-0.106,0.39,393246.877
3419,603688.SH,石英股份,矿物制品,5.0,1.246,6.383,-6.425,0.34,370508.49
913,002451.SZ,摩恩电气,电气设备,5.0,4.302,22.558,-2.742,1.88,506758.4349
1120,002659.SZ,凯文教育,文教休闲,5.0,2.889,14.931,-5.072,0.59,260924.5953
587,002124.SZ,天邦股份,饲料,4.0,2.999,12.211,-6.482,0.29,719774.171
2666,600658.SH,电子城,园区开发,3.0,2.632,7.76,-0.351,0.5,683455.4625
3090,601900.SH,南方传媒,出版业,3.0,2.239,6.853,-6.079,0.15,207089.8604
2740,600738.SH,兰州民百,百货,3.0,2.308,6.942,0.188,0.19,240117.2612
3226,603196.SH,日播时尚,服饰,3.0,8.736,28.512,-3.006,2.13,81357.6
2919,600982.SH,宁波热电,供气供热,3.0,2.103,6.39,-1.262,0.1,248727.69
3247,603258.SH,电魂网络,互联网,3.0,3.215,9.884,2.994,1.25,198231.138
2574,600556.SH,ST慧球,软件服务,3.0,2.037,5.963,-12.779,0.62,245561.6864
3304,603377.SH,东方时尚,汽车服务,3.0,2.672,8.228,-0.954,1.09,240693.775
3406,603665.SH,康隆达,纺织,3.0,2.76,8.498,-0.859,1.41,98022.2934
3058,601700.SH,风范股份,电气设备,3.0,10.128,33.566,-1.038,0.75,432894.624
2949,601019.SH,山东出版,出版业,3.0,3.035,9.371,-1.515,0.31,333835.8
2285,600193.SH,*ST创兴,装修装饰,3.0,2.017,6.081,-6.032,0.04,133567.122
61,000150.SZ,宜华健康,医疗保健,3.0,1.978,6.048,-3.408,0.15,848016.8765
2139,600021.SH,上海电力,火力发电,3.0,1.671,5.058,1.984,0.42,693235.8797
