,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002141.SZ,002141,贤丰控股,元器件,2.71,1.0,1.0,18.97,中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划,1.0
1,002306.SZ,002306,中科云网,酒店餐饮,3.5,1.0,1.0,27.75,,0.0
2,002154.SZ,002154,报喜鸟,服饰,3.83,1.0,1.0,42.84,中央汇金资产管理有限责任公司,1.0
3,600828.SH,600828,茂业商业,百货,4.14,1.0,1.0,69.43,"中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)
香港中央结算有限公司(陆股通)",2.0
4,600712.SH,600712,南宁百货,百货,4.18,1.0,1.0,23.85,,0.0
5,000010.SZ,000010,美丽生态,建筑工程,4.44,1.0,1.0,22.77,"上海衍金投资管理有限公司-衍金共生2号私募证券投资基金
深圳市德远投资有限公司-德远梧桐山9号私募基金",2.0
6,002108.SZ,002108,沧州明珠,塑料,4.52,1.0,1.0,65.37,"中央汇金资产管理有限责任公司
云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划",2.0
7,002248.SZ,002248,华东数控,机床制造,4.94,1.0,1.0,16.11,,0.0
8,002703.SZ,002703,浙江世宝,汽车配件,5.27,1.0,1.0,29.98,香港中央结算有限公司(陆股通),1.0
9,002969.SZ,002969,嘉美包装,广告包装,5.38,1.0,1.0,24.3,,0.0
10,000917.SZ,000917,电广传媒,影视音像,5.51,1.0,1.0,75.4,海南首泰融信股权投资基金合伙企业(有限合伙),1.0
11,000908.SZ,000908,景峰医药,化学制药,5.56,1.0,1.0,41.01,"中国长城资产管理股份有限公司
平江县国有资产管理局",2.0
12,600843.SH,600843,上工申贝,纺织机械,6.18,1.0,1.0,18.61,"中国长城资产管理股份有限公司
上海国际集团资产管理有限公司",2.0
13,000978.SZ,000978,桂林旅游,旅游景点,6.19,1.0,1.0,22.61,"华夏基金华兴2号股票型养老金产品
华夏基金华兴8号股票型养老金产品
华夏基金华益3号股票型养老金产品",3.0
14,002400.SZ,002400,省广集团,广告包装,6.22,1.0,1.0,106.75,,0.0
15,000936.SZ,000936,华西股份,化纤,6.5,1.0,1.0,57.81,香港中央结算有限公司(陆股通),1.0
16,600710.SH,600710,苏美达,工程机械,6.82,1.0,1.0,91.86,"国机资产管理有限公司
江苏沿海产业投资基金(有限合伙)",2.0
17,002209.SZ,002209,达意隆,轻工机械,6.88,1.0,1.0,10.48,,0.0
18,603123.SH,603123,翠微股份,百货,7.52,1.0,1.0,38.63,,0.0
19,601611.SH,601611,中国核建,建筑工程,8.69,1.0,1.0,216.04,"中国信达资产管理股份有限公司
交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金",2.0
20,600499.SH,600499,科达制造,专用机械,9.86,1.0,1.0,150.78,广州市玄元投资管理有限公司-玄元元丰1号私募证券投资基金,1.0
21,003015.SZ,003015,日久光电,元器件,16.14,1.0,1.0,11.17,,0.0
22,605218.SH,605218,伟时电子,元器件,16.29,1.0,1.0,8.35,"上海量宇资产管理有限公司-量宇冠一十号私募证券投资基金
福建平潭唐龙资产管理有限公司-唐龙定制1号私募证券投资基金
福建平潭唐龙资产管理有限公司-唐龙新周期1号私募证券投资基金",3.0
23,605118.SH,605118,力鼎光电,元器件,16.89,1.0,1.0,6.99,,0.0
24,603920.SH,603920,世运电路,元器件,17.12,1.0,1.0,68.3,"交通银行股份有限公司-汇丰晋信低碳先锋股票型证券投资基金
景顺长城基金-建设银行-中国人寿-中国人寿委托景顺长城基金股票型组合
中国农业银行股份有限公司-景顺长城核心竞争力混合型证券投资基金
中国工商银行股份有限公司-景顺长城核心优选一年持有期混合型证券投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金
中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金",7.0
25,605268.SH,605268,王力安防,家居用品,17.51,1.0,1.0,12.9,,0.0
26,603386.SH,603386,广东骏亚,元器件,17.62,1.0,1.0,36.78,"广东大兴华旗资产管理有限公司-大兴骏才2号私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
27,603139.SH,603139,康惠制药,中成药,18.01,1.0,1.0,17.36,陕西德同福方投资管理有限公司-陕西省新材料高技术创业投资基金(有限合伙),1.0
28,605318.SH,605318,法狮龙,装修装饰,18.37,1.0,1.0,6.53,深圳前海正帆投资管理有限公司-正帆启航3号私募证券投资基金,1.0
29,605388.SH,605388,均瑶健康,软饮料,20.55,1.0,1.0,14.04,"东吴证券-南京银行-东吴星阳6号集合资产管理计划
中儒资产管理(杭州)有限公司-中儒吉兔1号私募证券投资基金",2.0
30,603439.SH,603439,贵州三力,中成药,21.99,1.0,1.0,8.65,,0.0
31,600389.SH,600389,江山股份,农药化肥,22.75,1.0,1.0,67.78,"中央汇金资产管理有限责任公司
中国建设银行-华夏红利混合型开放式证券投资基金
中国农业银行股份有限公司-交银施罗德先进制造混合型证券投资基金",3.0
32,003010.SZ,003010,若羽臣,互联网,31.48,1.0,1.0,9.68,上海量宇资产管理有限公司-量宇冠一八号私募证券投资基金,1.0
33,002466.SZ,002466,天齐锂业,小金属,37.29,1.0,1.0,558.43,"中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金
中国工商银行-汇添富均衡增长混合型证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",5.0
34,000963.SZ,000963,华东医药,化学制药,38.5,1.0,1.0,687.32,"中国银行股份有限公司-嘉实3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)
嘉实基金-建设银行-中国人寿-中国人寿委托嘉实基金股票型组合
基本养老保险基金八零七组合
基本养老保险基金一五零四一组合
全国社保基金一零六组合
香港中央结算有限公司(陆股通)",6.0
35,002192.SZ,002192,融捷股份,专用机械,47.63,1.0,1.0,127.44,,0.0
36,002756.SZ,002756,永兴材料,特种钢,48.0,1.0,1.0,128.92,基本养老保险基金一零零三组合,1.0
37,002850.SZ,002850,科达利,机械基件,65.58,1.0,1.0,85.91,"中国农业银行股份有限公司-华夏复兴混合型证券投资基金
中国建设银行股份有限公司-银华核心价值优选混合型证券投资基金
基本养老保险基金八零四组合
基本养老保险基金一二零六组合
招商银行股份有限公司-银华心怡灵活配置混合型证券投资基金
中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金
中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金
中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金",8.0
