,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_MONTHLY_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002723.SZ,002723,金莱特,家用电器,True,-0.19110000000000002,27.27,"中央汇金资产管理有限责任公司
华宝信托有限责任公司-“辉煌”22号单一资金信托",2.0
1,300676.SZ,300676,华大基因,医疗保健,True,-0.17620000000000002,393.56,"招商银行股份有限公司-万家经济新动能混合型证券投资基金
中国银行股份有限公司-招商国证生物医药指数分级证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)",5.0
2,300747.SZ,300747,锐科激光,元器件,True,-0.12099999999999997,156.63,"中国农业银行股份有限公司-中邮核心优选混合型证券投资基金
香港中央结算有限公司(陆股通)",2.0
3,002876.SZ,002876,三利谱,元器件,True,-0.057300000000000004,52.13,"中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
中国建设银行股份有限公司-国泰大制造两年持有期混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金",3.0
4,603181.SH,603181,皇马科技,化工原料,True,-0.03649999999999998,86.72,"中国工商银行股份有限公司-诺安先锋混合型证券投资基金
上海彤源投资发展有限公司-彤源同祥私募证券投资基金
招商银行股份有限公司-睿远成长价值混合型证券投资基金",3.0
5,603233.SH,603233,大参林,医药商业,True,-0.0087,672.03,香港中央结算有限公司(陆股通),1.0
6,300244.SZ,300244,迪安诊断,医疗保健,True,-0.001999999999999995,207.36,"中国农业银行股份有限公司-银华内需精选混合型证券投资基金(LOF)
中国华融资产管理股份有限公司
中国建设银行股份有限公司-银华同力精选混合型证券投资基金
全国社保基金四一八组合
香港中央结算有限公司(陆股通)",5.0
7,003030.SZ,003030,祖名股份,食品,True,0.0,13.92,,0.0
8,605398.SH,605398,新炬网络,软件服务,True,0.0,10.72,,0.0
9,003031.SZ,003031,中瓷电子,元器件,True,0.0,24.0,,0.0
10,605228.SH,605228,神通科技,汽车配件,True,0.0,9.94,,0.0
11,605005.SH,605005,合兴股份,汽车配件,True,0.0,5.93,,0.0
12,300933.SZ,300933,C中辰,电气设备,True,0.0,9.29,,0.0
13,300932.SZ,300932,C三友,元器件,True,0.0,13.03,,0.0
14,003035.SZ,003035,南网能源,环境保护,True,0.0,24.62,,0.0
15,600235.SH,600235,民丰特纸,造纸,True,0.004399999999999994,19.71,,0.0
16,300529.SZ,300529,健帆生物,医疗保健,True,0.0049999999999999906,388.41,"中国银行股份有限公司-招商国证生物医药指数分级证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金",5.0
17,002138.SZ,002138,顺络电子,元器件,True,0.006900000000000017,189.28,"中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
深圳市投控资本有限公司-深圳投控共赢股权投资基金合伙企业(有限合伙)
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
全国社保基金四零六组合
香港中央结算有限公司(陆股通)",6.0
18,600588.SH,600588,用友网络,软件服务,True,0.015099999999999988,1623.27,"香港中央结算有限公司(陆股通)
上海合道资产管理有限公司-合道科创1期私募证券投资基金",2.0
19,603127.SH,603127,昭衍新药,医疗保健,True,0.0155,326.53,"中国建设银行股份有限公司-工银瑞信前沿医疗股票型证券投资基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
华夏未来资本管理有限公司-华夏未来欣耀1期私募证券投资基金
全国社保基金四零六组合
香港中央结算有限公司(陆股通)",6.0
20,300604.SZ,300604,长川科技,专用机械,True,0.025900000000000024,76.55,"国家集成电路产业投资基金股份有限公司
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金",5.0
21,002810.SZ,002810,山东赫达,化工原料,True,0.034399999999999986,92.84,"中国工商银行股份有限公司-交银施罗德优势行业灵活配置混合型证券投资基金
交通银行股份有限公司-工银瑞信互联网加股票型证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
中国工商银行股份有限公司-交银施罗德持续成长主题混合型证券投资基金
中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金
中国农业银行股份有限公司-工银瑞信高质量成长混合型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅任昊优选致福私募证券投资基金",7.0
22,603565.SH,603565,中谷物流,仓储物流,True,0.0345,19.82,福建晋江红昌资产管理有限公司-红昌海丝2号私募证券投资基金,1.0
23,603177.SH,603177,德创环保,环境保护,True,0.039400000000000004,19.63,中阅资本管理股份公司-中阅聚焦3号私募证券投资基金,1.0
24,603618.SH,603618,杭电股份,电气设备,True,0.04969999999999999,45.95,,0.0
25,002236.SZ,002236,大华股份,电器仪表,True,0.0577,488.54,"上海景林资产管理有限公司-景林全球基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",4.0
26,600999.SH,600999,招商证券,证券,True,0.06620000000000001,1916.36,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
27,002402.SZ,002402,和而泰,元器件,True,0.0687,167.42,"中国建设银行股份有限公司-易方达新丝路灵活配置混合型证券投资基金
招商银行股份有限公司-易方达创新成长混合型证券投资基金
中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金
全国社保基金四零六组合
香港中央结算有限公司(陆股通)
交通银行股份有限公司-易方达高端制造混合型发起式证券投资基金",6.0
28,600771.SH,600771,广誉远,中成药,True,0.06910000000000001,100.42,"华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
全国社保基金一零二组合
国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合",4.0
29,002539.SZ,002539,云图控股,农药化肥,True,0.0772,60.0,"全国社保基金一一六组合
全国社保基金四零一组合
全国社保基金六零四组合",3.0
30,002271.SZ,002271,东方雨虹,其他建材,True,0.0867,839.68,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-交银施罗德精选混合型证券投资基金
招商银行股份有限公司-交银施罗德新成长混合型证券投资基金
中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金
中国建设银行股份有限公司-交银施罗德内核驱动混合型证券投资基金
挪威中央银行-自有资金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-睿远成长价值混合型证券投资基金",8.0
31,002158.SZ,002158,汉钟精机,工程机械,True,0.09000000000000002,98.8,"易方达基金-北京诚通金控投资有限公司-易方达基金-诚通金控1号单一资产管理计划
全国社保基金五零二组合
交通银行股份有限公司-易方达科瑞灵活配置混合型证券投资基金",3.0
