,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
1140,002680.SZ,*ST长生,生物制药,20.0,-4.352,-59.137,1.242,94673.143
1263,002812.SZ,恩捷股份,广告包装,3.0,-2.366,-6.98,1.026,638111.2649
1425,300037.SZ,新宙邦,化工原料,3.0,-2.157,-6.546,0.662,644539.1213
305,000785.SZ,武汉中商,百货,1.0,-5.281,-5.281,3.982,295035.0952
2340,600247.SH,*ST成城,商贸代理,1.0,-5.07,-5.07,1.105,184706.4384
664,002202.SZ,金风科技,电气设备,1.0,-4.286,-4.286,2.463,3919650.0426
1126,002666.SZ,德联集团,化工原料,4.0,-1.052,-4.237,0.442,200998.5683
2455,600383.SH,金地集团,全国地产,3.0,-1.345,-4.064,1.105,4957012.7621
1306,002859.SZ,洁美科技,元器件,1.0,-4.008,-4.008,0.232,374954.0086
469,002007.SZ,华兰生物,生物制药,1.0,-3.908,-3.908,0.734,2863021.1283
1054,002594.SZ,比亚迪,汽车整车,3.0,-1.22,-3.686,1.198,5978462.4647
3307,603345.SH,安井食品,食品,4.0,-0.911,-3.658,0.0,433535.5326
3378,603583.SH,捷昌驱动,电气设备,1.0,-3.579,-3.579,3.292,185730.0
2508,600466.SH,蓝光发展,区域地产,4.0,-0.874,-3.559,0.879,1712878.0121
3289,603318.SH,派思股份,专用机械,3.0,-1.151,-3.451,0.569,497876.8989
1821,300437.SZ,清水源,化工原料,1.0,-3.391,-3.391,0.358,185806.8755
3320,603368.SH,柳药股份,医药商业,1.0,-3.345,-3.345,0.937,725405.6348
1357,002913.SZ,奥士康,元器件,1.0,-3.333,-3.333,0.09,159933.733
3292,603321.SH,梅轮电梯,运输设备,1.0,-3.318,-3.318,5.917,103909.5
3304,603337.SH,杰克股份,纺织机械,1.0,-3.283,-3.283,0.731,312727.9368
1379,002938.SZ,鹏鼎控股,元器件,1.0,-3.212,-3.212,3.455,526081.6546
552,002090.SZ,金智科技,软件服务,6.0,-0.529,-3.177,0.0,416177.7523
3531,603888.SH,新华网,互联网,1.0,-3.152,-3.152,8.047,322234.1835
3453,603713.SH,密尔克卫,仓储物流,1.0,-3.141,-3.141,1.042,133038.8
427,000961.SZ,中南建设,建筑施工,1.0,-3.112,-3.112,2.482,2597286.4515
1227,002773.SZ,康弘药业,中成药,1.0,-3.101,-3.101,0.794,1936201.9571
2882,600886.SH,国投电力,水力发电,4.0,-0.764,-3.034,0.722,5679901.5414
1337,002891.SZ,中宠股份,饲料,1.0,-3.022,-3.022,0.027,198784.4006
499,002037.SZ,久联发展,化工原料,1.0,-2.979,-2.979,0.877,210825.1392
74,000401.SZ,冀东水泥,水泥,3.0,-0.971,-2.966,0.364,1857812.0031
944,002483.SZ,润邦股份,工程机械,3.0,-0.985,-2.934,0.0,266478.368
1234,002780.SZ,三夫户外,其他商业,1.0,-2.932,-2.932,5.369,126521.7297
2152,600027.SH,华电国际,火力发电,1.0,-2.895,-2.895,0.229,3057139.7142
1536,300149.SZ,量子生物,食品,4.0,-0.725,-2.882,0.0,668895.8462
2122,300750.SZ,宁德时代,电气设备,3.0,-0.936,-2.868,1.069,1806816.1274
63,000153.SZ,丰原药业,化学制药,1.0,-2.824,-2.824,0.0,182506.6796
791,002330.SZ,得利斯,食品,1.0,-2.806,-2.806,0.619,244948.6232
2481,600419.SH,天润乳业,乳制品,1.0,-2.802,-2.802,0.917,318956.2037
1322,002876.SZ,三利谱,元器件,1.0,-2.769,-2.769,2.824,232978.2072
329,000815.SZ,美利云,造纸,1.0,-2.757,-2.757,0.258,246470.4
2708,600696.SH,ST岩石,区域地产,1.0,-2.717,-2.717,2.048,186629.9214
667,002205.SZ,国统股份,其他建材,1.0,-2.67,-2.67,0.686,170511.1624
1007,002547.SZ,春兴精工,通信设备,1.0,-2.65,-2.65,1.146,563160.9631
3574,603985.SH,恒润股份,机械基件,2.0,-1.28,-2.617,0.281,166400.0
1996,300618.SZ,寒锐钴业,小金属,1.0,-2.612,-2.611,4.122,832083.2
3394,603606.SH,东方电缆,电气设备,1.0,-2.589,-2.589,1.378,506160.7398
3215,603133.SH,碳元科技,元器件,1.0,-2.572,-2.572,1.517,202349.4773
3350,603506.SH,南都物业,房产服务,1.0,-2.57,-2.57,2.596,62188.4926
1705,300319.SZ,麦捷科技,元器件,1.0,-2.544,-2.543,2.885,478143.6315
2070,300693.SZ,盛弘股份,电气设备,1.0,-2.51,-2.51,1.259,117671.2426
1338,002892.SZ,科力尔,电气设备,1.0,-2.454,-2.454,3.489,81246.56
1028,002568.SZ,百润股份,红黄药酒,1.0,-2.439,-2.439,1.5,559420.4952
1861,300477.SZ,合纵科技,电气设备,1.0,-2.436,-2.436,0.869,294499.9099
149,000560.SZ,我爱我家,房产服务,1.0,-2.434,-2.434,1.039,830090.6628
3489,603806.SH,福斯特,塑料,1.0,-2.371,-2.371,4.21,1681726.8
3296,603328.SH,依顿电子,元器件,1.0,-2.34,-2.34,0.276,1079695.2503
1779,300395.SZ,菲利华,玻璃,1.0,-2.333,-2.333,1.0,489217.8388
3176,603060.SH,国检集团,建筑施工,1.0,-2.318,-2.318,1.011,146739.4225
1685,300299.SZ,富春股份,通信设备,1.0,-2.265,-2.265,3.03,353376.169
91,000422.SZ,*ST宜化,农药化肥,1.0,-2.241,-2.241,0.86,316030.1704
1827,300443.SZ,金雷股份,专用机械,1.0,-2.233,-2.233,0.286,224028.9121
2396,600313.SH,农发种业,种植业,1.0,-2.23,-2.231,1.141,271159.6305
3458,603722.SH,阿科力,化工原料,1.0,-2.217,-2.217,0.907,90624.25
171,000592.SZ,平潭发展,林业,1.0,-2.198,-2.198,0.281,683275.479
317,000799.SZ,酒鬼酒,白酒,1.0,-2.142,-2.143,0.0,593645.2465
3169,603043.SH,广州酒家,食品,1.0,-2.133,-2.133,1.431,373760.5131
364,000877.SZ,天山股份,水泥,1.0,-2.133,-2.133,0.726,732238.54
215,000656.SZ,金科股份,区域地产,1.0,-2.128,-2.128,0.167,3153298.8825
690,002228.SZ,合兴包装,广告包装,1.0,-2.124,-2.124,0.395,593210.3536
60,000100.SZ,TCL集团,家用电器,1.0,-2.115,-2.115,0.309,4156028.5156
260,000713.SZ,丰乐种业,种植业,1.0,-2.113,-2.113,1.079,167968.294
2241,600132.SH,重庆啤酒,啤酒,1.0,-2.086,-2.086,0.15,1615011.8877
551,002089.SZ,新海宜,通信设备,1.0,-2.062,-2.062,1.684,452277.0293
1638,300252.SZ,金信诺,电气设备,1.0,-2.059,-2.059,10.008,511584.7036
3196,603100.SH,川仪股份,电器仪表,1.0,-2.049,-2.049,0.209,247762.8899
3391,603602.SH,纵横通信,通信设备,1.0,-2.028,-2.028,2.07,189819.0694
1845,300461.SZ,田中精机,专用机械,1.0,-2.017,-2.016,10.026,193955.04
1245,002792.SZ,通宇通讯,通信设备,1.0,-2.01,-2.01,0.381,242196.4672
198,000626.SZ,远大控股,商贸代理,1.0,-2.0,-2.0,0.816,299804.895
1053,002593.SZ,日上集团,汽车配件,1.0,-1.955,-1.955,0.285,164237.3498
996,002536.SZ,西泵股份,汽车配件,1.0,-1.906,-1.906,0.648,341756.1963
2297,600198.SH,*ST大唐,通信设备,1.0,-1.904,-1.904,5.045,710764.4757
2975,601111.SH,中国国航,空运,1.0,-1.869,-1.869,4.405,8286468.6836
2939,600997.SH,开滦股份,煤炭开采,1.0,-1.863,-1.863,0.0,780292.48
2079,300702.SZ,天宇股份,化学制药,1.0,-1.862,-1.862,0.744,141508.3679
2582,600556.SH,ST慧球,软件服务,1.0,-1.849,-1.849,0.785,253457.5605
704,002242.SZ,九阳股份,家用电器,1.0,-1.844,-1.844,0.667,1265613.1349
3114,601958.SH,金钼股份,小金属,1.0,-1.807,-1.807,0.92,2123105.6952
582,002120.SZ,韵达股份,仓储物流,1.0,-1.8,-1.801,1.252,1086738.0341
