code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002359,北讯集团,7.08,-58.897,0.299,18.135,0.082,
002113,天润数娱,8.05,-54.031,0.425,35.911,0.106,
600701,*ST工新,7.76,-53.613,0.22,-9.572,0.174,
002098,浔兴股份,3.1,-40.369,0.154,-11.841,0.152,
000950,重药控股,7.11,-36.889,0.142,-14.121,0.135,
002716,金贵银业,5.42,-36.305,0.471,10.654,0.065,
002656,摩登大道,4.72,-35.836,0.122,-4.759,0.264,
002669,康达新材,2.29,-34.6,0.162,5.196,0.065,
002664,长鹰信质,3.5,-31.697,0.103,-17.399,0.077,
600766,园城黄金,2.24,-30.042,0.083,30.251,0.166,
002094,青岛金王,6.01,-26.389,0.127,0.523,0.077,
002278,神开股份,3.44,-25.64,0.059,-8.791,0.087,
600275,ST昌鱼,5.09,-25.636,0.073,28.074,0.125,
002366,台海核电,4.89,-25.085,0.105,21.0,0.096,
002856,美芝股份,0.3,-24.612,0.18,1.092,0.076,
002086,东方海洋,4.76,-24.009,0.061,-21.397,0.116,
002059,云南旅游,7.31,-23.802,0.109,5.22,0.075,
600584,长电科技,9.85,-23.207,0.072,-8.116,0.085,
000038,深大通,1.8,-22.889,0.045,2.277,0.024,
002789,建艺集团,0.66,-22.686,0.095,13.246,0.037,
002723,金莱特,1.74,-22.216,0.07,-26.089,0.124,
002699,美盛文化,7.91,-22.047,0.06,-44.926,0.195,
000707,*ST双环,4.64,-21.926,0.106,1.393,0.072,
000779,三毛派神,1.86,-21.735,0.088,-3.821,0.086,
002895,川恒股份,0.89,-21.602,0.082,8.028,0.061,
002164,宁波东力,4.4,-21.505,0.074,15.853,0.088,
002769,普路通,2.32,-21.273,0.069,-12.279,0.103,
002647,仁东控股,5.6,-20.966,0.14,8.371,0.068,
000913,钱江摩托,4.54,-20.703,0.059,20.599,0.091,
002897,意华股份,0.67,-20.657,0.089,-8.75,0.075,
000418,小天鹅Ａ,4.39,-20.106,0.065,-0.026,0.042,
002787,华源控股,1.02,-19.549,0.09,-0.75,0.067,
002876,三利谱,0.55,-19.477,0.083,-9.465,0.125,
600486,扬农化工,3.1,-19.085,0.103,2.577,0.06,
002749,国光股份,1.4,-18.807,0.083,-3.276,0.331,
002356,赫美集团,4.8,-18.499,0.073,0.46,0.078,
600771,广誉远,3.02,-18.424,0.066,6.081,0.042,
002262,恩华药业,8.84,-18.274,0.068,-13.498,0.059,
002558,巨人网络,4.27,-17.943,0.05,14.4,0.053,
600985,淮北矿业,2.63,-17.921,0.072,11.188,0.04,
002247,聚力文化,5.4,-17.581,0.069,0.681,0.105,
002061,浙江交科,5.59,-17.568,0.077,36.772,0.138,
002016,世荣兆业,6.87,-17.503,0.081,1.915,0.066,
002308,威创股份,9.02,-17.501,0.088,-15.968,0.093,
002110,三钢闽光,9.91,-17.314,0.068,-6.796,0.039,
002626,金达威,6.0,-17.227,0.065,-1.621,0.055,
002919,名臣健康,0.2,-17.153,0.061,-4.646,0.078,
002773,康弘药业,4.75,-16.801,0.07,-2.76,0.03,
002903,宇环数控,0.66,-16.545,0.055,-16.533,0.104,
002898,赛隆药业,0.6,-16.479,0.066,-4.244,0.064,
000586,汇源通信,1.93,-16.377,0.075,15.902,0.128,
002076,雪 莱 特,4.45,-16.377,0.044,17.169,0.121,
600506,香梨股份,1.48,-16.37,0.018,6.159,0.1,
000877,天山股份,8.8,-16.364,0.057,9.254,0.051,
002572,索菲亚,6.38,-16.325,0.095,-4.922,0.084,
600810,神马股份,4.42,-16.19,0.093,-17.143,0.109,
002735,王子新材,0.43,-16.185,0.091,-5.161,0.031,
002596,海南瑞泽,8.63,-16.145,0.07,-10.794,0.08,
000829,天音控股,9.3,-16.003,0.066,-11.993,0.098,
002902,铭普光磁,0.71,-15.931,0.079,0.214,0.096,
600566,济川药业,8.15,-15.822,0.06,10.164,0.051,
002832,比音勒芬,0.79,-15.765,0.07,7.238,0.065,
600393,粤泰股份,9.88,-15.661,0.072,16.045,0.117,
002235,安妮股份,5.0,-15.523,0.06,6.34,0.088,
002019,亿帆医药,8.14,-15.491,0.06,4.744,0.085,
002931,锋龙股份,0.22,-15.451,0.055,37.652,0.142,
002875,安奈儿,0.39,-15.396,0.065,43.685,0.087,
600555,海航创新,9.74,-15.308,0.048,7.845,0.057,
000509,华塑控股,8.25,-15.198,0.052,24.351,0.101,
600596,新安股份,6.87,-15.188,0.06,-0.923,0.081,
002286,保龄宝,3.29,-15.149,0.059,-8.817,0.096,
