,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,COL_INDAY_P_CHANGE,circ_mv
355,000859.SZ,国风塑业,塑料,1.0,-17.68,7.82,0.03,578142.3594
2088,300710.SZ,万隆光电,通信设备,1.0,-17.15,35.99,0.02,120652.876
3022,601319.SH,中国人保,保险,1.0,-17.07,10.65,0.01,1076970.6
2821,600816.SH,安信信托,多元金融,1.0,-16.89,7.87,0.02,3677264.6987
1130,002670.SZ,国盛金控,证券,1.0,-15.13,13.73,0.01,861799.0766
2317,600218.SH,全柴动力,农用机械,1.0,-14.79,12.4,0.01,457256.2
2967,601066.SH,中信建投,证券,1.0,-14.58,26.92,0.02,1076800.0
1993,300612.SZ,宣亚国际,广告包装,1.0,-14.39,26.3,0.02,119237.4804
2785,600775.SH,南京熊猫,通信设备,1.0,-13.65,11.97,0.02,804190.7192
1060,002600.SZ,领益智造,元器件,0.0,-13.56,6.88,0.05,1023669.0231
2786,600776.SH,东方通信,通信设备,1.0,-13.46,34.4,0.03,3288640.2202
2647,600622.SH,光大嘉宝,区域地产,1.0,-13.42,7.95,0.02,917115.304
705,002243.SZ,通产丽星,塑料,1.0,-13.37,20.77,0.03,757998.9816
3092,601860.SH,紫金银行,银行,1.0,-12.89,10.18,0.03,372678.489
1318,002871.SZ,伟隆股份,机械基件,1.0,-12.31,24.8,0.01,71672.0
1667,300279.SZ,和晶科技,元器件,1.0,-12.14,7.63,0.05,238488.476
2415,600331.SH,宏达股份,铅锌,1.0,-11.9,3.8,0.02,772160.0
2338,600240.SH,华业资本,全国地产,1.0,-11.86,3.56,0.02,507034.2816
2208,600094.SH,大名城,区域地产,1.0,-11.84,6.19,0.07,1409218.4715
2646,600621.SH,华鑫股份,证券,1.0,-11.79,13.27,0.03,710276.7845
1007,002547.SZ,春兴精工,通信设备,1.0,-11.7,8.59,0.01,685205.7611
2178,600061.SH,国投资本,证券,1.0,-11.66,14.13,0.01,5897624.5114
3163,603032.SH,德新交运,公路,1.0,-11.57,39.0,0.01,305791.2
3116,601949.SH,中国出版,出版业,1.0,-11.56,6.03,0.02,241806.3412
986,002526.SZ,山东矿机,工程机械,1.0,-11.53,3.18,0.01,516734.9678
2158,600030.SH,中信证券,证券,1.0,-11.44,24.68,0.02,24222585.0756
1149,002689.SZ,远大智能,运输设备,1.0,-11.39,5.81,0.01,604716.7157
3104,601890.SH,亚星锚链,船舶,1.0,-11.38,7.32,0.1,702280.8
585,002123.SZ,梦网集团,互联网,1.0,-11.31,12.48,0.01,805506.7338
1398,300008.SZ,天海防务,船舶,1.0,-11.27,4.72,0.07,284337.6569
40,000050.SZ,深天马A,元器件,0.0,-11.26,18.04,0.01,3283023.1266
911,002450.SZ,ST康得新,化工原料,0.0,-11.24,7.05,0.08,2279805.2429
3127,601990.SH,南京证券,证券,1.0,-11.23,14.4,0.01,396028.8
794,002333.SZ,罗普斯金,铝,1.0,-11.19,8.15,0.02,395250.3218
881,002420.SZ,毅昌股份,塑料,1.0,-11.15,4.77,0.03,186849.2198
3070,601688.SH,华泰证券,证券,1.0,-11.02,22.67,0.01,12340920.313
2567,600532.SH,宏达矿业,普钢,1.0,-10.91,5.67,0.01,292609.2632
2123,300749.SZ,顶固集创,家居用品,1.0,-10.7,36.92,0.01,105222.0
1698,300310.SZ,宜通世纪,通信设备,1.0,-10.66,7.39,0.03,503348.0628
3056,601608.SH,中信重工,专用机械,1.0,-10.66,5.94,0.09,2577615.06
231,000677.SZ,恒天海龙,化纤,1.0,-10.58,3.5,0.01,302392.2818
1225,002771.SZ,真视通,软件服务,1.0,-10.53,17.3,0.02,158313.6494
1755,300368.SZ,汇金股份,专用机械,1.0,-10.51,9.56,0.01,444462.8422
3212,603121.SH,华培动力,汽车配件,1.0,-10.36,32.47,0.01,146115.0
2445,600369.SH,西南证券,证券,1.0,-10.3,5.59,0.01,3155616.0003
1249,002797.SZ,第一创业,证券,1.0,-10.29,8.04,0.01,1542433.0073
1449,300059.SZ,东方财富,证券,1.0,-10.24,20.32,0.02,8439941.403
1599,300211.SZ,亿通科技,通信设备,1.0,-10.24,7.43,0.02,137978.1314
2333,600235.SH,民丰特纸,造纸,1.0,-10.22,7.96,0.06,279634.8
2700,600685.SH,中船防务,船舶,1.0,-10.19,16.52,0.04,1357010.919
1407,300017.SZ,网宿科技,电信运营,0.0,-10.18,15.3,0.09,2942342.3589
2625,600599.SH,熊猫金控,多元金融,1.0,-10.11,14.1,0.01,234060.0
1233,002779.SZ,中坚科技,农用机械,1.0,-10.0,19.22,0.04,253704.0
2240,600128.SH,弘业股份,商贸代理,1.0,-9.96,10.4,0.02,256638.2
3278,603289.SH,泰瑞机器,专用机械,1.0,-9.95,11.96,0.01,162385.2041
2202,600086.SH,东方金钰,服饰,1.0,-9.91,6.69,0.1,707029.3157
973,002512.SZ,达华智能,元器件,1.0,-9.87,7.03,0.1,620928.2678
51,000068.SZ,华控赛格,元器件,1.0,-9.83,6.89,0.04,693596.6387
1802,300416.SZ,苏试试验,电器仪表,1.0,-9.81,21.41,0.02,163989.895
3535,603888.SH,新华网,互联网,1.0,-9.77,24.41,0.09,430763.2212
961,002500.SZ,山西证券,证券,1.0,-9.67,8.68,0.02,2455333.4328
3042,601555.SH,东吴证券,证券,1.0,-9.58,9.55,0.01,2760905.0
448,000987.SZ,越秀金控,多元金融,1.0,-9.56,10.53,0.01,566886.3303
1939,300555.SZ,路通视信,通信设备,1.0,-9.51,12.31,0.01,114501.6029
3266,603239.SH,浙江仙通,汽车配件,1.0,-9.47,13.49,0.01,122381.28
1542,300153.SZ,科泰电源,电气设备,1.0,-9.42,9.01,0.03,287957.2448
3001,601198.SH,东兴证券,证券,1.0,-9.38,13.67,0.01,3770132.2181
2793,600783.SH,鲁信创投,矿物制品,1.0,-9.37,24.6,0.07,1831123.8632
3355,603507.SH,振江股份,钢加工,1.0,-9.35,26.28,0.03,211230.9137
1035,002575.SZ,群兴玩具,文教休闲,1.0,-9.34,9.65,0.04,568114.8
2696,600681.SH,百川能源,供气供热,1.0,-9.31,13.87,0.03,482208.2634
292,000760.SZ,斯太尔,汽车配件,1.0,-9.25,3.77,0.01,246725.489
3574,603976.SH,正川股份,医疗保健,1.0,-9.2,19.42,0.08,74378.4796
534,002072.SZ,凯瑞德,互联网,1.0,-9.11,7.64,0.03,129224.9846
3460,603718.SH,海利生物,生物制药,1.0,-9.08,13.97,0.01,899668.0
2635,600610.SH,*ST毅达,建筑施工,0.0,-9.07,3.82,0.03,143469.4934
1383,002942.SZ,新农股份,农药化肥,1.0,-9.06,35.32,0.02,105960.0
3411,603629.SH,利通电子,元器件,1.0,-9.04,46.93,0.04,117325.0
1384,002943.SZ,宇晶股份,机床制造,1.0,-8.99,43.66,0.02,109150.0
757,002296.SZ,辉煌科技,通信设备,1.0,-8.95,7.06,0.01,227909.3986
2499,600446.SH,金证股份,软件服务,1.0,-8.95,24.01,0.02,2048558.3721
1422,300032.SZ,金龙机电,元器件,1.0,-8.94,3.94,0.01,311006.8369
3402,603611.SH,诺力股份,运输设备,1.0,-8.9,16.91,0.02,382722.1699
444,000981.SZ,银亿股份,汽车配件,1.0,-8.89,4.19,0.09,1078638.2364
166,000586.SZ,汇源通信,通信设备,1.0,-8.87,11.94,0.01,230967.36
195,000622.SZ,恒立实业,汽车配件,1.0,-8.87,7.87,0.02,334652.862
2968,601068.SH,中铝国际,建筑施工,1.0,-8.78,8.0,0.01,236725.3336
2207,600093.SH,易见股份,仓储物流,1.0,-8.77,13.63,0.04,1529895.9425
2324,600226.SH,瀚叶股份,农药化肥,1.0,-8.75,4.15,0.09,827040.6375
2992,601162.SH,天风证券,证券,1.0,-8.74,11.71,0.04,606578.0
1128,002668.SZ,奥马电器,家用电器,1.0,-8.72,7.43,0.05,486145.9008
1174,002716.SZ,金贵银业,小金属,1.0,-8.7,8.22,0.01,445816.152
329,000815.SZ,美利云,造纸,1.0,-8.7,9.1,0.02,288288.0
1380,002939.SZ,长城证券,证券,1.0,-8.65,15.58,0.01,483510.5551
2073,300694.SZ,蠡湖股份,汽车配件,1.0,-8.55,22.8,0.02,122732.4
2835,600830.SH,香溢融通,多元金融,1.0,-8.47,6.45,0.01,293038.1718
2263,600157.SH,永泰能源,煤炭开采,1.0,-8.46,2.51,0.04,3118874.6268
3255,603220.SH,贝通信,通信设备,1.0,-8.44,37.29,0.01,314876.76
2205,600090.SH,同济堂,医药商业,1.0,-8.44,6.18,0.04,434266.733
229,000673.SZ,当代东方,影视音像,1.0,-8.42,5.79,0.09,455859.0066
2377,600288.SH,大恒科技,软件服务,1.0,-8.38,11.19,0.05,488779.2
