,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600331.SH,600331,宏达股份,铅锌,2.13,1.0,1.0,43.28,,0.0
1,000793.SZ,000793,华闻集团,出版业,2.59,1.0,1.0,50.79,,0.0
2,603227.SH,603227,雪峰科技,化工原料,5.35,1.0,1.0,35.24,,0.0
3,600405.SH,600405,动力源,电气设备,6.15,1.0,1.0,34.03,,0.0
4,002383.SZ,002383,合众思壮,通信设备,6.42,1.0,1.0,37.06,,0.0
5,600818.SH,600818,中路股份,文教休闲,9.12,1.0,1.0,21.7,,0.0
6,002806.SZ,002806,华锋股份,元器件,9.65,1.0,1.0,10.82,,0.0
7,601609.SH,601609,金田铜业,铜,11.08,1.0,1.0,26.81,,0.0
8,600228.SH,600228,昌九生化,化工原料,11.85,1.0,1.0,28.6,,0.0
9,600223.SH,600223,鲁商发展,区域地产,13.08,1.0,1.0,132.0,中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金,1.0
10,603277.SH,603277,银都股份,专用机械,16.74,1.0,1.0,68.31,,0.0
11,603348.SH,603348,文灿股份,汽车配件,23.64,1.0,1.0,24.04,,0.0
12,000915.SZ,000915,山大华特,化学制药,25.58,1.0,1.0,59.9,"中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
全国社保基金一零七组合
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
广发基金-国新投资有限公司-广发基金-国新2号单一资产管理计划
广发基金-中国银行-中银国际证券有限责任公司",6.0
13,601127.SH,601127,小康股份,汽车配件,27.01,1.0,1.0,260.32,,0.0
14,603324.SH,603324,盛剑环境,环境保护,31.47,1.0,1.0,9.75,,0.0
15,605099.SH,605099,共创草坪,文教休闲,33.56,1.0,1.0,13.45,,0.0
16,003033.SZ,003033,征和工业,机械基件,40.84,1.0,1.0,8.35,,0.0
17,603076.SH,603076,乐惠国际,专用机械,52.62,1.0,1.0,39.2,上海天戈投资管理有限公司-天戈紫旭私募基金,1.0
