,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,301015.SZ,301015,百洋医药,医药商业,56.16,1.0,64.0,164.0,24.96,,0.0
1,688601.SH,688601,力芯微,半导体,184.1,2.0,34.0,134.0,23.98,,0.0
2,301016.SZ,301016,雷尔伟,运输设备,43.14,1.0,21.0,121.0,12.27,,0.0
3,688161.SH,688161,威高骨科,医疗保健,106.05,1.0,19.0,119.0,34.26,,0.0
4,001207.SZ,001207,联科科技,化工原料,33.11,3.0,9.0,109.0,15.07,,0.0
5,001208.SZ,001208,华菱线缆,电气设备,7.73,3.0,8.0,108.0,10.33,,0.0
6,601528.SH,601528,瑞丰银行,银行,15.57,3.0,7.0,107.0,23.5,,0.0
7,002620.SZ,002620,瑞和股份,装修装饰,7.48,2.0,4.0,104.0,23.18,元沣(深圳)资产管理有限公司-元沣价值成长3号私募投资基金,1.0
8,002418.SZ,002418,康盛股份,机械基件,3.64,3.0,4.0,104.0,41.34,,0.0
9,603958.SH,603958,哈森股份,服饰,9.89,3.0,4.0,104.0,21.5,中信里昂资产管理有限公司-客户资金,1.0
10,605011.SH,605011,杭州热电,供气供热,8.88,1.0,4.0,104.0,3.56,,0.0
11,603171.SH,603171,税友股份,软件服务,19.2,1.0,4.0,104.0,7.79,,0.0
12,002892.SZ,002892,科力尔,电气设备,34.12,3.0,3.0,103.0,28.31,深圳市瀚信资产管理有限公司-瀚信6号证券投资基金,1.0
13,002529.SZ,002529,海源复材,专用机械,9.1,2.0,2.0,102.0,23.66,,0.0
14,605399.SH,605399,晨光新材,化工原料,23.51,2.0,2.0,102.0,10.81,,0.0
15,603396.SH,603396,金辰股份,专用机械,57.11,2.0,2.0,102.0,60.41,"宁波辽海华商创业投资基金(有限合伙)
中国银行股份有限公司-华泰柏瑞中证光伏产业交易型开放式指数证券投资基金
上海珺容资产管理有限公司-珺容聚金1号私募证券投资基金",3.0
16,601106.SH,601106,中国一重,工程机械,3.39,2.0,2.0,102.0,232.48,"南方基金-农业银行-南方中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国华融资产管理股份有限公司
中欧基金-农业银行-中欧中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划",7.0
17,688508.SH,688508,芯朋微,半导体,110.64,1.0,2.0,102.0,29.64,"中国农业银行股份有限公司-长城久嘉创新成长灵活配置混合型证券投资基金
招商银行股份有限公司-南方科创板3年定期开放混合型证券投资基金
中国工商银行-华安中小盘成长混合型证券投资基金
中国建设银行股份有限公司-融通领先成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-泓德远见回报混合型证券投资基金",5.0
