,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT,COL_HAS_MINGHONG
0,002835.SZ,002835,同为股份,元器件,16.78,1.0,1.0,1.0,20.23,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国建设银行股份有限公司-博道伍佰智航股票型证券投资基金
中国国际金融香港资产管理有限公司-客户资金
兴业证券股份有限公司-博道久航混合型证券投资基金",4.0,True
1,603919.SH,603919,金徽酒,白酒,26.75,2.0,1.0,1.0,133.78,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
甘肃长城兴陇丝路基金管理有限公司-甘肃长城兴陇丝路基金(有限合伙)
贫困地区产业发展基金有限公司
中国工商银行股份有限公司-南方大数据100指数证券投资基金
中央企业贫困地区产业投资基金股份有限公司
光大兴陇信托有限责任公司-光大-融金1号证券投资集合资金信托计划
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",7.0,True
2,002970.SZ,002970,锐明技术,通信设备,59.71,1.0,1.0,1.0,25.45,"中国建设银行股份有限公司-信诚优胜精选混合型证券投资基金
中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
中国建设银行股份有限公司-信诚精萃成长混合型证券投资基金
汇添富基金-国新投资有限公司-汇添富基金-国新2号单一资产管理计划
中国建设银行-华夏红利混合型开放式证券投资基金
中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-汇添富民营活力混合型证券投资基金
中国建设银行股份有限公司-交银施罗德成长30混合型证券投资基金
招商银行股份有限公司-交银施罗德创新领航混合型证券投资基金
建信基金公司-建行-中国建设银行股份有限公司
中国工商银行-中海能源策略混合型证券投资基金
建信基金-招商银行-建信乾元安享特定多个客户资产管理计划",13.0,True
3,002103.SZ,002103,广博股份,互联网,5.25,0.0,0.0,0.0,18.56,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
4,603178.SH,603178,圣龙股份,汽车配件,10.19,0.0,0.0,0.0,20.32,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
5,603500.SH,603500,祥和实业,运输设备,15.02,0.0,0.0,0.0,26.3,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
6,603466.SH,603466,风语筑,文教休闲,20.01,0.0,0.0,0.0,59.11,"上海宏鹰股权投资基金管理有限公司-上海宏鹰股权投资基金合伙企业(有限合伙)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
香港中央结算有限公司(陆股通)
北方国际信托股份有限公司-北方信托荣盛一号证券投资集合资金信托计划",4.0,True
7,603396.SH,603396,金辰股份,专用机械,41.95,1.0,0.0,0.0,44.37,"华夏基金-大家人寿保险股份有限公司-万能险组合-华夏基金-大家人寿价值型股票组合单一资产管理计划
华夏基金华益3号股票型养老金产品-中国建设银行股份有限公司
招商银行股份有限公司-富国清洁能源产业灵活配置混合型证券投资基金
三和创赢资产管理(深圳)有限公司-三和创赢战略投资1期私募证券投资基金
交通银行股份有限公司-汇丰晋信智造先锋股票型证券投资基金
交通银行股份有限公司-汇丰晋信低碳先锋股票型证券投资基金
中国建设银行股份有限公司-华夏能源革新股票型证券投资基金
宁波辽海华商创业投资基金(有限合伙)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
平安银行股份有限公司-中庚价值灵动灵活配置混合型证券投资基金",10.0,True
8,603330.SH,603330,上海天洋,塑料,25.4,1.0,0.0,0.0,38.66,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
9,603283.SH,603283,赛腾股份,专用机械,54.26,0.0,0.0,0.0,23.94,"交通银行-中海优质成长证券投资基金)
中国工商银行-易方达价值成长混合型证券投资基金
香港中央结算有限公司(陆股通)
交通银行-中海优质成长证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国建设银行-上投摩根成长先锋股票型证券投资基金
中国农业银行股份有限公司-新华优选成长混合型证券投资基金
全国社保基金四零一组合
中国银行-南方高增长股票型开放式证券投资基金",9.0,True
10,603115.SH,603115,海星股份,元器件,16.28,0.0,0.0,0.0,8.39,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
11,603530.SH,603530,神马电力,电气设备,22.15,0.0,0.0,0.0,8.88,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
12,603109.SH,603109,神驰机电,电气设备,27.6,0.0,0.0,0.0,9.89,"银华基金-工商银行-华泰证券(上海)资产管理有限公司
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0,True
13,600589.SH,600589,广东榕泰,塑料,3.89,0.0,0.0,0.0,27.18,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
