,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_DAILY_AGGRESSIVE_RATE
0,600712.SH,南宁百货,百货,8.6,4.63,,50.0,50.0
1,603005.SH,晶方科技,半导体,42.9,5.7,,29.99,29.99
2,300379.SZ,东方通,软件服务,52.7,5.28,,27.42,27.42
3,600615.SH,丰华股份,小金属,11.86,2.72,,20.01,18.03
4,603129.SH,春风动力,摩托车,41.27,3.63,,7.15,12.12
5,000532.SZ,华金资本,多元金融,14.2,2.06,,7.9,9.08
6,300010.SZ,立思辰,软件服务,13.49,2.2,,16.09,8.89
7,300223.SZ,北京君正,半导体,92.67,5.76,,16.67,8.25
8,600812.SH,华北制药,化学制药,9.03,3.35,,15.89,7.26
9,002036.SZ,联创电子,元器件,18.68,2.88,,10.03,6.82
10,300473.SZ,德尔股份,汽车配件,42.01,2.22,,6.23,6.77
11,002351.SZ,漫步者,IT设备,24.9,10.45,,19.97,6.72
12,002156.SZ,通富微电,半导体,16.54,3.87,,23.26,6.68
13,603197.SH,保隆科技,汽车配件,34.2,3.22,,10.0,6.54
14,603101.SH,汇嘉时代,百货,9.44,2.35,,20.08,6.12
15,300709.SZ,精研科技,元器件,99.44,3.5,,5.86,5.86
16,300192.SZ,科斯伍德,文教休闲,16.04,2.84,,7.8,5.53
17,300661.SZ,圣邦股份,元器件,255.0,4.85,,10.0,5.46
18,300088.SZ,长信科技,元器件,9.27,2.51,,7.99,4.67
19,002343.SZ,慈文传媒,影视音像,11.0,2.05,,28.09,4.64
20,300655.SZ,晶瑞股份,化工原料,32.3,2.84,,8.71,4.61
21,300468.SZ,四方精创,软件服务,38.62,4.85,,20.01,4.28
22,300456.SZ,耐威科技,元器件,20.05,2.49,,17.22,4.25
23,002684.SZ,*ST猛狮,电气设备,4.85,2.96,,15.12,4.22
24,300507.SZ,苏奥传感,汽车配件,15.08,2.69,,19.98,4.17
25,600052.SH,浙江广厦,影视音像,4.75,2.31,,10.0,3.76
26,300256.SZ,星星科技,元器件,7.0,3.09,,16.64,3.75
27,002050.SZ,三花智控,机械基件,16.13,2.01,,10.03,3.74
28,601689.SH,拓普集团,汽车配件,16.63,2.7,,5.92,3.04
29,002456.SZ,欧菲光,元器件,15.3,3.19,,5.79,2.87
30,002552.SZ,宝鼎科技,机械基件,27.65,5.83,,15.69,2.81
31,300464.SZ,星徽精密,机械基件,14.12,3.01,,9.97,2.53
32,300525.SZ,博思软件,软件服务,35.65,2.81,,5.31,2.46
33,300685.SZ,艾德生物,生物制药,73.58,2.04,,5.02,2.36
34,000977.SZ,浪潮信息,IT设备,31.77,2.03,,6.52,2.35
35,000676.SZ,智度股份,互联网,9.6,2.33,,6.19,2.16
36,000007.SZ,全新好,酒店餐饮,10.09,2.1,,10.0,2.08
37,002291.SZ,星期六,服饰,7.92,2.76,,10.0,2.07
38,000662.SZ,天夏智慧,软件服务,6.22,2.11,,8.56,2.03
39,000034.SZ,神州数码,综合类,20.79,2.51,,6.24,1.9
40,603501.SH,韦尔股份,半导体,150.63,4.07,,5.92,1.89
41,300548.SZ,博创科技,元器件,62.86,3.26,,9.27,1.82
42,300311.SZ,任子行,软件服务,10.1,2.05,,5.27,1.8
43,600703.SH,三安光电,半导体,18.74,2.61,,10.0,1.78
44,300623.SZ,捷捷微电,半导体,29.27,2.2,,8.12,1.77
45,300014.SZ,亿纬锂能,电气设备,52.53,3.03,,10.01,1.61
46,002524.SZ,光正集团,医疗保健,11.9,3.92,,5.03,1.6
47,300438.SZ,鹏辉能源,电气设备,25.53,2.55,,10.0,1.53
48,300613.SZ,富瀚微,半导体,162.0,2.08,,9.64,1.5
49,002201.SZ,九鼎新材,玻璃,23.44,2.9,,7.05,1.5
50,300202.SZ,聚龙股份,专用机械,13.33,2.94,,5.93,1.48
51,002577.SZ,雷柏科技,IT设备,14.5,2.17,,17.72,1.46
52,603477.SH,振静股份,纺织,13.04,2.85,,6.38,1.4
53,002273.SZ,水晶光电,元器件,17.35,2.36,,5.4,1.38
54,002416.SZ,爱施德,电器连锁,8.07,2.05,,6.45,1.33
55,600536.SH,中国软件,软件服务,78.7,2.15,,7.13,1.23
56,002655.SZ,共达电声,元器件,14.64,2.63,,20.01,1.11
57,300552.SZ,万集科技,软件服务,87.9,5.18,,7.84,1.08
58,002850.SZ,科达利,机械基件,38.93,2.42,,6.16,1.07
59,300319.SZ,麦捷科技,元器件,12.6,3.7,,5.37,1.04
60,300474.SZ,景嘉微,元器件,68.96,2.6,,7.68,1.04
61,300643.SZ,万通智控,汽车配件,21.03,6.06,,5.04,0.95
62,300004.SZ,南风股份,电气设备,6.93,2.37,,7.11,0.92
63,600186.SH,*ST莲花,食品,2.51,2.3,,5.08,0.92
64,300115.SZ,长盈精密,元器件,18.5,2.39,,5.47,0.89
65,300632.SZ,光莆股份,半导体,26.43,2.06,,10.0,0.82
66,000673.SZ,当代东方,影视音像,5.69,3.43,,9.93,0.8
67,603520.SH,司太立,化学制药,42.71,3.26,,6.51,0.77
68,300767.SZ,震安科技,橡胶,56.11,2.89,,5.27,0.72
69,603378.SH,亚士创能,染料涂料,21.2,2.81,,6.15,0.64
70,300341.SZ,麦克奥迪,电气设备,17.7,8.45,,9.99,0.55
71,002785.SZ,万里石,其他建材,15.9,2.3,,10.03,0.54
72,002045.SZ,国光电器,元器件,13.48,4.81,,5.17,0.53
