,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,603258.SH,603258,电魂网络,互联网,7.0,32.55,"阿里巴巴概念股, 腾讯概念股, 游戏, 手游, ",37.93亿
1,603915.SH,603915,国茂股份,机械基件,4.0,21.81,,18.4亿
2,002923.SZ,002923,润都股份,化学制药,4.0,24.28,"医药, 化学药, 高送转, 工业大麻, ",14.57亿
3,300777.SZ,300777,中简科技,化纤,4.0,45.34,,18.14亿
4,600422.SH,600422,昆药集团,中成药,4.0,12.77,"国家队重仓, 回购, 医药, 中药, 创新药, 化学药, 独角兽, ",96.92亿
5,601038.SH,601038,一拖股份,农用机械,4.0,8.92,"央企改革, 乡村振兴, 债转股-AMC, 农机, ",52.98亿
6,300663.SZ,300663,科蓝软件,软件服务,3.0,31.96,"高送转-填权, 互联网金融, 移动支付, 举牌股, 区块链, 国产软件, 京东金融概念股, 独角兽, 蚂蚁金服概念股, 强势人气股, 无人银行, ",59.03亿
7,002645.SZ,002645,华宏科技,专用机械,3.0,8.83,,34.93亿
8,002199.SZ,002199,东晶电子,元器件,3.0,15.17,"被动元件, 电竞, 复牌股, 游戏, 壳公司, ",36.93亿
9,300560.SZ,300560,中富通,通信设备,2.0,26.5,"5G, 华为产业链, 军工, 军民融合, 数字中国, ",17.43亿
10,600217.SH,600217,中再资环,环境保护,2.0,7.29,"固废处理, 环保, 资产重组, ",96.15亿
11,601200.SH,601200,上海环境,环境保护,2.0,12.77,"固废处理, 环保, 上海国企改革, 污水处理, ",111.61亿
12,601330.SH,601330,绿色动力,环境保护,2.0,11.83,"固废处理, 环保, ",30.24亿
13,300301.SZ,300301,长方集团,半导体,2.0,6.36,"教育, LED, ",38.3亿
14,300023.SZ,300023,宝德股份,专用机械,2.0,7.14,"油服, 页岩气, 工业自动化, 智能制造, 壳公司, 强势人气股, ",10.31亿
15,002057.SZ,002057,中钢天源,元器件,2.0,13.5,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 燃料电池, 新能源汽车, 高送转, ",64.73亿
16,000862.SZ,000862,银星能源,新型电力,2.0,6.91,"央企改革, 风电, 光伏, 宁夏, 强势人气股, ",34.64亿
17,300779.SZ,300779,惠城环保,环境保护,2.0,47.14,,11.79亿
18,603686.SH,603686,龙马环卫,专用机械,2.0,18.18,"定增破发, PPP, ",53.98亿
19,300782.SZ,300782,卓胜微,元器件,2.0,61.49,,15.37亿
20,002945.SZ,002945,华林证券,证券,2.0,17.16,"券商, ",46.33亿
21,600501.SH,600501,航天晨光,汽车配件,1.0,9.08,"央企改革, 军工研究所, 军工, 军民融合, ",38.25亿
22,600599.SH,600599,熊猫金控,多元金融,1.0,14.69,"光伏, 互联网金融, 资产重组, ",24.39亿
23,600816.SH,600816,安信信托,多元金融,1.0,5.03,"MSCI, 金改, 信托, ",235.03亿
24,600446.SH,600446,金证股份,软件服务,1.0,17.82,"阿里巴巴概念股, 互联网金融, 人工智能, 区块链, 国产软件, 腾讯概念股, 独角兽, ",152.04亿
