,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600567.SH,600567,山鹰纸业,造纸,3.3,1.0,1.0,1.0,151.65,"山鹰国际控股股份公司-创享激励基金合伙人第一期持股计划
新华信托股份有限公司-新华信托华睿系列·金沙2号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)",3.0
1,601599.SH,601599,鹿港文化,影视音像,3.44,4.0,1.0,4.0,30.71,,0.0
2,002285.SZ,002285,世联行,房产服务,3.58,0.0,1.0,1.0,72.12,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",3.0
3,002141.SZ,002141,贤丰控股,元器件,3.61,1.0,2.0,2.0,22.98,"深圳市前海建泓时代资产管理有限公司-建泓盈富二号投资基金
中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划",2.0
4,000937.SZ,000937,冀中能源,煤炭开采,3.65,1.0,1.0,1.0,106.09,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",3.0
5,601216.SH,601216,君正集团,化工原料,3.65,0.0,2.0,2.0,307.99,"中信信诚资产-招商银行-诚融聚荷1号资产管理计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",3.0
6,600981.SH,600981,汇鸿集团,商贸代理,3.7,0.0,1.0,1.0,27.04,"兴证证券资管-工商银行-兴证资管鑫成63号集合资产管理计划
全国社保基金五零一组合
上海国药圣礼股权投资基金合伙企业(有限合伙)
兴证证券资管-工商银行-兴证资管鑫成71号双红利轮动集合资产管理计划
兴证证券资管-工商银行-兴证资管鑫成61号集合资产管理计划
上海赛领博达股权投资基金合伙企业(有限合伙)
上海赛领并购投资基金合伙企业(有限合伙)",7.0
7,000428.SZ,000428,华天酒店,酒店餐饮,3.75,2.0,1.0,1.0,38.21,深圳昭阳投资管理有限公司-昭阳1号私募证券投资基金,1.0
8,000718.SZ,000718,苏宁环球,区域地产,3.82,0.0,1.0,1.0,87.45,"安徽省铁路发展基金股份有限公司
香港中央结算有限公司(陆股通)",2.0
9,000540.SZ,000540,中天金融,多元金融,3.88,4.0,1.0,2.0,270.56,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
10,002069.SZ,002069,獐子岛,渔业,3.91,0.0,1.0,2.0,26.93,北京吉融元通资产管理有限公司-和岛一号证券投资基金,1.0
11,600052.SH,600052,浙江广厦,影视音像,4.0,2.0,1.0,1.0,34.87,,0.0
12,600370.SH,600370,三房巷,纺织,4.0,1.0,1.0,1.0,31.89,,0.0
13,002662.SZ,002662,京威股份,汽车配件,4.02,4.0,1.0,1.0,58.65,,0.0
14,600082.SH,600082,海泰发展,园区开发,4.04,0.0,1.0,1.0,25.63,,0.0
15,000620.SZ,000620,新华联,全国地产,4.2,0.0,1.0,2.0,79.66,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
16,002435.SZ,002435,长江健康,化学制药,4.23,4.0,1.0,1.0,50.74,"华安资产管理(香港)有限公司-客户资金专户1号(交易所)
西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划",2.0
17,600722.SH,600722,金牛化工,化工原料,4.27,4.0,1.0,2.0,29.05,,0.0
