code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
000673,当代东方,7.87,-73.04,0.423,2.915,0.131,
002464,众应互联,2.83,-52.294,0.385,12.853,0.099,
002143,印纪传媒,9.74,-44.259,0.186,11.67,0.12,
000504,南华生物,3.11,-43.414,0.226,27.409,0.126,
000766,通化金马,5.73,-43.063,0.201,25.151,0.049,
002569,步森股份,1.4,-42.291,0.223,28.703,0.098,
002512,达华智能,6.93,-39.815,0.22,-28.935,0.072,
000576,广东甘化,4.36,-38.456,0.093,22.898,0.123,
000503,国新健康,8.99,-37.131,0.113,-6.083,0.153,
600146,商赢环球,2.0,-36.619,0.127,-41.715,0.147,
002451,摩恩电气,4.16,-35.121,0.108,36.668,0.101,
000669,金鸿控股,6.7,-33.958,0.318,49.71,0.165,
000962,东方钽业,4.41,-32.664,0.071,18.785,0.064,
002622,融钰集团,8.4,-32.029,0.099,25.198,0.101,
600165,新日恒力,6.85,-31.178,0.1,43.761,0.116,
600298,安琪酵母,8.24,-30.84,0.101,-7.351,0.099,
002213,特 尔 佳,1.97,-29.931,0.068,-1.911,0.143,
002395,双象股份,1.79,-29.066,0.123,3.53,0.055,
000955,欣龙控股,5.38,-28.847,0.133,4.555,0.078,
002058,威 尔 泰,1.43,-28.827,0.065,48.059,0.111,
002243,通产丽星,3.65,-28.721,0.067,-0.259,0.087,
002343,慈文传媒,4.21,-28.69,0.103,0.656,0.082,
600293,三峡新材,5.17,-28.23,0.107,-0.67,0.072,
002932,明德生物,0.17,-28.139,0.065,-25.599,0.142,
600682,南京新百,9.73,-27.731,0.089,4.908,0.088,
600158,中体产业,6.57,-27.664,0.092,4.79,0.067,
002709,天赐材料,1.96,-27.559,0.092,-11.488,0.104,
600754,锦江股份,6.49,-27.296,0.082,3.878,0.05,
000972,ST中基,7.71,-27.269,0.11,-1.798,0.08,
000721,西安饮食,4.36,-27.248,0.054,9.625,0.062,
600345,长江通信,1.98,-26.862,0.078,-11.51,0.115,
002803,吉宏股份,0.46,-26.369,0.073,51.715,0.104,
002496,ST辉丰,9.67,-26.276,0.058,1.88,0.077,
600055,万东医疗,4.85,-26.021,0.068,9.496,0.097,
600290,华仪电气,5.27,-25.96,0.082,56.412,0.16,
601619,嘉泽新能,5.04,-25.509,0.087,-8.252,0.089,
002906,华阳集团,2.02,-25.471,0.105,-13.634,0.115,
600789,鲁抗医药,5.82,-25.402,0.069,-7.301,0.122,
002209,达 意 隆,1.54,-24.954,0.087,30.734,0.079,
002072,凯瑞德,1.69,-24.946,0.062,39.87,0.126,
002345,潮宏基,8.78,-24.727,0.087,-13.11,0.085,
000636,风华高科,8.75,-24.237,0.085,-15.041,0.089,
002890,弘宇股份,0.48,-24.169,0.084,4.94,0.059,
600132,重庆啤酒,4.84,-24.123,0.08,11.699,0.048,
002581,未名医药,4.01,-24.084,0.069,-4.682,0.07,
002543,万和电气,4.85,-24.071,0.108,22.756,0.052,
002164,宁波东力,4.4,-24.059,0.063,-3.293,0.102,
002910,庄园牧场,0.74,-24.053,0.094,-23.314,0.143,
601330,绿色动力,1.16,-23.934,0.083,6.948,0.118,
000810,创维数字,9.7,-23.92,0.101,-7.114,0.086,
600197,伊力特,4.41,-23.913,0.089,-23.863,0.13,
002873,新天药业,0.65,-23.207,0.063,-4.089,0.072,
002905,金逸影视,0.67,-23.052,0.084,-9.413,0.08,
002192,融捷股份,2.37,-22.957,0.063,23.289,0.142,
002522,浙江众成,8.48,-22.949,0.056,3.772,0.058,
000633,合金投资,3.85,-22.931,0.05,28.875,0.127,
002174,游族网络,6.19,-22.912,0.061,15.355,0.058,
600929,湖南盐业,1.5,-22.839,0.066,-16.58,0.105,
002584,西陇科学,3.64,-22.771,0.066,30.669,0.115,
600809,山西汾酒,8.66,-22.741,0.08,-26.754,0.142,
600702,舍得酒业,3.37,-22.691,0.069,-16.275,0.116,
002607,亚夏汽车,7.05,-22.632,0.102,13.703,0.097,
002840,华统股份,1.47,-22.612,0.047,15.843,0.065,
002676,顺威股份,7.2,-22.544,0.048,20.953,0.091,
600885,宏发股份,7.45,-22.422,0.064,15.029,0.063,
002795,永和智控,0.64,-22.139,0.058,6.609,0.073,
000989,九 芝 堂,4.2,-22.079,0.064,-6.131,0.15,
600258,首旅酒店,6.25,-22.01,0.064,-5.894,0.069,
600990,四创电子,1.37,-21.896,0.093,5.907,0.079,
002721,金一文化,5.45,-21.852,0.048,4.113,0.108,
002336,人人乐,3.39,-21.83,0.083,-11.417,0.101,
600419,天润乳业,2.07,-21.765,0.063,11.191,0.054,
000596,古井贡酒,3.84,-21.743,0.071,-22.28,0.127,
002614,奥佳华,3.22,-21.705,0.07,3.589,0.088,
600260,凯乐科技,6.28,-21.581,0.088,-0.582,0.085,
002245,澳洋顺昌,9.14,-21.579,0.051,-5.135,0.082,
002077,大港股份,5.32,-21.454,0.047,1.254,0.096,
002139,拓邦股份,7.84,-21.412,0.066,1.109,0.091,
002184,海得控制,1.36,-21.361,0.057,3.533,0.072,
002089,新 海 宜,9.8,-21.24,0.067,4.978,0.12,
002293,罗莱生活,7.0,-21.239,0.069,-12.497,0.093,
002433,太安堂,6.92,-21.164,0.075,-3.013,0.082,
000913,钱江摩托,4.54,-21.129,0.073,23.106,0.089,
601020,华钰矿业,2.84,-21.127,0.054,-8.753,0.098,
000014,沙河股份,2.02,-21.052,0.083,-0.87,0.072,
002903,宇环数控,0.66,-21.027,0.047,-22.5,0.143,
002896,中大力德,0.34,-20.92,0.07,7.817,0.067,
002458,益生股份,1.79,-20.906,0.08,2.994,0.103,
600859,王府井,3.05,-20.853,0.057,-2.968,0.061,
600771,广誉远,3.02,-20.797,0.071,-14.47,0.088,
600721,百花村,3.05,-20.683,0.046,9.654,0.083,
002112,三变科技,1.84,-20.628,0.044,21.149,0.093,
000017,深中华A,3.03,-20.457,0.086,29.864,0.082,
002199,东晶电子,2.26,-20.255,0.078,13.101,0.074,
002727,一心堂,2.99,-20.188,0.052,-7.508,0.07,
002691,冀凯股份,3.39,-20.092,0.075,0.26,0.084,
600735,新华锦,3.76,-20.034,0.07,1.629,0.082,
002760,凤形股份,0.72,-19.968,0.053,35.358,0.09,
000759,中百集团,6.81,-19.914,0.053,-2.165,0.075,
600689,上海三毛,1.52,-19.817,0.092,53.147,0.185,
002359,北讯集团,7.08,-19.816,0.056,-57.363,0.338,
600610,*ST毅达,3.76,-19.796,0.066,21.662,0.102,
600267,海正药业,9.66,-19.769,0.066,5.64,0.043,
002858,力盛赛车,0.62,-19.625,0.052,9.163,0.045,
002923,润都股份,0.3,-19.582,0.048,32.36,0.097,
600870,*ST厦华,5.23,-19.564,0.071,30.994,0.123,
000860,顺鑫农业,5.71,-19.561,0.076,-2.865,0.09,
600800,天津磁卡,6.11,-19.437,0.074,21.959,0.064,
002322,理工环科,3.61,-19.429,0.048,2.031,0.083,
600599,熊猫金控,1.66,-19.404,0.068,2.969,0.097,
002121,科陆电子,9.06,-19.386,0.076,-7.896,0.091,
600651,飞乐音响,9.85,-19.36,0.086,11.067,0.073,
002901,大博医疗,0.4,-19.352,0.041,18.963,0.084,
002226,江南化工,9.11,-19.342,0.083,33.135,0.122,
002572,索菲亚,6.38,-19.322,0.065,-19.472,0.126,
002782,可立克,1.06,-19.263,0.074,-0.298,0.089,
002357,富临运业,3.13,-19.249,0.036,10.399,0.079,
000526,紫光学大,0.96,-19.217,0.095,-23.905,0.121,
002892,科力尔,0.26,-19.116,0.05,8.873,0.046,
002327,富安娜,5.2,-18.998,0.068,4.215,0.051,
600600,青岛啤酒,6.96,-18.953,0.07,-10.449,0.05,
002518,科士达,5.58,-18.928,0.083,-4.331,0.085,
002021,中捷资源,6.87,-18.885,0.028,19.184,0.061,
600112,天成控股,5.09,-18.854,0.117,29.282,0.092,
002369,卓翼科技,4.2,-18.771,0.076,21.487,0.061,
600329,中新药业,5.66,-18.731,0.049,-13.119,0.091,
002884,凌霄泵业,0.69,-18.703,0.059,14.753,0.044,
601066,中信建投,4.0,-18.687,0.068,32.967,0.107,
002439,启明星辰,5.85,-18.609,0.076,17.848,0.062,
