,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000509.SZ,000509,*ST华塑,医疗保健,True,1.86,2.0,0.0,0.0,15.27,,0.0
1,300247.SZ,300247,融捷健康,医疗保健,True,2.78,1.0,0.0,0.0,18.57,安徽高新毅达皖江产业发展创业投资基金(有限合伙),1.0
2,300108.SZ,300108,吉药控股,中成药,True,3.0,2.0,2.0,2.0,14.5,"汇安基金-浦发银行-江海证券有限公司
吉林省现代农业和新兴产业投资基金有限公司
上海国药股权投资基金合伙企业(有限合伙)",3.0
3,600252.SH,600252,中恒集团,中成药,True,3.5,1.0,0.0,0.0,128.58,"广发基金-农业银行-广发中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
香港中央结算有限公司(陆股通)
南方基金-农业银行-南方中证金融资产管理计划
中央汇金资产管理有限责任公司
中欧基金-农业银行-中欧中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划",12.0
4,002162.SZ,002162,悦心健康,医疗保健,True,3.62,0.0,1.0,1.0,28.06,中央汇金资产管理有限责任公司,1.0
5,002437.SZ,002437,誉衡药业,化学制药,True,3.94,9.0,0.0,1.0,90.91,,0.0
6,002435.SZ,002435,长江健康,化学制药,True,4.15,7.0,0.0,1.0,50.62,"西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划
华安资产管理(香港)有限公司-客户资金专户1号(交易所)",2.0
7,300110.SZ,300110,华仁药业,化学制药,True,4.16,9.0,0.0,0.0,51.57,"鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划
鹏华资产-浦发银行-鹏华资产方圆5号资产管理计划",2.0
8,002118.SZ,002118,紫鑫药业,中成药,True,4.34,9.0,0.0,0.0,57.5,上海红樱资产管理有限公司,1.0
9,000078.SZ,000078,海王生物,医药商业,True,4.4,9.0,0.0,0.0,122.41,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
交通银行股份有限公司-国联安中证医药100指数证券投资基金",4.0
10,000518.SZ,000518,四环生物,生物制药,True,4.53,9.0,0.0,0.0,49.42,,0.0
