,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688180.SH,688180,君实生物-U,生物制药,True,115.99,True,True,0.0,,0.0
1,600867.SH,600867,通化东宝,生物制药,True,15.41,True,False,0.02,"香港中央结算有限公司(陆股通)
国家第一养老金信托公司-自有资金
汇添富基金-建设银行-中国人寿-中国人寿委托汇添富基金混合型组合
汇添富基金管理股份有限公司-社保基金1103组合
招商银行股份有限公司-睿远成长价值混合型证券投资基金",5.0
2,002728.SZ,002728,特一药业,中成药,True,14.52,True,False,0.05,,0.0
3,600771.SH,600771,广誉远,中成药,True,14.07,True,True,0.05,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
兴业国际信托有限公司-兴享进取明达1号证券投资集合资金信托计划
华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托",3.0
4,002900.SZ,002900,哈三联,化学制药,True,11.51,True,False,0.05,"中瑞国信资产管理有限公司
中合供销一期(上海)股权投资基金合伙企业(有限合伙)",2.0
5,600572.SH,600572,康恩贝,中成药,True,5.69,True,False,0.06,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
金元顺安基金-杭州银行-华润信托-华润信托·汇祥增利53号单一资金信托
渤海国际信托股份有限公司-渤海信托·恒利丰253号集合资金信托计划",5.0
6,000597.SZ,000597,东北制药,化学制药,True,5.43,True,False,0.07,"香港中央结算有限公司(陆股通)
中国华融资产管理股份有限公司",2.0
7,601607.SH,601607,上海医药,医药商业,True,19.3,True,False,0.08,"中央汇金资产管理有限责任公司
全国社保基金四一二组合
全国社保基金六零四组合
香港中央结算有限公司(陆股通)
银华基金-农业银行-银华中证金融资产管理计划",5.0
8,600332.SH,600332,白云山,中成药,True,33.71,True,False,0.08,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划",4.0
9,000790.SZ,000790,华神科技,中成药,True,5.17,True,False,0.09,,0.0
